序号,审批状态,主键ID,主键ID版本号,启禁状态,技术标准版本号,关联物料,物料品类,物料大类,物料归属,适用生产基地代码,适用生产基地名称,检测项目代码,检测项目,是否判定,检测时间,抽样检测方式,取样部门,检测部门,定量定性,初检复检,检测单元数量,检测次数,检测单元单位,检测频率,取样数量,取样单位,是否扣减库存,库存扣减数量,库存扣减单位,检测工具,标准要求,异常标准项,检测指标单位,下限,上限,小数精确位数,异常处理最低不合格量,异常结果显示,检测方法,超标处理方案,备注,有效期起,有效期止
1,,HWBT0001,001,禁用,Q/RW-TS-001-2023,"[{'id': 1, 'name': 'RBMT0000', 'sap_code': '20000000', 'code': 'GC000001', 'desc': '精制糖白砂糖'}, {'id': 58, 'name': 'RBMT0001', 'sap_code': '20001810', 'code': 'GC000058', 'desc': '一级糖白砂糖'}]",白砂糖,内容物,红牛,,,YC00000001,感官/性状,是,到货检测,,品管部,品管部,定性,初检,1,等于,批次,,100,克,否,,,目测检查,晶粒均匀，晶粒或其水溶液味甜，无异味，糖品外观干燥，糖品外观松散洁白，糖品外观有光泽,晶粒不均匀/晶粒或其水溶液味非甜/异味/糖品外观潮湿/糖品外观紧密污浊/糖品外观无光泽,,,,,1,复检,每1新批次为一个检测单元，随机从1袋白糖中抽取100克进行检测。,若有不合格，从同一批次另抽取10袋糖，从中各取100克复检。,,2025-01-01,9999-12-31
2,,HWBT0004,001,禁用,Q/RW-TS-001-2023,"[{'id': 1, 'name': 'RBMT0000', 'sap_code': '20000000', 'code': 'GC000001', 'desc': '精制糖白砂糖'}, {'id': 58, 'name': 'RBMT0001', 'sap_code': '20001810', 'code': 'GC000058', 'desc': '一级糖白砂糖'}]",白砂糖,内容物,红牛,,,YF00000001,感官/性状,是,到货检测,,品管部,品管部,定性,复检,1,大于等于,批次,,1000,克,否,,,目测检查,晶粒均匀，晶粒或其水溶液味甜，无异味，糖品外观干燥，糖品外观松散洁白，糖品外观有光泽,晶粒不均匀/晶粒或其水溶液味非甜/异味/糖品外观潮湿/糖品外观紧密污浊/糖品外观无光泽,,,,,1,退货处理,从同一批次另抽取10袋糖，从中各取100克进行复检。,若仍有不合格，初检检测单元的所有商品做退货处理。,,2025-01-01,9999-12-31
3,,HWBT0011,001,禁用,Q/RW-TS-001-2023,"[{'id': 1, 'name': 'RBMT0000', 'sap_code': '20000000', 'code': 'GC000001', 'desc': '精制糖白砂糖'}, {'id': 58, 'name': 'RBMT0001', 'sap_code': '20001810', 'code': 'GC000058', 'desc': '一级糖白砂糖'}]",白砂糖,内容物,红牛,,,YC00000001,煮沸实验,是,到货检测,,品管部,品管部,定性,初检,1,等于,批次,,100,克,否,,,电子天平，三角瓶，磁性转子、磁力搅拌器、灭菌锅,加热煮沸，观察是否有褐变现象产生,,,,,,1,复检,每1新批次为一个检测单元，随机从1袋白糖中抽取100克，其中36克放入已灭好菌的装有44mLRO水的300mL三角瓶中，加热煮沸20分钟，观察是否有褐变现象产生。,煮沸过程中若发生褐变，从同一批次另抽取1袋糖，从中取36克复检。,,2025-01-01,9999-12-31
4,,HWBT0012,001,禁用,Q/RW-TS-001-2023,"[{'id': 1, 'name': 'RBMT0000', 'sap_code': '20000000', 'code': 'GC000001', 'desc': '精制糖白砂糖'}, {'id': 58, 'name': 'RBMT0001', 'sap_code': '20001810', 'code': 'GC000058', 'desc': '一级糖白砂糖'}]",白砂糖,内容物,红牛,,,YF00000002,煮沸实验,是,到货检测,,品管部,品管部,定性,复检,1,大于等于,批次,,100,克,否,,,电子天平，三角瓶，磁性转子、磁力搅拌器、灭菌锅,加热煮沸，观察是否有褐变现象产生,,,,,,1,退货处理,从同一批次另抽取1袋糖，从中取36克复检。放入已灭好菌的装有44mLRO水的300mL三角瓶中，加热煮沸20分钟，观察是否有褐变现象产生。,若仍有不合格，初检检测单元的所有商品做退货处理。,,2025-01-01,9999-12-31
5,,HWBT0013,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,色状,是,使用前检测,,生产部,品管部,定量,初检,1,等于,批次,,100,毫升,否,,,目测检查,无色及淡黄色液体，与标准品及色卡对比一致,,,50.0000,100.0000,,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中50ml做本次检测，用目测方法观察，与标准样品色卡比对是否符合标准范围。,若不合格，从同批次及相邻批次各抽取2桶，从中各取50ml复检。,,2025-01-01,9999-12-31
6,,HWBT0014,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,色状,是,使用前检测,,生产部,品管部,定量,复检,2,大于等于,批次,,200,毫升,否,,,目测检查,无色及淡黄色液体，与标准品及色卡对比一致,,,50.0000,100.0000,,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取50ml复检。用目测方法观察，与标准样品色卡比对是否符合标准范围。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
7,,HWBT0015,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YC00000002,香味,是,使用前检测,,生产部,品管部,定性,初检,1,等于,批次,,100,毫升,否,,,嗅觉、味觉,香味特征、强度、口感，要求试样与标准品无差异,香味特征差异/香味强度差异/口感差异,,,,,1,复检,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，用闻香纸进行蘸取检测。,若不合格，从同批次及相邻批次各抽取2桶，从中各取50ml复检。,,2025-01-01,9999-12-31
8,,HWBT0016,001,禁用,Q/RW-TS-001-2023,"[{'id': 1, 'name': 'RBMT0000', 'sap_code': '20000000', 'code': 'GC000001', 'desc': '精制糖白砂糖'}, {'id': 58, 'name': 'RBMT0001', 'sap_code': '20001810', 'code': 'GC000058', 'desc': '一级糖白砂糖'}]",白砂糖,内容物,红牛,,,YC00000001,细菌总数,是,到货检测,,品管部,品管部,定量,初检,1,等于,批次,,100,克,否,,,滤膜组架、培养箱,≤5CFU/100mL/组,,CFU/100mL,0.0000,5.0000,,1,复检,每1新批次为一个检测单元，随机从1袋白糖中抽取100克，其中36克做本次检测。每批样品做3组，每组100ml，滤膜法实验。,若有不合格，从同一批次另抽取2袋糖，从中各取36克复检。,,2025-01-01,9999-12-31
9,,HWBT0019,001,禁用,Q/RW-TS-001-2023,"[{'id': 1, 'name': 'RBMT0000', 'sap_code': '20000000', 'code': 'GC000001', 'desc': '精制糖白砂糖'}, {'id': 58, 'name': 'RBMT0001', 'sap_code': '20001810', 'code': 'GC000058', 'desc': '一级糖白砂糖'}]",白砂糖,内容物,红牛,,,YF00000003,细菌总数,是,使用前检测,,品管部,品管部,定量,复检,1,大于等于,批次,,72,克,否,,,滤膜组架、培养箱,≤5CFU/100mL/组,,CFU/100mL,0.0000,5.0000,,1,退货处理,从同一批次另抽取2袋糖，从中各取36克复检。每批样品做3组，每组100ml，滤膜法实验。,若仍有不合格，初检检测单元的所有商品做退货处理。,,2025-01-01,9999-12-31
10,,HWBT0020,001,禁用,Q/RW-TS-001-2023,"[{'id': 24, 'name': 'RBMT1113', 'sap_code': '20000537', 'code': 'GC000024', 'desc': '艾地盟香精'}, {'id': 25, 'name': '复合水果香精/战马', 'sap_code': '20000879', 'code': 'GC000025', 'desc': '艾地盟战马香精'}, {'id': 59, 'name': 'RBMT1117', 'sap_code': '20001805', 'code': 'GC000059', 'desc': '瑞斯福香精'}, {'id': 60, 'name': 'RBMT1114', 'sap_code': '20001056', 'code': 'GC000060', 'desc': '宝开香精'}]",香精,内容物,红牛,,,YF00000004,香味,是,使用前检测,,生产部,品管部,定性,复检,2,大于等于,批次,,200,毫升,否,,,嗅觉、味觉,香味特征、强度、口感，要求试样与标准品无差异,香味特征差异/香味强度差异/口感差异,,,,,1,退货处理,从同批次及相邻批次各抽取2桶，从中各取50ml复检。用闻香纸进行蘸取检测。,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,,2025-01-01,9999-12-31
