序号,商品名称,商品编码,是否礼盒装,单位重量吨/箱(组、包),有效期起,有效期至,单位货值元/箱(组、包),有效期起,有效期至,纸箱价格元/张,有效期起,有效期至
1,0红牛/普通型/250ML/24/1元享红牛/2021,010000919,否,0.00001,2026-06-01,2026-08-31,,,,,,
2,纸皮/普通型/250ML/24/1元换购-新疆青海云,20002074,否,,,,,,,,,
3,空罐/普通型/250ML/2026广东1元乐享促销/无顶盖,20002274,否,,,,,,,,,
4,战马/330ML/24/罐装/含气/菠萝西柚味/广东促销,11000356,否,0.00001,2023-01-01,9999-12-31,,,,,,
5,战马/310ML/24/罐装/2026/扫码红包-新包装,11000370,否,0.00001,2023-01-01,9999-12-31,,,,,,
6,国产/芙丝水330ML/24瓶装/YOMA,81000253,否,0.00001,2023-01-01,9999-12-31,,,,,,
7,国产/芙丝水500ML/24瓶装/纯享装,81000221,否,0.00001,2023-01-01,9999-12-31,,,,,,
8,战马/310ML/24/罐装/2025/线上1元乐享（含箱码）-新包装,11000312,否,0.00001,2023-01-01,9999-12-31,,,,,,
9,红牛维生素功能饮料/普通型/250ML/24/30周年普通箱内码/2025,10001105,否,0.00740,2024-06-01,2031-06-30,,,,,,
10,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2025,10001132,否,0.00740,2024-06-01,2031-06-30,,,,,,
11,红牛维生素功能饮料/普通型/250ML/24/广东促销/2025,10001134,否,0.00740,2024-06-01,2030-06-30,,,,,,
12,红牛维生素功能饮料/普通型/250ML/24/广东扫码中红包/2025,10001129,否,0.00740,2024-05-01,2032-06-01,,,,,,
13,红牛维生素功能饮料/普通型/250ML/24/29周年普通箱内码二期/2024,10001081,否,0.00740,2023-01-01,9999-12-31,112.80,2023-01-01,9999-12-31,2.15,2023-01-01,9999-12-31
14,国产/芙丝天然泉水330ML/24罐装/万豪定制款,81000272,否,,,,,,,,,
15,国产/芙丝水330ML/24瓶/牛皮纸环保装,81000270,否,,,,,,,,,
16,国产/芙丝水330ML/24瓶装/上海001,81000254,否,,,,,,,,,
17,国产/芙丝水500ML/24瓶装/万物有时节,81000235,否,,,,,,,,,
18,国产/芙丝水330ML/24瓶装/響联标,81000211,否,,,,,,,,,
19,国产/芙丝水375ML/20瓶/玻璃瓶/芙丝苏打水饮料（含气型）,81000197,否,,,,,,,,,
20,国产/芙丝气泡水330ML/12瓶装/蜜柚甜橘,81000287,否,,,,,,,,,
21,国产/芙丝水330ML/24瓶装/京东专供,81000285,否,,,,,,,,,
22,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-云贵/2026,10001204,否,,,,,,,,,
23,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2026,10001203,否,,,,,,,,,
24,红牛维生素功能饮料/普通型/250ML/24/普通箱内码-新疆专供/2026,10001201,否,,,,,,,,,
25,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2026,10001200,否,,,,,,,,,
26,红牛维生素功能饮料/普通型/250ML/24/普通箱内码/2026,10001199,否,,,,,,,,,
27,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-闽苏沪/2026,10001198,否,,,,,,,,,
28,红牛维生素功能饮料/普通型/250ML/24/29周年/广东箱内码三期/2024,10001103,否,,,,,,,,,
29,红牛维生素功能饮料/普通型/250ML/24/29周年/广东箱内码二期/2024,10001080,否,,,,,,,,,
30,红牛维生素功能饮料/普通型/250ML/24/1元乐享-广西/2024,10001079,否,,,,,,,,,
31,红牛维生素功能饮料/普通型/250ML/24/29周年/两元纸箱/台州二期彩膜装,10001077,否,,,,,,,,,
32,红牛维生素功能饮料/普通型/250ML/24/29周年/两元纸箱/台州专供二期,10001075,否,,,,,,,,,
33,红牛/普通型/250ML/24/扫码促销-金华箱内码专供/2024,10001055,否,,,,,,,,,
34,战马/310ML/24/罐装/2026/线下1元乐享,11000372,否,,,,,,,,,
35,战马/310ML/24/罐装/2026/线上1元乐享-新包装,11000371,否,,,,,,,,,
36,国产/神农明珠天然泉水/350ML/24瓶/无外箱/红动中原牛气冲天联标,81000290,否,,,,,,,,,
37,国产/神农明珠天然泉水/350ML/24瓶/无外箱/北站苗乡,81000258,否,,,,,,,,,
38,国产/神农明珠天然泉水/350ML/24瓶/无外箱,81000225,否,,,,,,,,,
39,国产/神农明珠天然泉水/5L/4桶装,81000237,否,,,,,,,,,
40,国产/神农明珠天然泉水/5L/4桶装/无外箱,81000227,否,,,,,,,,,
41,国产/神农明珠天然泉水/500ML/24瓶/无外箱/大角鹿联标,81000316,否,,,,,,,,,
42,国产/神农明珠天然泉水/500ML/24瓶/无外箱/交通银行联标,81000313,否,,,,,,,,,
43,国产/神农明珠天然泉水/500ML/24瓶/无外箱/初雄联标,81000314,否,,,,,,,,,
44,国产/神农明珠天然泉水/500ML/24瓶/无外箱/华彬航空联标,81000298,否,,,,,,,,,
45,国产/神农明珠天然泉水/500ML/24瓶/无外箱/德高防水联标,81000291,否,,,,,,,,,
46,国产/神农明珠天然泉水/500ML/24瓶/无外箱/名仕台球联标,81000289,否,,,,,,,,,
47,国产/神农明珠天然泉水/500ML/24瓶/无外箱/黄石联标,81000283,否,,,,,,,,,
48,国产/神农明珠天然泉水/500ml/24瓶/无外箱,81000240,否,,,,,,,,,
49,国产/神农明珠天然泉水/500ML/24瓶/交通银行联标,81000310,否,,,,,,,,,
50,国产/神农明珠天然泉水/500ML/24瓶/德高防水联标,81000304,否,,,,,,,,,
51,国产/神农明珠天然泉水/500ML/24瓶/华彬航空联标,81000294,否,,,,,,,,,
52,国产/神农明珠天然泉水/500ML/24瓶,81000224,否,,,,,,,,,
53,红牛维生素功能饮料/普通型/250ML/24/新疆专供/2026,10001193,否,0.00740,2026-01-01,9999-12-31,112.80,2026-01-01,9999-12-31,2.15,2026-01-01,9999-12-31
54,红牛维生素功能饮料/普通型/250ML/六罐装/31周年,10001191,否,0.00185,2026-01-01,9999-12-31,28.20,2026-01-01,9999-12-31,1.66,2026-01-01,9999-12-31
55,红牛维生素功能饮料/普通型/250ML/24/31周年纪念装,10001188,否,0.00740,2026-01-01,9999-12-31,112.80,2026-01-01,9999-12-31,2.15,2026-01-01,9999-12-31
56,红牛维生素功能饮料/普通型/250ML/24/广东1元乐享促销/2026,10001187,否,0.00740,2026-01-01,9999-12-31,112.80,2026-01-01,9999-12-31,2.15,2026-01-01,9999-12-31
57,红牛维生素功能饮料/普通型/250ML/24/广东红包促销/2026,10001186,否,0.00740,2026-01-01,9999-12-31,112.80,2026-01-01,9999-12-31,2.15,2026-01-01,9999-12-31
58,红牛维生素功能饮料/普通型/250ML/24/31周年/两元纸箱/台州专供一期,10001185,否,0.00740,2026-01-01,9999-12-31,112.80,2026-01-01,9999-12-31,2.15,2026-01-01,9999-12-31
59,红牛维生素功能饮料/牛磺酸强化型/250ml/24/31周年纪念装,10001184,否,0.00740,2026-01-01,9999-12-31,120.00,2026-01-01,9999-12-31,2.15,2026-01-01,9999-12-31
60,战马/330ML/24/罐装/含气/夏日柠檬味/广东促销,11000359,否,,,,,,,,,
61,战马/330ML/24/罐装/含气/春日白桃味/广东促销,11000358,否,,,,,,,,,
62,战马/330ML/24/罐装/含气/夏日浆果味/广东促销,11000357,否,,,,,,,,,
63,战马/330ML/24/罐装/含气/夏日柠檬味/常规装,11000353,否,,,,,,,,,
