序号,起运地,目的地,起-止,发运方式,线路,卸载方式
1,咸宁,泉州,咸宁~泉州,汽运,ZZ0180,1
2,武汉,湖北省孝感市孝南区,武汉~湖北省孝感市孝南区,汽运,Z09073,1
3,汕头,广东省河源市,汕头~广东省河源市,汽运,Z06390,1
4,汕头,广东省汕头市潮阳区,汕头~广东省汕头市潮阳区,汽运,Z06386,1
5,汕头,广东省汕头市普宁市,汕头~广东省汕头市普宁市,汽运,Z06387,1
6,咸宁,拉萨,咸宁~拉萨,华庭直配,ZZ0297,1
7,咸宁,咸宁,咸宁~咸宁,会议直配,ZZ0296,1
8,奥瑞金,咸宁,奥瑞金~咸宁,汽运,ZZ1325,1
9,宜兴,咸宁,宜兴~咸宁,汽运,ZZ0123,1
10,南昌,江西省上饶市鄱阳县,南昌~江西省上饶市鄱阳县,,Z07870,
11,重庆,重庆市重庆市云阳县,重庆~重庆市重庆市云阳县,,Z10543,
12,福州,福建省福州市台江区,福州~福建省福州市台江区,,Z09012,
13,太原,山西省吕梁市交口县,太原~山西省吕梁市交口县,,Z04013,
14,沈阳,辽宁省本溪市明山区,沈阳~辽宁省本溪市明山区,,Z10112,
15,兰州,甘肃省甘南藏族自治州舟曲县,兰州~甘肃省甘南藏族自治州舟曲县,,Z05536,
16,东莞,,东莞~,,Z08018,
17,福州,福建省福州市闽侯县,福州~福建省福州市闽侯县,,Z08885,
18,海口,海南省海口市龙华区,海口~海南省海口市龙华区,,Z08012,
19,,湖北省武汉市青山区,~湖北省武汉市青山区,,,
20,青岛,,青岛~,,000001,
21,济南,辽宁省丹东市凤城市,济南~辽宁省丹东市凤城市,,Z09092,
22,郑州,河南省郑州市管城回族区,郑州~河南省郑州市管城回族区,,Z09962,
23,郑州,河南省郑州市新郑市,郑州~河南省郑州市新郑市,,Z09963,
24,海口,,海口~,,Z10067,
25,济南,山东省济南市历下区,济南~山东省济南市历下区,,Z09404,
26,杭州,北京市北京市朝阳区,杭州~北京市北京市朝阳区,,Z06431,
27,南京,,南京~,,Z06610,
28,深圳,,深圳~,,Z09843,
29,济南,山东省济南市历下区,济南~山东省济南市历下区,,Z05818,
30,驻马店,河南省南阳市宛城区,驻马店~河南省南阳市宛城区,,Z09477,
31,青岛,山东省潍坊市寒亭区,青岛~山东省潍坊市寒亭区,,Z10539,
32,长春,吉林省长春市南关区,长春~吉林省长春市南关区,,Z10505,
33,重庆,重庆市重庆市云阳县,重庆~重庆市重庆市云阳县,,Z10557,
34,北京,,北京~,,Z04339,
35,武汉,,武汉~,,Z09902,
36,沈阳,辽宁省大连市西岗区,沈阳~辽宁省大连市西岗区,,Z04451,
37,驻马店,河南省漯河市源汇区,驻马店~河南省漯河市源汇区,,Z04888,
38,驻马店,河南省许昌市魏都区,驻马店~河南省许昌市魏都区,,Z09481,
39,哈尔滨,黑龙江省双鸭山市尖山区,哈尔滨~黑龙江省双鸭山市尖山区,,Z04568,
40,济南,山东省济南市历下区,济南~山东省济南市历下区,,Z09401,
41,和田,新疆维吾尔自治区喀什地区叶城县,和田~新疆维吾尔自治区喀什地区叶城县,,Z10235,
42,济南,山东省济南市历下区,济南~山东省济南市历下区,,Z05849,
43,济南,山东省济南市历下区,济南~山东省济南市历下区,,Z09400,
44,东莞,广东省东莞市,东莞~广东省东莞市,,Z08024,
45,上海,江苏省南京市鼓楼区,上海~江苏省南京市鼓楼区,,000001,
46,南京,,南京~,,Z09857,
47,,,~,,Z06587,
48,,,~,,ZZ2291,
49,,,~,,ZZ1162,
50,和田,新疆维吾尔自治区喀什地区泽普县,和田~新疆维吾尔自治区喀什地区泽普县,,Z10506,
51,太原,山西省长治市黎城县,太原~山西省长治市黎城县,,Z04049,
52,衡阳,湖南省岳阳市岳阳楼区,衡阳~湖南省岳阳市岳阳楼区,,Z10550,
53,太原,山西省忻州市五台县,太原~山西省忻州市五台县,,Z04026,
54,衡阳,湖南省怀化市鹤城区,衡阳~湖南省怀化市鹤城区,,Z10548,
55,长沙,湖南省邵阳市邵东市,长沙~湖南省邵阳市邵东市,,Z07347,
56,石家庄,河北省邢台市巨鹿县,石家庄~河北省邢台市巨鹿县,,Z08651,
57,衡阳,湖南省邵阳市双清区,衡阳~湖南省邵阳市双清区,,Z10544,
58,喀什,新疆维吾尔自治区和田地区和田市,喀什~新疆维吾尔自治区和田地区和田市,,Z05691,
59,喀什,新疆维吾尔自治区和田地区墨玉县,喀什~新疆维吾尔自治区和田地区墨玉县,,Z05697,
60,哈尔滨,黑龙江省牡丹江市东宁市,哈尔滨~黑龙江省牡丹江市东宁市,,Z04626,
61,深圳,,深圳~,,Z07966,
62,太原,山西省运城市万荣县,太原~山西省运城市万荣县,,Z04041,
63,福州,福建省宁德市周宁县,福州~福建省宁德市周宁县,,Z06159,
64,济南,山东省济南市历下区,济南~山东省济南市历下区,,Z05890,
65,济南,山东省济南市历下区,济南~山东省济南市历下区,,Z09403,
66,太原,山西省晋城市城区,太原~山西省晋城市城区,,Z03964,
67,乌鲁木齐,新疆维吾尔自治区乌鲁木齐市水磨沟区,乌鲁木齐~新疆维吾尔自治区乌鲁木齐市水磨沟区,,Z09960,
68,汕头,广东省揭阳市普宁市,汕头~广东省揭阳市普宁市,,Z10551,
69,广州,广东省清远市清城区,广州~广东省清远市清城区,,Z07969,
70,南宁,,南宁~,,Z09601,
