,序号,操作,主键ID,检测项目,适用类型,审批状态,启/禁状态,显示顺序,备注信息
,1,详情 反审 禁用,PDBW0140,焊缝外补涂外观,全部,已完成,启用,--,--
,2,详情 反审 禁用,PDBW0139,紫外杀菌强度,全部,已完成,启用,--,--
,3,详情 反审 禁用,PDBW0138,流速,全部,已完成,启用,--,--
,4,详情 反审 禁用,PDBW0137,压力,全部,已完成,启用,--,--
,5,详情 反审 禁用,PDBW0136,糖浆温度,全部,已完成,启用,--,--
,6,详情 反审 禁用,PDBW0135,细菌总数,全部,已完成,启用,--,--
,7,详情 反审 禁用,PDBW0134,还原糖分,全部,已完成,启用,--,--
,8,详情 反审 禁用,PDBW0133,蔗糖分,全部,已完成,启用,--,--
,9,详情 反审 禁用,PDBW0132,色泽,全部,已完成,启用,--,--
,10,详情 反审 禁用,PDBW0131,混浊度,全部,已完成,启用,--,--
,11,详情 反审 禁用,PDBW0130,色值,全部,已完成,启用,--,--
,12,详情 反审 禁用,PDBW0129,干物质（固形物）含量,全部,已完成,启用,0,--
,13,详情 反审 禁用,PDBW0128,整箱称重检查,全部,已完成,启用,0,--
,14,详情 反审 禁用,PDBW0127,每箱数量,全部,已完成,启用,0,--
,15,详情 反审 禁用,PDBW0126,每条产品数量,全部,已完成,启用,0,--
,16,详情 反审 禁用,PDBW0125,墨码、二维码附着力,全部,已完成,启用,0,--
,17,详情 反审 禁用,PDBW0124,热缩温度,全部,已完成,启用,0,--
,18,详情 反审 禁用,PDBW0123,每条数量,全部,已完成,启用,0,--
,19,详情 反审 禁用,PDBW0122,自检内容,全部,已完成,启用,0,--
,20,详情 反审 禁用,PDBW0121,顶盖印刷,全部,已完成,启用,0,--
,21,详情 反审 禁用,PDBW0120,内压打检,全部,已完成,启用,0,--
,22,详情 反审 禁用,PDBW0119,罐身温度,全部,已完成,启用,0,--
,23,详情 反审 禁用,PDBW0118,倒罐检测,全部,已完成,启用,0,--
,24,详情 反审 禁用,PDBW0117,罐内压力,全部,已完成,启用,0,--
,25,详情 反审 禁用,PDBW0116,产品液位,全部,已完成,启用,0,--
,26,详情 反审 禁用,PDBW0115,水质及pH值,全部,已完成,启用,0,--
,27,详情 反审 禁用,PDBW0114,安全隐患,全部,已完成,启用,0,--
,28,详情 反审 禁用,PDBW0113,人员卫生,全部,已完成,启用,0,--
,29,详情 反审 禁用,PDBW0112,环境卫生,全部,已完成,启用,0,--
,30,详情 反审 禁用,PDBW0111,设备运转,全部,已完成,启用,0,--
,31,详情 反审 禁用,PDBW0110,泼料情况,全部,已完成,启用,0,--
,32,详情 反审 禁用,PDBW0109,内压,全部,已完成,启用,0,--
,33,详情 反审 禁用,PDBW0108,净含量(重量),全部,已完成,启用,0,--
,34,详情 反审 禁用,PDBW0107,CIP效果,全部,已完成,启用,0,--
,35,详情 反审 禁用,PDBW0106,CIP频次,全部,已完成,启用,0,--
,36,详情 反审 禁用,PDBW0105,洗罐水压力,全部,已完成,启用,0,--
,37,详情 反审 禁用,PDBW0104,洗罐水温度,全部,已完成,启用,0,--
