,序号,操作,主键ID,检测项目代码,适用类型,审批状态,启/禁状态,显示顺序,备注信息
,1,详情 反审 禁用,DREW0124,-,工序控制,已完成,启用,--,--
,2,详情 反审 禁用,DREW0123,GF00000024,工序控制,已完成,启用,--,--
,3,详情 反审 禁用,DREW0122,GC00000059,工序控制,已完成,启用,--,--
,4,详情 反审 禁用,DREW0121,GF00000023,工序控制,已完成,启用,--,--
,5,详情 反审 禁用,DREW0120,GC00000058,工序控制,已完成,启用,--,--
,6,详情 反审 禁用,DREW0119,无,全部,已完成,启用,--,--
,7,详情 反审 禁用,DREW0118,GF00000022,工序控制,已完成,启用,--,--
,8,详情 反审 禁用,DREW0117,GF00000021,工序控制,已完成,启用,--,--
,9,详情 反审 禁用,DREW0116,GF00000020,工序控制,已完成,启用,--,--
,10,详情 反审 禁用,DREW0115,GF00000019,工序控制,已完成,启用,--,--
,11,详情 反审 禁用,DREW0114,GF00000018,工序控制,已完成,启用,--,--
,12,详情 反审 禁用,DREW0113,GF00000017,工序控制,已完成,启用,--,--
,13,详情 反审 禁用,DREW0112,GF00000016,工序控制,已完成,启用,--,--
,14,详情 反审 禁用,DREW0111,GF00000015,工序控制,已完成,启用,--,--
,15,详情 反审 禁用,DREW0110,GF00000014,工序控制,已完成,启用,--,--
,16,详情 反审 禁用,DREW0109,GF00000013,工序控制,已完成,启用,--,--
,17,详情 反审 禁用,DREW0108,GF00000012,工序控制,已完成,启用,--,--
,18,详情 反审 禁用,DREW0107,GF00000011,工序控制,已完成,启用,--,--
,19,详情 反审 禁用,DREW0106,GF00000010,工序控制,已完成,启用,--,--
,20,详情 反审 禁用,DREW0105,GF00000009,工序控制,已完成,启用,--,--
,21,详情 反审 禁用,DREW0104,GF00000008,工序控制,已完成,启用,--,--
,22,详情 反审 禁用,DREW0103,GF00000007,工序控制,已完成,启用,--,--
,23,详情 反审 禁用,DREW0102,GF00000006,工序控制,已完成,启用,--,--
,24,详情 反审 禁用,DREW0101,GF00000005,工序控制,已完成,启用,--,--
,25,详情 反审 禁用,DREW0100,GF00000004,工序控制,已完成,启用,--,--
,26,详情 反审 禁用,DREW0099,GF00000003,工序控制,已完成,启用,--,--
,27,详情 反审 禁用,DREW0098,GF00000002,工序控制,已完成,启用,--,--
,28,详情 反审 禁用,DREW0097,GF00000001,工序控制,已完成,启用,--,--
,29,详情 反审 禁用,DREW0096,GC00000057,工序控制,已完成,启用,--,--
,30,详情 反审 禁用,DREW0095,GC00000056,工序控制,已完成,启用,--,--
,31,详情 反审 禁用,DREW0094,GC00000055,工序控制,已完成,启用,--,--
,32,详情 反审 禁用,DREW0093,GC00000054,工序控制,已完成,启用,--,--
,33,详情 反审 禁用,DREW0092,GC00000053,工序控制,已完成,启用,--,--
,34,详情 反审 禁用,DREW0091,GC00000052,工序控制,已完成,启用,--,--
,35,详情 反审 禁用,DREW0090,GC00000051,工序控制,已完成,启用,--,--
,36,详情 反审 禁用,DREW0089,GC00000050,工序控制,已完成,启用,--,--
,37,详情 反审 禁用,DREW0088,GC00000049,工序控制,已完成,启用,--,--
,38,详情 反审 禁用,DREW0087,GC00000048,工序控制,已完成,启用,--,--
,39,详情 反审 禁用,DREW0086,GC00000047,工序控制,已完成,启用,--,--
,40,详情 反审 禁用,DREW0085,GC00000046,工序控制,已完成,启用,--,--
,41,详情 反审 禁用,DREW0084,GC00000045,工序控制,已完成,启用,--,--
,42,详情 反审 禁用,DREW0083,GC00000044,工序控制,已完成,启用,--,--
,43,详情 反审 禁用,DREW0082,GC00000043,工序控制,已完成,启用,--,--
,44,详情 反审 禁用,DREW0081,GC00000042,工序控制,已完成,启用,--,--
,45,详情 反审 禁用,DREW0080,GC00000041,工序控制,已完成,启用,--,--
,46,详情 反审 禁用,DREW0079,GC00000040,工序控制,已完成,启用,--,--
,47,详情 反审 禁用,DREW0078,GC00000039,工序控制,已完成,启用,--,--
,48,详情 反审 禁用,DREW0077,GC00000038,工序控制,已完成,启用,--,--
,49,详情 反审 禁用,DREW0076,GC00000037,工序控制,已完成,启用,--,--
,50,详情 反审 禁用,DREW0075,GC00000036,工序控制,已完成,启用,--,--
