id,dict_id,standard_level_id,standard_level_name,process_post_id,process_post_name,process_node,check_object_name,goods_cate_id,goods_cate_name,mat_name,mat_code,tech_standard_version,org_id,org_code,org_name,inspection_project_id,inspection_project_name,inspection_item_id,inspection_item_code,is_judge,sampling_dept_org_id,sampling_dept_org_name,inspection_dept_org_id,inspection_dept_org_name,inner_outer_inspection,quant_qual_type,initial_reinspect,sampling_check_position_id,sampling_check_position_name,inspection_cycle_id,inspection_cycle_name,inspect_unit_qty,status,order_status,ct_uid,up_uid,create_time,check_user_signature,process_arr,remark,inspection_unit_id,inspection_unit,push_system,start_time,can_skip_day,calculate_id,calculate_name,sampling_qty,sampling_unit_id,sampling_unit,inspection_frequency_id,inspection_frequency,inspection_rate_id,inspection_rate,inspection_tool,parameter_standard,abnormal_standard_id,abnormal_standard,indicator_unit_id,indicator_unit,lower_limit,upper_limit,decimal_places,min_unqualified_abnormal,abnormal_result_id,abnormal_result,exceed_plan,inspection_method,valid_begin_date,valid_end_date,is_sync,version,assoc_type
1,CMZI0001,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,,,,41,感官,40,GC00000001,1,6,生产部,6,生产部,1,2,1,1,原水箱,2,定期检测,,3,1,139,1,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/班,玻璃烧杯、目测、嗅觉,清澈透明、无异味,17,浑浊/异味,,,,,,1,14,复检,若有不合格，取同一工作班次制水岗位原水500ml进行复检。,接班后1小时内，通过目测和嗅觉感官，从制水岗位取原水500ml进行检测。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
2,CMZI0002,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,,,,41,感官,97,GF00000001,1,6,生产部,6,生产部,1,2,2,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/班,玻璃烧杯、目测、嗅觉,清澈透明、无异味,17,浑浊/异味,,,,,,1,5,停机汇报,若仍有不合格，立即停机汇报,通过目测和嗅觉感官，取同一工作班次制水岗位原水500ml进行复检。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
3,CMZI0003,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,5,8883,红牛维他命饮料（湖北）有限公司,41,感官,41,GC00000002,1,6,生产部,6,生产部,1,1,1,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/周,色度计,≤5,,,33,PCU,0.00,5.00,2,1,14,复检,若有不合格，取同一工作班次制水岗位原水50ml进行复检,接班后1小时内，色度计，从制水岗位取原水50ml进行检测。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
4,CMZI0004,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,5,8883,红牛维他命饮料（湖北）有限公司,41,感官,98,GF00000002,1,6,生产部,6,生产部,1,1,2,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/周,色度计,≤5,,,33,PCU,0.00,5.00,2,1,5,停机汇报,若仍有不合格，立即停机汇报,使用色度计，取同一工作班次制水岗位原水50ml进行复检。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
5,CMZI0005,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,,,,41,感官,42,GC00000003,1,5,品管部,5,品管部,1,1,1,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/CIP,色度计,≤5,,,33,PCU,0.00,5.00,2,1,14,复检,若有不合格，取同一工作班次制水岗位原水50ml进行复检,接班后1小时内，色度计，从制水岗位取原水50ml进行检测。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
6,CMZI0006,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,,,,41,感官,99,GF00000003,1,5,品管部,5,品管部,1,1,2,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/周,色度计,≤5,,,33,PCU,0.00,5.00,2,1,5,停机汇报,若仍有不合格，立即停机汇报,使用色度计，取同一工作班次制水岗位原水50ml进行复检。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
7,CMZI0007,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,,,,65,菌落总数,42,GC00000003,1,5,品管部,5,品管部,1,1,1,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/CIP,滤膜组架、培养箱,≤100CFU/100ml,,,29,CFU/100mL,0,100,0,1,14,复检,若有不合格，取同一CIP期间制水岗位原水100ml进行复检。,车间CIP过程中，通过滤膜法，取制水岗位原水100ml原水进行初检。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
8,CMZI0008,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,,,,83,大肠菌群,42,GC00000003,1,5,品管部,5,品管部,1,1,1,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/CIP,滤膜组架、培养箱,不得检出,,,29,CFU/100mL,0,0,0,1,14,复检,若有不合格，取同一CIP期间制水岗位原水100ml进行复检。,车间CIP过程中，通过滤膜法，取制水岗位原水100ml原水进行初检。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
9,CMZI0009,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,,,,84,霉菌,42,GC00000003,1,5,品管部,5,品管部,1,1,1,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/CIP,滤膜组架、培养箱,不得检出,,,29,CFU/100mL,0,0,0,1,14,复检,若有不合格，取同一CIP期间制水岗位原水100ml进行复检。,车间CIP过程中，通过滤膜法，取制水岗位原水100ml原水进行初检。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
10,CMZI0010,7,集团标准,1,制水,配料,原水,,,,,Q/RW-TS-001-2023,,,,85,酵母菌,42,GC00000003,1,5,品管部,5,品管部,1,1,1,1,原水箱,2,定期检测,,3,1,139,,2026-06-24 17:47:31,,,,,,1,,,1,单次,,,,11,大于等于1,,1次/CIP,滤膜组架、培养箱,不得检出,,,29,CFU/100mL,0,0,0,1,14,复检,若有不合格，取同一CIP期间制水岗位原水100ml进行复检。,车间CIP过程中，通过滤膜法，取制水岗位原水100ml原水进行初检。,2025-01-01,9999-12-31,1,001,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
