id,goods_code,goods_name,is_gift,weight,expiry_date,from_date,exp_arr,price,price_expiry_date,price_from_date,price_exp_arr,box_price,box_price_expiry_date,box_price_from_date,box_price_exp_arr
664,11000404,战马/310ML/24/罐装/2026/新包装线下1元乐享（二段）,0,0.00001,9999-12-31,2023-01-01,"[{'id': 371, 'goods_id': 664, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
663,11000401,战马/330ML/24/罐装/含气/夏日柠檬味/扫码红包2026,0,0.00001,9999-12-31,2023-01-01,"[{'id': 370, 'goods_id': 663, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
662,11000400,战马/330ML/24/罐装/含气/春日白桃味/扫码红包2026,0,0.00001,9999-12-31,2023-01-01,"[{'id': 369, 'goods_id': 662, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
661,11000399,战马/330ML/24/罐装/含气/夏日浆果味/扫码红包2026,0,0.00001,9999-12-31,2023-01-01,"[{'id': 368, 'goods_id': 661, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
660,11000398,战马/330ML/24/罐装/含气/菠萝西柚味/扫码红包2026,0,0.00001,9999-12-31,2023-01-01,"[{'id': 367, 'goods_id': 660, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
659,11000396,战马/330ML/24/罐装/含气/蓝莓黑加仑味/扫码红包2026,0,0.00001,9999-12-31,2023-01-01,"[{'id': 366, 'goods_id': 659, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
658,11000391,战马/330ML/24/罐装/含气/青苹果葡萄味/扫码红包2026,0,0.00001,9999-12-31,2023-01-01,"[{'id': 365, 'goods_id': 658, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
657,81000285,国产/芙丝水330ML/24瓶装/京东专供,0,0.00001,9999-12-31,2023-01-01,"[{'id': 364, 'goods_id': 657, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
656,81000197,国产/芙丝水375ML/20瓶/玻璃瓶/芙丝苏打水饮料（含气型）,0,0.00001,9999-12-31,2023-01-01,"[{'id': 363, 'goods_id': 656, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
655,11000384,战马/310ML/24/罐装/2026/新包装线下1元乐享,0,0.00001,9999-12-31,2023-01-01,"[{'id': 362, 'goods_id': 655, 'weight': '0.00001', 'from_date': '2023-01-01', 'expiry_date': '9999-12-31', 'status': 2}]",,,,[],,,,[]
