id,type,sales_ltd,seller,sales_org,factory_code,address,province,city,district,note,ct_uid,up_uid,create_time
54,2,青岛分公司销售组织,--,8844,--,,,,,,1,1,2024-05-22 10:51:35
53,2,川东代表处销售组织,,8843,,,,,,,1,,2024-05-22 10:51:35
51,2,金华分公司销售组织,,8841,,,,,,,1,,2024-05-22 10:51:35
50,2,温州分公司销售组织,,8840,,,,,,,1,,2024-05-22 10:51:35
49,2,豫南代表处销售组织,,8839,,,,,,,1,,2024-05-22 10:51:35
48,2,湛江分公司销售组织,,8838,,,,,,,1,,2024-05-22 10:51:35
47,2,新疆分公司南疆销售组织,,8837,,,,,,,1,,2024-05-22 10:51:35
46,2,东莞分公司销售组织,,8836,,,,,,,1,1,2024-05-22 10:51:35
45,2,新疆分公司销售组织,,8835,,,,,,,1,,2024-05-22 10:51:35
44,2,宁夏分公司销售组织,,8834,,,,,,,1,,2024-05-22 10:51:35
43,2,青海分公司销售组织,,8833,,,,,,,1,,2024-05-22 10:51:35
42,2,西藏销售组织,,8832,,,,,,,1,,2024-05-22 10:51:35
41,2,甘肃分公司销售组织,,8831,,,,,,,1,,2024-05-22 10:51:35
40,2,陕西分公司销售组织,,8830,,,,,,,1,,2024-05-22 10:51:35
39,2,重庆分公司销售组织,,8829,,,,,,,1,,2024-05-22 10:51:35
38,2,贵州分公司销售组织,,8828,,,,,,,1,,2024-05-22 10:51:35
37,2,贵州分公司销售组织,,8845,,,,,,,1,,2024-05-22 10:51:35
36,2,云南分公司销售组织,,8827,,,,,,,1,,2024-05-22 10:51:35
35,2,成都分公司销售组织,,8826,,,,,,,1,,2024-05-22 10:51:35
34,2,海南分公司销售组织,,8825,,,,,,,1,,2024-05-22 10:51:35
33,2,深圳分公司粤东销售组织,,8824,,,,,,,1,,2024-05-22 10:51:35
32,2,湖南分公司销售组织,,8823,,,,,,,1,,2024-05-22 10:51:35
31,2,深圳分公司销售组织,,8822,,,,,,,1,,2024-05-22 10:51:35
30,2,南宁分公司销售组织,,8821,,,,,,,1,,2024-05-22 10:51:35
29,2,广州分公司销售组织,,8820,,,,,,,1,,2024-05-22 10:51:35
28,2,上海分公司销售组织,,8819,,,,,,,1,,2024-05-22 10:51:35
27,2,杭州分公司销售组织,,8818,,,,,,,1,,2024-05-22 10:51:35
26,2,福建分公司销售组织,,8817,,,,,,,1,,2024-05-22 10:51:35
25,2,安徽分公司销售组织,,8816,,,,,,,1,,2024-05-22 10:51:35
24,2,南京分公司销售组织,,8815,,,,,,,1,,2024-05-22 10:51:35
23,2,山东青岛代表处销售组织,,8814,,,,,,,1,,2024-05-22 10:51:35
22,2,苏北分公司销售组织,,8813,,,,,,,1,,2024-05-22 10:51:35
21,2,山东分公司销售组织,,8812,,,,,,,1,,2024-05-22 10:51:35
20,2,江西分公司销售组织,,8811,,,,,,,1,,2024-05-22 10:51:35
19,2,湖北分公司销售组织,,8810,,,,,,,1,,2024-05-22 10:51:35
18,2,河南分公司销售组织,,8809,,,,,,,1,,2024-05-22 10:51:35
17,2,哈尔滨分公司销售组织,,8808,,,,,,,1,,2024-05-22 10:51:35
16,2,吉林分公司销售组织,,8807,,,,,,,1,,2024-05-22 10:51:35
15,2,辽宁分公司销售组织,,8806,,,,,,,1,,2024-05-22 10:51:35
14,2,内蒙代表处销售组织,,8805,,,,,,,1,,2024-05-22 10:51:35
13,2,山西分公司销售组织,,8804,,,,,,,1,,2024-05-22 10:51:35
12,2,天津分公司销售组织,,8803,,,,,,,1,,2024-05-22 10:51:35
11,2,河北代表处销售组织,,8802,,,,,,,1,,2024-05-22 10:51:35
10,2,北京分公司销售组织,,8801,,,,,,,1,1,2024-05-22 10:51:35
9,2,北京红牛饮料销售汕头分公司,,8842,,,,,,分公司,1,1,2024-05-09 09:28:10
8,1,华彬快速消费品销售（江苏）有限公司,688300,6883,83A1,江苏省宜兴经济技术开发区永盛路 88 号,,,,,1,1,2024-04-18 11:24:10
7,1,战马（北京）饮料有限公司,686300,6863,6301,北京市怀柔区雁栖北一街 2 号 1 幢 302 室,,,,,1,1,2024-04-18 11:19:51
6,1,芙丝（中国）饮品销售有限公司,686400,6864,6401,湖北省竹溪县西关大道 88 号,广东省,珠海市,横琴新区,,,1,2024-03-27 09:26:51
5,1,华彬快速消费品销售（湖北）有限公司,688600,6886,86A1,咸宁市高新区贺胜路 88 号,,,,,,1,2024-03-27 09:26:22
4,1,北京红牛饮料销售有限公司,888800,8888,8801,北京市朝阳区建国门外大街永安东里 8 号华彬国际大厦 22 层 2201-2205,,,,,,1,2024-03-27 09:24:39
3,1,华彬快速消费品销售（福建）有限公司,688400,6884,84A1,中国（福建）自由贸易试验区厦门片区象屿路 93 号厦门国际航运中心 C 栋 4 层 431 单元 E,,,,,,1,2024-03-27 09:24:06
2,1,华彬快速消费品销售（贵州）有限公司,688500,6885,85A1,贵州省贵安新区大学城数字经济产业园 4 号楼 9-1,贵州省,贵阳市,,,,1,2024-03-27 09:23:41
1,1,华彬（广东）企业管理有限公司,688900,6889,89A1,珠海市横琴新区环岛东路 3018 号 1201-1202 办公,广东省,珠海市,香洲区,区域结算中心,,1,2024-03-27 09:22:54
