序号,岗位名称,所属部门,建议薪酬,任职条件,岗位职责/责任说明,工作地点,工作内容,岗位标配人数,工作班制,岗位作业类型,工作班时间,状态,显示顺序,更新人,更新时间
1,总经理,湖北生产基地,,,,,,,,,,启用,0,,2025-07-15 09:59:34
2,安全专员,安全管理部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:39:06
3,成本会计主管,财务部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:57:51
4,网络管理员,人事行政部办公室,,,,,,,,,,启用,0,,2025-07-11 09:11:36
5,化验室主管,品管部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 14:40:01
6,生产统计员,生产部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:30
7,储运统计员,储运采购部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:37
8,SAP专员,储运采购部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:41:44
1,总经理,湖北生产基地,,,,,,,,,,启用,0,,2025-07-15 09:59:34
2,安全专员,安全管理部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:39:06
3,成本会计主管,财务部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:57:51
4,网络管理员,人事行政部办公室,,,,,,,,,,启用,0,,2025-07-11 09:11:36
5,化验室主管,品管部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 14:40:01
6,生产统计员,生产部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:30
7,储运统计员,储运采购部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:37
8,SAP专员,储运采购部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:41:44
1,总经理,湖北生产基地,,,,,,,,,,启用,0,,2025-07-15 09:59:34
2,安全专员,安全管理部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:39:06
3,成本会计主管,财务部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:57:51
4,网络管理员,人事行政部办公室,,,,,,,,,,启用,0,,2025-07-11 09:11:36
5,化验室主管,品管部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 14:40:01
6,生产统计员,生产部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:30
7,储运统计员,储运采购部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:37
8,SAP专员,储运采购部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:41:44
1,总经理,湖北生产基地,,,,,,,,,,启用,0,,2025-07-15 09:59:34
2,安全专员,安全管理部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:39:06
3,成本会计主管,财务部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:57:51
4,网络管理员,人事行政部办公室,,,,,,,,,,启用,0,,2025-07-11 09:11:36
5,化验室主管,品管部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 14:40:01
6,生产统计员,生产部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:30
7,储运统计员,储运采购部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:37
8,SAP专员,储运采购部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:41:44
1,总经理,湖北生产基地,,,,,,,,,,启用,0,,2025-07-15 09:59:34
2,安全专员,安全管理部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:39:06
3,成本会计主管,财务部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:57:51
4,网络管理员,人事行政部办公室,,,,,,,,,,启用,0,,2025-07-11 09:11:36
5,化验室主管,品管部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 14:40:01
6,生产统计员,生产部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:30
7,储运统计员,储运采购部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:37
8,SAP专员,储运采购部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:41:44
1,总经理,湖北生产基地,,,,,,,,,,启用,0,,2025-07-15 09:59:34
2,安全专员,安全管理部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:39:06
3,成本会计主管,财务部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:57:51
4,网络管理员,人事行政部办公室,,,,,,,,,,启用,0,,2025-07-11 09:11:36
5,化验室主管,品管部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 14:40:01
6,生产统计员,生产部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:30
7,储运统计员,储运采购部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:37
8,SAP专员,储运采购部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:41:44
1,总经理,湖北生产基地,,,,,,,,,,启用,0,,2025-07-15 09:59:34
2,安全专员,安全管理部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:39:06
3,成本会计主管,财务部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:57:51
4,网络管理员,人事行政部办公室,,,,,,,,,,启用,0,,2025-07-11 09:11:36
5,化验室主管,品管部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 14:40:01
6,生产统计员,生产部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:30
7,储运统计员,储运采购部办公室,,,,,,,,,,启用,0,佘茜,2025-09-25 11:45:37
8,SAP专员,储运采购部,,,,,,,,,,启用,0,佘茜,2025-09-25 11:41:44
