序号,供应商大类,供应商编码,供应商名称,供应商简称,城市,街道,联系人,联系电话,邮件地址,供应商类型,账户组,供应商等级,资质是否临期,状态,创建时间
1,原材料,,郑州瑞斯福食品科技有限公司,瑞斯福香精,,工信大道68号,刘雯,15699956126,,香精,A001,,是,启用,2026-01-08 09:44:23
2,其他,,三车间,,,,,,,,,,是,启用,2025-11-14 14:31:50
3,其他,,二车间,,,,,,,,,,是,启用,2025-11-14 14:31:42
4,其他,,一车间,,,,,,,,,,是,启用,2025-11-14 14:31:34
5,综合物资,19000349,中国石油化工股份有限公司湖北咸宁石油,咸宁石油,,长安大道159号,张云云,13036171177,,辅料,A002,B,是,启用,2025-10-29 17:25:09
6,备件,19004276,湖北祥源电气科技有限公司,湖北祥源,,咸安经济开发区食品工业园横一路,唐涛,0715-8326665,,"备件,维修服务",A003,B,是,启用,2025-10-14 14:23:15
7,备件,19009402,咸宁市诺贝佳机电设备有限公司,诺贝佳,,咸宁高新技术产业开发区龟山路11号,彭茂炎,0715-8180300,,备件,A003,B,是,启用,2025-10-14 13:57:22
8,备件,16000491,武汉特富锅炉有限公司,特富锅炉,,江岸区丹水池街汉黄路5号天悦尚景1205,段炼,027-82439046,,"备件,维修服务",A003,B,是,启用,2025-10-14 13:52:38
9,备件,16001384,北京妙想科技有限公司,妙想科技,,通州区永乐经济开发区恒业七街6号及6号院9号楼101,李云东,010-57057231,,备件,A003,B,是,启用,2025-10-14 11:38:47
10,备件,19009470,道专（上海）智能技术发展有限公司,道专,,嘉定区众仁路399号1幢12层区J1623室,蔡晋,021-61400671,,备件,A003,B,是,启用,2025-10-14 11:34:15
11,原材料,,武汉市菲利纸业有限责任公司（博太三厂）,博太三厂,,蔡甸区张湾街官塘村工业园135号,陈鑫,13886080574,,纸皮,A001,,否,启用,2025-10-13 13:37:00
12,原材料,,湖北丰环包装有限公司（博太二厂）,博太二厂,,开发区航空路六合工业园,郑莉,13807290731,,纸皮,,,是,启用,2025-10-13 13:32:27
13,原材料,9100000,武汉三叶印务包装有限公司（博太一厂）,博太一厂,,汉阳区代李湾特5号,王勇,13971945730,,纸皮,,,否,启用,2025-10-13 10:34:26
14,原材料,11000010,天津多福源,天津多福源,,天津市静海区梁头镇张庄子村东侧660米,赵莉莉,18020136711,,内容物,A001,,是,启用,2025-10-11 10:57:08
