序号,物料大类,条码/物料编码,物料名称/描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,供应链可用状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产,税率(%),物料来源,ABC分类,创建时间
1,其他,14000167,AGV叉车（二期-005）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
2,其他,14000166,AGV叉车（二期-004）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
3,其他,14000165,AGV叉车（二期-003）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
4,其他,14000164,AGV叉车（二期-002）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
5,其他,14000163,AGV叉车（二期-001）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
6,其他,14000162,AGV叉车（三期-007）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
7,其他,14000161,AGV叉车（三期-006）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
8,其他,14000152,AGV叉车（三期-005）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
9,其他,14000151,AGV叉车（三期-004）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
10,其他,14000150,AGV叉车（三期-003）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
11,其他,14000149,AGV叉车（三期-002）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-02-10 10:29:38
12,其他,14000148,AGV叉车（三期-001）,,运输设备,台,,,,,0,已启用,启用,0.000,,,否,是,13,自制,,2026-01-07 16:39:51
13,其他,4090000291,二车间配料减压系统,,生产设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-12-05 10:56:05
14,其他,4099900009,三车间水暖设备机组,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 15:57:06
15,其他,4099900008,二车间水暖设备机组,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 15:57:06
16,其他,4099900007,一车间水暖设备机组,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 15:57:06
17,其他,8000012560,自动拆包上盖机 SLF300-VI(六线),,生产设备,个,,,,,0,已启用,启用,0.000,,,否,否,13,自制,,2025-11-28 11:56:29
18,其他,8000012559,自动拆包上盖机 SLF300-VI(五线),,生产设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 11:56:29
19,其他,8000012558,自动拆包上盖机 SLF300-VI(四线),,生产设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 11:56:29
20,其他,8000012557,自动拆包上盖机 SLF300-VI(三线),,生产设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 11:56:29
21,其他,8000012556,自动拆包上盖机 SLF300-VI(二线),,生产设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 11:56:29
22,其他,8000012555,自动拆包上盖机 SLF300-VI(一线),,生产设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 11:56:29
23,其他,	 4099900006,三车间检测设备,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 11:44:25
24,其他,	 4099900005,二车间检测设备,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 11:44:25
25,其他,	 4099900004,一车间检测设备,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-28 11:44:25
26,其他,14000169,电瓶叉车-（海斯特）J3.0UT（鄂L02684）,,运输设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-11-27 14:14:09
27,其他,4099900003,三车间设备机组,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-10-10 14:20:18
28,其他,4099900002,二车间设备机组,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-10-10 14:20:17
29,其他,4099900001,一车间设备机组,,生产设备,台,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-10-10 14:20:17
30,其他,4090000030,一车间配料减压系统,,生产设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-08-26 20:01:48
31,其他,4090000029,二车间配料蒸汽疏水系统,,生产设备,个,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-08-26 20:01:48
