序号,物料编码,商品名称,启/禁状态,单位重量(吨/箱),物料单位,单位货值(元/箱),纸箱价格(元/张),外包装箱价格,是否促销物料,是否箱内码促销,是否消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止,创建时间
1,11000405,战马/330ML/24/罐装/含气/春日白桃味/普通型,启用,,CAR,,,2.17,否,否,否,否,罐装330ML战马,胶带,是,否,12×2,24,,全国,否,18个月,铝罐,2026年4月新增物料,1.000,战马,罐装战马,,,,,60,2026-01-01,9999-12-31,2026-05-15 10:28:34
2,11000412,战马/330ML/24/罐装/含气/夏日柠檬味/扫码1元乐享/2026,启用,,CAR,,,2.17,否,是,是,否,罐装330ML战马,胶带,是,否,12×2,24,,除新疆、青海、内蒙古、西藏以外的中国大陆地区,否,18个月,铝罐,2026年4月新增物料,1.000,战马,罐装战马,,,,,60,2026-01-01,9999-12-31,2026-05-15 10:28:33
3,11000411,战马/330ML/24/罐装/含气/春日白桃味/扫码1元乐享/2026,启用,,CAR,,,2.17,否,是,是,否,罐装330ML战马,胶带,是,否,12×2,24,,除新疆、青海、内蒙古、西藏以外的中国大陆地区,否,18个月,铝罐,2026年4月新增物料,1.000,战马,罐装战马,,,,,60,2026-01-01,9999-12-31,2026-05-15 10:28:33
4,11000409,战马/330ML/24/罐装/含气/夏日柠檬味/收拉环1元乐享/2026,启用,,CAR,,,2.17,否,是,否,是,罐装330ML战马,胶带,是,否,12×2,24,,除广东、福建、海南、西藏之外的中国大陆地区,否,18个月,铝罐,2026年4月新增物料,1.000,战马,罐装战马,,,,,60,2026-01-01,9999-12-31,2026-05-15 10:28:32
5,11000408,战马/330ML/24/罐装/含气/春日白桃味/收拉环1元乐享/2026,启用,,CAR,,,2.17,否,是,否,是,罐装330ML战马,胶带,是,否,12×2,24,,除广东、福建、海南、西藏之外的中国大陆地区,否,18个月,铝罐,2026年4月新增物料,1.000,战马,罐装战马,,,,,60,2026-01-01,9999-12-31,2026-05-15 10:28:32
6,81000323,国产/芙丝水500ML/24瓶装/艺术家夏季限定装,启用,0.01380,CAR,91.20,3.91,3.91,否,否,否,否,国产芙丝500MLPET,热熔胶+缩膜,是,是,6×4,24,,,否,24个月,塑料瓶,2026年5月新增物料,1.000,芙丝,国产芙丝,,,,,60,2026-01-01,2099-12-31,2026-05-15 10:28:31
7,11000410,战马/330ML/24/罐装/含气/菠萝西柚味/扫码1元乐享/2026,启用,0.00866,CAR,100.80,2.17,2.17,否,是,是,否,罐装330ML战马,胶带,是,否,12×2,24,,除新疆、青海、内蒙古、西藏以外的中国大陆地区,否,18个月,,2026年4月新增物料,1.000,战马,罐装战马,,,,,60,2026-01-01,2099-12-31,2026-05-15 10:28:31
8,11000407,战马/330ML/24/罐装/含气/菠萝西柚味/收拉环1元乐享/2026,启用,0.00866,CAR,100.80,2.17,2.17,否,否,否,是,罐装330ML战马,胶带,是,否,12×2,24,,除广东、福建、海南、西藏之外的中国大陆地区,否,18个月,,2026年4月新增物料,1.000,战马,罐装战马,,,,,,2026-01-01,2099-12-31,2026-05-15 10:28:30
9,81000287,国产/芙丝气泡水330ML/12瓶装/蜜柚甜橘,启用,0.00430,CAR,39.60,1.38,1.38,否,否,否,否,,热熔胶+缩膜,是,否,6×2,12,,,否,12个月,,2025年4月新增物料,1.000,芙丝,国产芙丝330ML气泡水,,,,,60,2026-01-01,2099-12-31,2026-05-15 10:28:30
10,11000404,战马/310ML/24/罐装/2026/新包装线下1元乐享（二段）,启用,0.00001,CAR,,,0.00,否,否,否,否,战马罐装2026促销,,否,否,,,,,否,,,,1.000,罐装战马,战马罐装促销,8,,,,,2025-01-01,9999-12-31,2026-05-15 10:28:29
