使用状态,资产名称,资产类型,唯一码,资产编码,所属产线,使用位置,启用日期,责任部门,使用部门,使用负责人,点巡检配置,点巡检状态
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,YCJ-4K-62,,,一期生产,2026-05-07,生产部,生产部,成强,1个计划,无记录
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,YCJ-4K-61,,,一期生产,2026-05-07,生产部,生产部,成强,1个计划,无记录
正常,洗眼器,消防器材>应急设施,HWK-01,,,恒温库,2026-04-16,储运采购部,储运采购部,杨玲,1个计划,正常
正常,洗眼器,消防器材>应急设施,ZSJ-02,,,制水间,2026-04-16,生产部,生产部,邵计,1个计划,正常
正常,洗眼器,消防器材>应急设施,SCJ-04,,,三期生产,2026-04-16,生产部,生产部,陈真敬,1个计划,正常
正常,洗眼器,消防器材>应急设施,ECJ-04,,,二期生产,2026-04-16,生产部,生产部,何毓裕,1个计划,正常
正常,洗眼器,消防器材>应急设施,YCJ-04,,,一期生产,2026-04-16,生产部,生产部,成强,1个计划,正常
正常,洗眼器,消防器材>应急设施,YHY-01,,,一化验,2026-04-14,品管部,品管部,唐兴,1个计划,正常
正常,洗眼器,消防器材>应急设施,ZSJ-01,,,制水间,2026-04-14,生产部,生产部,邵计,1个计划,正常
正常,洗眼器,消防器材>应急设施,WSZ-01,,,污水车间,2026-04-14,生产部,生产部,邵计,1个计划,正常
正常,洗眼器,消防器材>应急设施,SCJ-03,,,三期生产,2026-04-14,生产部,生产部,陈真敬,1个计划,正常
正常,洗眼器,消防器材>应急设施,SCJ-02,,,三期生产,2026-04-14,生产部,生产部,陈真敬,1个计划,正常
正常,洗眼器,消防器材>应急设施,SCJ-01,,,三期生产,2026-04-14,生产部,生产部,陈真敬,1个计划,正常
正常,洗眼器,消防器材>应急设施,ECJ-03,,,二期生产,2026-04-14,生产部,生产部,何毓裕,1个计划,正常
正常,洗眼器,消防器材>应急设施,ECJ-02,,,二期生产,2026-04-14,生产部,生产部,何毓裕,1个计划,正常
正常,洗眼器,消防器材>应急设施,ECJ-01,,,二期生产,2026-04-14,生产部,生产部,何毓裕,1个计划,正常
正常,洗眼器,消防器材>应急设施,YCJ-03,,,一期生产,2026-04-14,生产部,生产部,成强,1个计划,正常
正常,洗眼器,消防器材>应急设施,YCJ-02,,,一期生产,2026-04-14,生产部,生产部,成强,1个计划,正常
正常,洗眼器,消防器材>应急设施,YCJ-01,,,一期生产,2026-03-24,生产部,生产部,成强,1个计划,正常
正常,室内消火栓,消防器材>室内消火栓,ECJ-XHS-30,,,二期生产/风机房二层,2026-03-09,生产部,生产部二车间,何毓裕,1个计划,正常
正常,二氧化碳灭火器,消防器材>二氧化碳灭火器,SCJ-MT3-4,,,三期生产/配电房门口一层,2025-03-15,生产部,生产部,张海波,1个计划,正常
正常,车载灭火器,消防器材>车载灭火器,SCK-1K-6,,,三仓库/鄂L02684,2026-03-09,储运采购部,储运采购部,吴维辉,1个计划,正常
正常,4KG干粉灭火器,消防器材>4KG干粉灭火器,WRC-4K-2,,,,2023-05-15,储运采购部,储运采购部三车间,冯薇薇,1个计划,正常
