序号,产品大类,项目名称,检验依据,检测仪器,可用状态,创建人,创建时间,更新人,更新时间
1,红牛,铅,GB 5009.12-2023,原子荧光光度计,可用,高艳芬,2025-10-31 14:58:50,高艳芬,2025-10-31 14:58:50
2,红牛,总砷,GB 5009.11-2024,原子荧光光度计,可用,高艳芬,2025-10-31 13:43:57,高艳芬,2025-10-31 13:43:57
3,红牛,苯甲酸,GB 5009.28-2016,高效液相色谱仪,可用,高艳芬,2025-10-31 13:43:36,高艳芬,2025-10-31 13:43:36
4,红牛,胭脂红,GB 5009.35-2023,高效液相色谱仪,可用,高艳芬,2025-10-31 13:42:55,高艳芬,2025-10-31 13:42:57
5,红牛,柠檬黄,GB 5009.35-2023,高效液相色谱仪,可用,高艳芬,2025-10-31 13:42:30,高艳芬,2025-10-31 13:42:32
6,红牛,咖啡因,GB 5009.139-2014,高效液相色谱仪,可用,高艳芬,2025-10-31 13:42:12,高艳芬,2025-10-31 13:42:12
7,红牛,维生素B12,GB 5009.285-2022,酶标仪,可用,高艳芬,2025-10-31 13:41:46,高艳芬,2025-10-31 13:41:48
8,红牛,维生素B6,GB/T 42243-2025,高效液相色谱仪,可用,高艳芬,2025-10-31 13:41:01,高艳芬,2025-10-31 13:41:03
9,红牛,烟酰胺,GB/T 42243-2025,高效液相色谱仪,可用,高艳芬,2025-10-31 13:36:54,高艳芬,2025-10-31 14:20:31
10,红牛,肌醇,GB/T 45242-2025,气相色谱仪,可用,高艳芬,2025-10-31 13:35:46,高艳芬,2025-10-31 13:35:46
11,红牛,赖氨酸,GB 5009.124-2016,高速氨基酸分析仪,可用,高艳芬,2025-10-31 13:34:53,高艳芬,2025-10-31 13:34:53
12,红牛,牛磺酸,GB 5009.169-2016,高效液相色谱仪,可用,高艳芬,2025-10-31 11:06:34,高艳芬,2025-10-31 11:06:34
