序号,检验依据,说明,标准类型,可用状态,创建人,创建时间,更新人,更新时间
1,GB1886.220-2016,胭脂红,国家标准,可用,陆岷,2025-11-05 13:49:14,陆岷,2025-11-05 13:49:14
2,GB4481.1-2010,柠檬黄,国家标准,可用,陆岷,2025-11-05 13:48:55,陆岷,2025-11-05 13:48:55
3,GB 1886.184-2016,苯甲酸钠,国家标准,可用,陆岷,2025-11-05 13:48:38,陆岷,2025-11-05 13:48:38
4,卫生部公告2011年第19号,肌醇,国家标准,可用,陆岷,2025-11-05 13:48:09,陆岷,2025-11-05 13:48:09
5,GB1903.42-2020,肌醇,国家标准,可用,陆岷,2025-11-05 13:47:51,陆岷,2025-11-05 13:47:53
6,GB 1886.235-2016,无水柠檬酸,国家标准,可用,陆岷,2025-11-05 13:46:51,陆岷,2025-11-05 13:46:51
7,GB1886.25-2016,柠檬酸钠,国家标准,可用,陆岷,2025-11-05 13:45:57,陆岷,2025-11-05 13:45:57
8,《中华人民共和国药典》二部,烟酰胺,国家标准,可用,陆岷,2025-11-05 13:45:39,陆岷,2025-11-05 13:45:59
9,GB14759-2010,牛磺酸,国家标准,可用,陆岷,2025-11-05 13:45:20,陆岷,2025-11-05 13:45:20
10,GB1903.1-2015,赖氨酸,国家标准,可用,陆岷,2025-11-05 13:45:02,陆岷,2025-11-05 13:45:02
1,GB1886.25-2016,柠檬酸钠,国家标准,可用,陆岷,2025-11-04 17:27:29,陆岷,2025-11-04 17:27:29
2,GB 14759-2010,牛磺酸,国家标准,可用,陆岷,2025-11-04 17:20:55,陆岷,2025-11-04 17:22:05
3,GB 5009.12-2023,铅,国家标准,可用,高艳芬,2025-10-31 14:56:23,高艳芬,2025-10-31 14:56:23
4,GB/T 42243-2025,烟酰胺-普通型,国家标准,可用,高艳芬,2025-10-31 13:38:27,高艳芬,2025-10-31 13:39:27
5,《中国药典》2020年版二部规定,-,国家标准,可用,陆岷,2025-10-15 11:53:44,陆岷,2025-10-15 11:53:46
6,GB 14758-2010,咖啡因,国家标准,可用,孟琪,2025-10-07 16:36:34,孟琪,2025-10-07 16:36:34
7,GB 1903.1-2015,赖氨酸,国家标准,可用,孟琪,2025-10-07 13:10:12,孟琪,2025-10-07 13:10:12
8,GB 4481.1-2010,柠檬黄,国家标准,可用,孟琪,2025-10-07 13:09:29,孟琪,2025-10-07 13:09:29
9,GB 1886.184-2016,苯甲酸钠,国家标准,可用,孟琪,2025-10-07 13:08:46,孟琪,2025-10-07 13:08:59
10,GB 1886.220-2016,胭脂红,国家标准,可用,孟琪,2025-10-07 13:08:09,孟琪,2025-10-07 13:08:09
1,GB 1903.43-2020,维生素B12,国家标准,可用,孟琪,2025-10-07 13:07:15,孟琪,2025-10-07 13:07:15
2,GB 14753-2010,维生素B6,国家标准,可用,孟琪,2025-10-07 13:06:53,孟琪,2025-10-07 13:06:53
3,GB 1903.45-2020,烟酰胺,国家标准,可用,孟琪,2025-10-07 13:06:13,孟琪,2025-10-07 13:06:13
4,GB 1886. 235-2016,无水柠檬酸,国家标准,可用,孟琪,2025-10-07 10:56:15,孟琪,2025-10-07 10:56:22
5,GB 1886.25-2016,柠檬酸钠,国家标准,可用,孟琪,2025-10-07 10:46:40,孟琪,2025-10-07 10:47:04
6,GB 1903.42-2020,肌醇,国家标准,可用,孟琪,2025-10-07 10:46:20,孟琪,2025-10-07 10:46:56
7,Q/HRRBD 0002J,强化型,企业标准,可用,徐华维,2025-06-19 10:26:39,徐华维,2025-06-19 10:26:39
8,Q/HRRBD 0001J,普通型,企业标准,可用,徐华维,2025-06-19 10:26:14,徐华维,2025-06-19 10:26:14
9,GB 5009.270-2023,肌醇-强化型,国家标准,可用,徐华维,2025-06-18 14:41:46,徐华维,2025-06-19 10:21:15
10,GB/T 45242-2025,肌醇-普通型,国家标准,可用,徐华维,2025-06-18 14:40:52,徐华维,2025-06-19 10:21:15
1,GB 5009.154-2023,维生素B6-强化型,国家标准,可用,徐华维,2025-06-18 14:40:07,徐华维,2025-06-19 10:21:16
2,GB 5009.89-2023,烟酰胺-强化型,国家标准,可用,徐华维,2025-06-18 14:35:18,徐华维,2025-06-19 10:21:16
3,GB 5009.285-2022,VB12,国家标准,可用,徐华维,2025-06-18 14:34:20,高艳芬,2025-11-08 14:55:08
4,GB 5009.124-2016,赖氨酸,国家标准,可用,徐华维,2025-06-18 14:33:52,徐华维,2025-06-19 10:21:18
5,GB 5009.11-2024,总砷,国家标准,可用,徐华维,2025-06-18 14:32:54,徐华维,2025-06-19 10:21:21
6,GB 5009.28-2016,苯甲酸,国家标准,可用,徐华维,2025-06-18 14:32:29,徐华维,2025-06-19 10:21:20
7,GB 5009.35-2023,着色剂,国家标准,可用,徐华维,2025-06-18 14:32:04,徐华维,2025-06-19 10:21:20
8,GB 5009.169-2016,牛磺酸,国家标准,可用,徐华维,2025-03-23 14:02:13,徐华维,2025-06-18 14:31:08
9,GB 5009.139-2014,咖啡因,企业标准,可用,徐华维,2025-03-23 14:01:47,徐华维,2025-06-18 14:31:34
