u{FEFF}物料编码,产品名称,分类,对象,单位,标箱折扣系数,外箱价格,封箱方式,内包装形式,投放区域,箱入数,保质期,保质期预警(天),材质,是否赠品,是否启用,备注,创建时间
"11000405","战马/330ML/24/罐装/含气/春日白桃味/普通型","罐装战马","罐装330ML战马","CAR",1.000,2.17,"胶带","12×2","全国",24,"18个月",60,"铝罐","否","启用","2026年4月新增物料","2026-05-15 10:29:22"
"11000412","战马/330ML/24/罐装/含气/夏日柠檬味/扫码1元乐享/2026","罐装战马","罐装330ML战马","CAR",1.000,2.17,"胶带","12×2","除新疆、青海、内蒙古、西藏以外的中国大陆地区",24,"18个月",60,"铝罐","否","启用","2026年4月新增物料","2026-05-15 10:29:21"
"11000411","战马/330ML/24/罐装/含气/春日白桃味/扫码1元乐享/2026","罐装战马","罐装330ML战马","CAR",1.000,2.17,"胶带","12×2","除新疆、青海、内蒙古、西藏以外的中国大陆地区",24,"18个月",60,"铝罐","否","启用","2026年4月新增物料","2026-05-15 10:29:21"
"11000409","战马/330ML/24/罐装/含气/夏日柠檬味/收拉环1元乐享/2026","罐装战马","罐装330ML战马","CAR",1.000,2.17,"胶带","12×2","除广东、福建、海南、西藏之外的中国大陆地区",24,"18个月",60,"铝罐","否","启用","2026年4月新增物料","2026-05-15 10:29:20"
"11000408","战马/330ML/24/罐装/含气/春日白桃味/收拉环1元乐享/2026","罐装战马","罐装330ML战马","CAR",1.000,2.17,"胶带","12×2","除广东、福建、海南、西藏之外的中国大陆地区",24,"18个月",60,"铝罐","否","启用","2026年4月新增物料","2026-05-15 10:29:20"
"81000323","国产/芙丝水500ML/24瓶装/艺术家夏季限定装","国产芙丝","国产芙丝500MLPET","CAR",1.000,3.91,"热熔胶+缩膜","6×4","",24,"24个月",60,"塑料瓶","否","启用","2026年5月新增物料","2026-05-15 10:29:19"
"11000410","战马/330ML/24/罐装/含气/菠萝西柚味/扫码1元乐享/2026","罐装战马","罐装330ML战马","CAR",1.000,2.17,"胶带","12×2","除新疆、青海、内蒙古、西藏以外的中国大陆地区",24,"18个月",60,"","否","启用","2026年4月新增物料","2026-05-15 10:29:19"
"11000407","战马/330ML/24/罐装/含气/菠萝西柚味/收拉环1元乐享/2026","罐装战马","罐装330ML战马","CAR",1.000,2.17,"胶带","12×2","除广东、福建、海南、西藏之外的中国大陆地区",24,"18个月",0,"","否","启用","2026年4月新增物料","2026-05-15 10:29:18"
"81000287","国产/芙丝气泡水330ML/12瓶装/蜜柚甜橘","国产芙丝330ML气泡水","","CAR",1.000,1.38,"热熔胶+缩膜","6×2","",12,"12个月",60,"","否","启用","2025年4月新增物料","2026-05-15 10:29:18"
"11000404","战马/310ML/24/罐装/2026/新包装线下1元乐享（二段）","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:17"
"11000401","战马/330ML/24/罐装/含气/夏日柠檬味/扫码红包2026","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:16"
"11000400","战马/330ML/24/罐装/含气/春日白桃味/扫码红包2026","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:16"
"11000399","战马/330ML/24/罐装/含气/夏日浆果味/扫码红包2026","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:15"
"11000398","战马/330ML/24/罐装/含气/菠萝西柚味/扫码红包2026","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:15"
"11000396","战马/330ML/24/罐装/含气/蓝莓黑加仑味/扫码红包2026","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:14"
"11000391","战马/330ML/24/罐装/含气/青苹果葡萄味/扫码红包2026","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:14"
"81000285","国产/芙丝水330ML/24瓶装/京东专供","国产芙丝330MLPET","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:13"
"81000197","国产/芙丝水375ML/20瓶/玻璃瓶/芙丝苏打水饮料（含气型）","国产芙丝375ML玻璃瓶","","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:12"
"11000384","战马/310ML/24/罐装/2026/新包装线下1元乐享","战马罐装促销","战马罐装2026促销","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:11"
"11000376","战马/400ML/15/不含气/2026/1元乐享","瓶装战马不含气","瓶装战马","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:11"
"10001198","红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-闽苏沪/2026","红牛促销型","红牛促销型","CAR",1.000,0.00,"","","",0,"",0,"","否","启用","","2026-05-15 10:29:10"
