u{FEFF}条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
"55000033","胶带（小）","12mm*30y","办公用品","卷","得力","",,,0,"已启用",,7,,"否","否"
"55000375","按压式中性笔","","办公用品","支","得力","",,,0,"已启用",,7,,"否","否"
"8000003269","压缩空气泵","50L无油低音免保养","维修耗材","个","德力西","",,,0,"已启用",,,,"否","否"
"8000003219","H型混标(17种氨基酸混标、水解蛋白H型)","L-013-28154","实验耗材","瓶","日立","",,,0,"已启用",,,,"否","否"
"8000003218","赖氨酸标准品","有证书，标准品，100g","实验耗材","支","计量院","",,,0,"已启用",,,,"否","否"
"8000003217","维生素B6标准品","有证书，标准品，100mg","实验耗材","支","坛墨","",,,0,"已启用",,,,"否","否"
"8000003216","中红外校准液","X100-500ml/瓶","实验耗材","瓶","默克","",,,0,"已启用",,,,"否","否"
"8000003215","烧杯","1000ml","实验耗材","个","沪教","",,,0,"已启用",,,,"否","否"
"8000003214","烧杯","2000mL","实验耗材","个","沪教","",,,0,"已启用",,,,"否","否"
"8000003213","有机微孔滤膜 0.45um","50PK/包","实验耗材","盒","奥特赛恩斯","",,,0,"已启用",,,,"否","否"
"8000003212","灭火器箱子","5KG*2具装","辅助物资","个","援邦","",,,0,"已启用",,,,"否","否"
"8000003211","移液枪","1-1000ul","实验耗材","把","奥特赛恩斯","",,,0,"已启用",,,,"否","否"
"8000003210","注射器活塞","080-3276","实验耗材","个","日立","",,,0,"已启用",,,,"否","否"
"8000003209","泵二在线过滤器滤芯","855-5089","实验耗材","个","日立","",,,0,"已启用",,,,"否","否"
"8000003208","泵1过滤片","852-1534","实验耗材","个","日立","",,,0,"已启用",,,,"否","否"
"8000003207","PRUGE阀密封件","810-1128","实验耗材","个","日立","",,,0,"已启用",,,,"否","否"
"8000003206","PRUGE阀密封圈","885-2920","实验耗材","个","日立","",,,0,"已启用",,,,"否","否"
"8000003205","进样口密封垫","890-3183","实验耗材","个","日立","",,,0,"已启用",,,,"否","否"
"8000003204","电导率探头","Inlab742-ISM/51344116","实验耗材","个","梅特勒","",,,0,"已启用",,,,"否","否"
"8000003203","丝锥","M16","辅助物资","套","奥尔堡","",,,0,"已启用",,,,"否","否"
"8000003202","白锂润滑喷剂","450ml/瓶","辅助物资","瓶","","",,,0,"已启用",,,,"否","否"
"8000003201","耐酸碱PE水槽","1100L内径180cm*50cm*70cm","辅助物资","个","","",,,0,"已启用",,,,"否","否"
"8000003200","304不锈钢气阀组合件","4分*60mm","辅助物资","套","食品级","",,,0,"已启用",,,,"否","否"
"8000003199","304不锈钢二片式球阀","DN65/重型","辅助物资","个","","",,,0,"已启用",,,,"否","否"
"8000003198","304不锈钢快接卡盘","DN25","辅助物资","个","食品级","",,,0,"已启用",,,,"否","否"
"8000003197","304不锈钢快接头","DN25","辅助物资","个","食品级","",,,0,"已启用",,,,"否","否"
"8000003196","304不锈钢弯头","DN25","辅助物资","个","食品级","",,,0,"已启用",,,,"否","否"
"8000003195","304不锈钢三通","DN25","辅助物资","个","食品级","",,,0,"已启用",,,,"否","否"
"8000003194","304不锈钢支架","DN25","辅助物资","个","食品级","",,,0,"已启用",,,,"否","否"
"8000003193","304不锈钢圆管","DN25MM*1.5mm/6米/根","辅助物资","根","食品级","",,,0,"已启用",,,,"否","否"
"8000003192","两爪自紧拉马","6寸","辅助物资","套","德式","",,,0,"已启用",,,,"否","否"
"8000003191","十字批头","","辅助物资","个","浦派","",,,0,"已启用",,,,"否","否"
"8000003190","角磨机拉丝抛光纤维轮","红色锋利型","辅助物资","个","圣比太","",,,0,"已启用",,,,"否","否"
"8000003189","角磨机抛光羊毛轮","4对圆形","辅助物资","个","卡夫威尔","",,,0,"已启用",,,,"否","否"
"8000003188","黑色工业级扎带","3.6mmX200mm/耐高温","辅助物资","包","","",,,0,"已启用",,,,"否","否"
"8000003187","黑色工业级扎带","2.5mmX80mm/耐高温","辅助物资","包","","",,,0,"已启用",,,,"否","否"
"8000003186","黑色不锈钢嵌片扎带","10mmX300mm/耐高温","辅助物资","包","","",,,0,"已启用",,,,"否","否"
"8000003185","高压验电笔10KV","高压10KV，要有检验报告","辅助物资","把","","",,,0,"已启用",,,,"否","否"
"8000003183","45码卫尔盾劳保鞋","45码","劳保用品","双","卫尔盾","",,,0,"已启用",,,,"否","否"
"8000003182","43码绝缘劳保鞋","43码","劳保用品","双","代尔塔","",,,0,"已启用",,,,"否","否"
"8000003181","40码绝缘劳保鞋","40码","劳保用品","双","代尔塔","",,,0,"已启用",,,,"否","否"
