序号,供应商大类,供应商编码,供应商名称,供应商简称,城市,街道,联系人,联系电话,邮件地址,供应商类型,账户组,供应商等级,资质是否临期,状态,创建时间
1,备件,,上海能煜精工机械有限公司,,,,,,,,,,否,已启用,2026-04-23 15:22:28
2,综合物资,,贵州华彬饮料销售有限公司,,,,,,,,,,否,已启用,2026-03-20 10:25:55
3,服务商,,贵州胜安消防技术服务有限公司,,,,,,,,,,否,已启用,2026-02-13 09:12:35
4,原材料,,江西天新药业股份有限公司,,,,,,,内容物,,,否,已启用,2026-02-11 16:01:41
5,,,北京恒远科技有限公司,,,,,,,,,,否,已启用,2026-01-14 18:00:08
6,,,郑州瑞斯福食品科技有限公司,香山供应商,,,,,,香精,,,否,已启用,2025-12-31 11:21:52
7,,,北京陆远国际供应链管理有限公司,,,,,,,香精,,,否,已启用,2025-12-31 11:19:15
8,,,网上平台,,,,,,,,,,否,已启用,2025-12-26 11:07:33
9,,,战马（北京）饮料有限公司,,,,,,,,,,否,已启用,2025-12-19 08:57:43
10,,,贵州博锐科技有限公司,,,,,,,,,,否,已启用,2025-11-18 15:31:05
11,,,南京诺朗科技有限公司,南京诺朗,,,,,,内容物,,,否,已启用,2025-08-13 13:45:50
12,,,津药药业股份有限公司,,,,,,,内容物,,,否,已启用,2025-08-10 10:13:51
13,,,广西东亚扶南精糖有限公司,,,,,,,一级白砂糖,,,否,已启用,2025-06-18 13:40:38
14,,,华彬力美科技（湖北）有限公司,,,,,,,香精,,,否,已启用,2025-06-18 13:40:03
15,,,北京香山香精香料有限公司,,,,,,,香精,,,否,已启用,2025-06-18 13:39:49
16,,,山东博瑞特包装科技有限公司,,,,,,,顶盖/底盖,,,否,已启用,2025-06-18 13:39:36
17,,,遵义市友联包装实业有限公司,,,,,,,纸皮,,,否,已启用,2025-06-18 13:38:47
18,,,河南华洋纸塑包装有限公司,,,,,,,"纸皮,热缩膜",,,否,已启用,2025-06-18 13:38:31
19,,,贵州奥瑞金包装有限公司（弃用勿选）,,,,,,,空罐,,,否,已启用,2025-06-17 16:34:26
20,,,贵阳花溪鑫亿图文广告部,,,,,,,,,,否,已启用,2025-05-12 16:51:08
21,,,北京宝莱尔科技有限公司,,,,,,,,,,否,已启用,2025-04-01 11:58:01
22,,,无,,,,,,,纸皮,,,否,已启用,2025-03-09 15:51:25
23,,,河南航睿环保科技有限公司,,,,,,,纸皮,,,否,已启用,2025-03-06 17:34:26
24,,,黔印吧图文快印有限公司,,,,,,,纸皮,,,否,已启用,2025-02-21 14:26:30
25,,,史泰博（上海）有限公司,,,,,,,纸皮,,,否,已启用,2025-02-14 15:00:44
26,,,中粮可口可乐,,,,,,,,,,否,已启用,2025-02-14 11:30:00
