序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
1,无价值备件,40047252,防火卷帘用卷门机,FJJ 647-3P-(ALAND),无价值备件,个,,,,,0,已启用,,,,否,否
2,无价值备件,40047251,封口机下护板,,无价值备件,块,,,,,0,已启用,,,,否,否
3,无价值备件,40047250,封口机上护板,不带槽,无价值备件,块,,,,,0,已启用,,,,否,否
4,无价值备件,40047249,封口机上护板,带槽,无价值备件,块,,,,,0,已启用,,,,否,否
5,无价值备件,40047248,板换密封垫,TL10B  004  3936,无价值备件,个,,,,,0,已启用,,,,否,否
6,无价值备件,40047247,接近开关,IFS204,无价值备件,个,,,,,0,已启用,0.000,,,否,否
7,无价值备件,40047246,光电开关,PRK15/4X-M12,无价值备件,个,,,,,0,已启用,,,,否,否
8,无价值备件,40047245,控制变压器,CFM001K0CC15,无价值备件,个,,,,,0,已启用,,,,否,否
9,无价值备件,40047244,位置反馈器,1434000Z1A1430001030,无价值备件,个,,,,,0,已启用,,,,否,否
10,无价值备件,40047243,阀门定位器,3725,无价值备件,个,,,,,0,已启用,,,,否,否
11,无价值备件,40047242,电导率仪,SLI04-6-S,无价值备件,个,,,,,0,已启用,,,,否,否
12,无价值备件,40047241,阀门限位开关,GEMU1230000ZA001031101101,无价值备件,个,,,,,0,已启用,,,,否,否
13,无价值备件,40047240,流量建接器,S15000,无价值备件,个,,,,,0,已启用,,,,否,否
14,无价值备件,40047219,光电管,HHFOT9_B0022,无价值备件,个,,,,,0,已启用,,,,否,否
15,无价值备件,40047023,水过滤器,白色,无价值备件,个,,,,,0,已启用,,,,否,否
16,无价值备件,40047022,编码器成套,KC38S6-2500,无价值备件,套,,,,,0,已启用,,,,否,否
17,无价值备件,40047021,接近开关,IME18-08NPSECOS,无价值备件,个,,,,,0,已启用,,,,否,否
18,无价值备件,40047020,磁感应开关,81031300,无价值备件,个,,,,,0,已启用,,,,否,否
19,无价值备件,40047019,风刀,宽80mm,无价值备件,个,,,,,0,已启用,,,,否,否
20,无价值备件,40047018,液位检测仪探杆,E43347/700mm,无价值备件,根,,,,,0,已启用,,,,否,否
21,无价值备件,40047017,光电开关,PRK3c.T3/4P,无价值备件,个,,,,,0,已启用,,,,否,否
22,无价值备件,40047016,开关电源,NDR-240-24,无价值备件,个,,,,,0,已启用,,,,否,否
23,无价值备件,40047015,温度传感器,MIK-AL-10 0~300℃,无价值备件,个,,,,,0,已启用,,,,否,否
24,无价值备件,40046891,10”活扳手,10”/47204,无价值备件,把,,,,,0,已启用,,,,否,否
25,无价值备件,40046890,活动扳手,6寸/47249,无价值备件,把,,,,,0,已启用,,,,否,否
26,无价值备件,40046817,工具包,13寸/31*17*21cm,无价值备件,个,,,,,0,已启用,0.000,,,否,否
27,无价值备件,40046819,两用快装扳手组合套,套,无价值备件,套,,,,,0,已启用,,,,否,否
28,无价值备件,40046818,双平头内六角扳手,PB210.H-6公制7件套,无价值备件,套,,,,,0,已启用,,,,否,否
29,无价值备件,40046810,挑罐链条,PK010000019,无价值备件,米,,,,,0,已启用,,,,否,否
30,无价值备件,40046809,喷胶泵,161424,无价值备件,件,,,,,0,已启用,,,,否,否
31,无价值备件,40046808,小节距滚珠网板链,LBP610AG10P0510,无价值备件,米,,,,,0,已启用,,,,否,否
32,无价值备件,40046807,小节距滚珠网板链,LBP610AG10P0425,无价值备件,米,,,,,0,已启用,,,,否,否
33,无价值备件,40046806,入口网链,PK010002081,无价值备件,米,,,,,0,已启用,,,,否,否
34,无价值备件,40046412,洁净间门锁,电磁锁芯,无价值备件,个,,,,,0,已启用,,,,否,否
35,无价值备件,40046411,接近开关,213113,备件,个,,,,,0,已启用,,,,否,否
36,无价值备件,40046410,限位开关,ME-8122,备件,个,,,,,0,已启用,,,,否,否
37,无价值备件,40046409,电容式接近开关,LT30A3-15-2/BX,备件,个,,,,,0,已启用,,,,否,否
38,无价值备件,40046407,三位按钮盒,急停+上+下,备件,个,,,,,0,已启用,,,,否,否
39,无价值备件,40046406,LED三色警示灯,1PC-BOX,备件,个,,,,,0,已启用,,,,否,否
40,无价值备件,40046405,双色液位计,B49-2.5-350L,备件,套,,,,,0,已启用,,,,否,否
41,无价值备件,40046404,阀台支撑杆,/,备件,根,,,,,0,已启用,,,,否,否
42,无价值备件,40046403,四门连锁状态灯电缆,6芯，10米,备件,个,,,,,0,已启用,,,,否,否
43,无价值备件,40046402,二门连锁控制器,/,备件,个,,,,,0,已启用,,,,否,否
44,无价值备件,40046401,四门连锁控制器,/,备件,个,,,,,0,已启用,,,,否,否
45,无价值备件,40046400,变频器,15KW PC-051P15KT4E20HXBXC,备件,台,,,,,0,已启用,,,,否,否
46,无价值备件,40046399,防爆开关,D2X51,备件,个,,,,,0,已启用,,,,否,否
47,无价值备件,40046398,防爆插座,10-16A  200-240V,备件,个,,,,,0,已启用,,,,否,否
48,无价值备件,40046397,阀台通讯线,6-3303553,备件,个,,,,,0,已启用,,,,否,否
49,无价值备件,40046396,电机抱闸线圈,FD14,备件,个,,,,,0,已启用,,,,否,否
50,无价值备件,40046395,接近开关,IME18 08NP02COS,备件,个,,,,,0,已启用,,,,否,否
51,无价值备件,40046394,门锁电缆,5芯，10米,备件,根,,,,,0,已启用,,,,否,否
52,无价值备件,40046393,磁感应开关,R412022871,无价值备件,个,,,,,0,已启用,0.000,,,否,否
53,无价值备件,拆包机,磁感应开关,R412022871,备件,个,,,,,0,已启用,,,,否,否
54,无价值备件,40046392,熔断器,160A,备件,个,,,,,0,已启用,,,,否,否
55,无价值备件,40046391,光电开关,PRK15/4X-M12,备件,个,,,,,0,已启用,,,,否,否
56,无价值备件,40046390,温度变送器,0-150℃,备件,个,,,,,0,已启用,,,,否,否
57,无价值备件,40046389,软连接,直径6mm--直径6mm,备件,个,,,,,0,已启用,,,,否,否
58,无价值备件,40046388,接近开关,IIT205,备件,个,,,,,0,已启用,,,,否,否
59,无价值备件,40046387,接近开关,II7100,备件,个,,,,,0,已启用,,,,否,否
60,无价值备件,40046386,光电开关,WL180-2B42431,备件,个,,,,,0,已启用,,,,否,否
61,无价值备件,40046385,光电开关,WL8G,备件,个,,,,,0,已启用,,,,否,否
62,无价值备件,40046384,光电开关,WL250-2P2431,备件,个,,,,,0,已启用,,,,否,否
63,无价值备件,40046383,注氮机编码器,C10684,备件,个,,,,,0,已启用,,,,否,否
64,无价值备件,40046382,液位传感器,LR2750,备件,个,,,,,0,已启用,,,,否,否
65,无价值备件,40046381,电源开关,SDR-240-24,备件,个,,,,,0,已启用,,,,否,否
66,无价值备件,40046380,编码器电缆,6FX5002-2DC10-1CA0,备件,根,,,,,0,已启用,,,,否,否
67,无价值备件,40046308,消防警示灯,M-2FJC-E3W6156,备件,个,,,,,0,已启用,,,,否,否
68,无价值备件,40046307,气管,直径4mm,备件,米,,,,,0,已启用,,,,否,否
69,无价值备件,40046148,单批空开,C40,无价值备件,个,,,,,0,已启用,,,,否,否
70,无价值备件,40046147,单批空开,C20,无价值备件,个,,,,,0,已启用,,,,否,否
71,无价值备件,40046146,单批空开,C16,无价值备件,个,,,,,0,已启用,,,,否,否
72,无价值备件,40046145,管塞,PP-6,无价值备件,个,,,,,0,已启用,,,,否,否
73,无价值备件,40046144,传感器支架,,无价值备件,个,,,,,0,已启用,,,,否,否
74,无价值备件,40046143,灌装电磁阀接头,,备件,个,,,,,0,已启用,,,,否,否
75,无价值备件,40046142,电磁阀垫片,,备件,套,,,,,0,已启用,,,,否,否
76,无价值备件,40046141,空开,D50A,备件,个,,,,,0,已启用,,,,否,否
77,无价值备件,40046140,散热风扇,,备件,个,,,,,0,已启用,,,,否,否
78,无价值备件,40046139,光检机电脑散热片,,备件,个,,,,,0,已启用,,,,否,否
79,无价值备件,40046138,光检机电脑散热风扇,,备件,个,,,,,0,已启用,,,,否,否
80,无价值备件,40046137,灌装编码器线,6FX8002-2DC10-1BA0,备件,根,,,,,0,已启用,,,,否,否
81,无价值备件,40046136,灌装开关电源,AC380V 10A 50/60HZ,备件,台,,,,,0,已启用,,,,否,否
82,无价值备件,40046135,旋转龙卷风刀,冲击波喷嘴,备件,个,,,,,0,已启用,,,,否,否
83,无价值备件,40046134,CFT控制手柄,6-3303218,备件,个,,,,,0,已启用,,,,否,否
84,无价值备件,40046133,电缆分布器,940.571,备件,个,,,,,0,已启用,,,,否,否
85,无价值备件,40046132,UD注氮头加热器电缆,940.1411,备件,根,,,,,0,已启用,,,,否,否
86,无价值备件,40046131,电动头信号线,940.9680.17,备件,根,,,,,0,已启用,,,,否,否
87,无价值备件,40046130,触摸屏,GT2512-STBD 12.1寸 DC24V,备件,台,,,,,0,已启用,,,,否,否
88,无价值备件,40041615,米卷尺,91314A5,无价值备件,把,,,,,0,已启用,0.000,,,否,否
