序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
1,综合物资,8000021401,冰糖葫芦签子,1000根/包,食堂用品,包,,,,,0,已启用,,,20.00,否,否
2,综合物资,8000021400,冰糖葫芦架,1.5米,食堂用品,根,,,,,0,已启用,,,106.00,否,否
3,综合物资,8000021399,坐椅套,椅套+坐垫,食堂用品,套,,,,,0,已启用,,,55.00,否,否
4,综合物资,8000021398,定时器,80*75*20mm,食堂用品,个,,,,,0,已启用,,,17.00,否,否
5,综合物资,8000021397,色谱柱,880975-902SB-C18-4.6*250MM,实验耗材,根,安捷伦,,,,0,已启用,,,5980.00,否,否
6,综合物资,8000021396,防砸防刺鞋（43码）,FF0503,劳保用品,双,世达,,,,0,已启用,,,159.00,否,否
7,综合物资,8000021395,隔音耳罩,SBR：32DB /05031,劳保用品,个,世达,,,,0,已启用,,,70.00,否,否
8,综合物资,8000021394,夏季拖鞋,35码,劳保用品,双,,,,,0,已启用,,,40.00,否,否
9,综合物资,8000021393,夏季工鞋,35码,劳保用品,双,多走路,,,,0,已启用,,,109.00,否,否
10,综合物资,8000021392,和面机,10L 7斤面团,食堂用品,台,,,,,0,已启用,,,810.00,否,否
11,综合物资,8000021391,挂壁式风扇,白色 三叶遥控款,办公用具、费用化资产,个,格力,,,,0,已启用,,,340.00,否,否
12,综合物资,8000021390,清洗玻璃工具,8米3节,办公用具、费用化资产,个,,,,,0,已启用,,,235.00,否,否
13,综合物资,8000021389,仪器防尘罩,阻燃、防水、防尘、长0.65m*宽0.55m*高0.3m,办公耗材,个,,,,,0,已启用,,,210.00,否,否
14,综合物资,8000021388,不干胶标签贴纸,15.5*28mm,办公耗材,包,,,,,0,已启用,,,16.00,否,否
15,综合物资,8000021387,自粘透明空白标签,12张/包,办公耗材,包,,,,,0,已启用,,,23.00,否,否
16,综合物资,8000021386,A4 亚克力卡槽,6寸横款,办公耗材,个,,,,,0,已启用,,,4.50,否,否
17,综合物资,8000021385,水池密封盖,10个/包,办公耗材,包,,,,,0,已启用,,,11.00,否,否
18,综合物资,30001110,氨氮试剂,240片/盒,污水吨水处理,盒,百灵达,,,,0,已启用,,,1398.00,否,否
19,综合物资,8000021349,75%酒精,500ml/瓶,辅料试剂类,瓶,贵鑫,,,,0,已启用,,,,否,否
20,综合物资,30001112,定性滤纸,中18cm*100张/盒,污水吨水处理,盒,,,,,0,已启用,0.000,,58.00,否,否
21,综合物资,30001037,PH校准液,7.00 ,污水吨水处理,瓶,梅特勒,,,,0,已启用,0.000,,203.00,否,否
22,综合物资,30001038,PH校准液,4.01,污水吨水处理,瓶,梅特勒,,,,0,已启用,0.000,,203.00,否,否
23,综合物资,30001283,磷肥,不含钙镁,污水吨水处理,袋,,,,,0,已启用,0.000,,395.00,否,否
24,综合物资,30001071,PAM,25KG/袋,污水吨水处理,袋,,,,,0,已启用,0.000,,430.00,否,否
25,综合物资,30001111,PAC,25KG/袋,污水吨水处理,袋,,,,,0,已启用,0.000,,85.00,否,否
26,综合物资,30001072,COD试剂,25支/盒,污水吨水处理,盒,海争,,,,0,已启用,0.000,,360.00,否,否
27,综合物资,30001074,在线COD试剂,3瓶/1套,污水吨水处理,套,,,30,,0,已启用,0.000,,1800.00,否,否
28,综合物资,30000041,阻垢剂,25kg/桶,制水产水药剂,桶,,,,,0,已启用,0.000,,750.00,否,否
29,综合物资,30001296,称料袋（小）,210x180x0.09,车间产线辅材,个,,,,,0,已启用,0.000,,0.00,否,否
