序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
1,食材,8000021246,黑芝麻,,干货调料类,KG,,,,,3,已启用,,,0.01,否,否
2,食材,8000021212,青口白,0.001,蔬菜类,KG,,,,,2,已启用,,,0.01,否,否
3,食材,8000021206,花生酱,0.001,干货调料类,瓶,,,,,0,已启用,,,10.00,否,否
4,食材,8000021205,芝麻酱,0.001,干货调料类,瓶,,,,,0,已启用,,,10.00,否,否
5,食材,8000021204,沙姜,0.001,蔬菜类,KG,,,,,2,已启用,,,0.10,否,否
6,食材,8000021203,姜黄粉调味料400g,,调料,盒,港东,,,,0,已启用,,,10.00,否,否
7,食材,8000021202,卤牛腱子,0.001,鲜肉类,KG,,,,,2,已启用,0.000,,0.00,否,否
8,食材,8000021201,冰草,0.001,蔬菜类,KG,,,,,2,已启用,,,0.10,否,否
9,食材,8000021200,梅子肉,0.001,鲜肉类,KG,,,,,2,已启用,,,0.10,否,否
10,食材,8000021199,豌豆米,0.001,豆制品,KG,,,,,2,已启用,,,0.10,否,否
11,食材,8000021198,里脊肉,0.001,鲜肉类,KG,,,,,1,已启用,0.000,,0.00,否,否
12,食材,8000021197,沙拉酱,0.001,干货调料类,瓶,,,,,0,已启用,,,38.00,否,否
13,食材,8000021196,茼蒿菜,0.001,蔬菜类,KG,,,,,2,已启用,,,0.01,否,否
14,食材,8000021110,车前草,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
15,食材,8000021109,橙子皮,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
16,食材,8000021108,红栀子,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
17,食材,8000021107,灵香草,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
18,食材,8000021106,甘松,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
19,食材,8000021105,草寇,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
20,食材,8000021104,白豆蔻,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
21,食材,8000021103,毕拨,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
22,食材,8000021102,肉豆蔻,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
23,食材,8000021101,干柠檬片,0.001,干货药材香料,KG,,,,,2,已启用,,,0.01,否,否
24,食材,8000021093,保鲜膜,0.001,豆制品,件,,,,,0,已启用,,,,否,否
25,食材,8000021080,黄白菜,0.001,蔬菜类,KG,,,,,2,已启用,,,,否,否
26,食材,8000021075,圆青椒,,蔬菜类,KG,,,,,2,已启用,,,0.01,否,否
27,食材,8000021074,酸汤老豆腐,0.001,蔬菜类,KG,,,,,2,已启用,,,0.01,否,否
28,食材,8000021073,果粒橙,0.001,干货调料类,瓶,,,,,0,已启用,,,11.00,否,否
29,食材,8000021072,炼乳,0.001,干货调料类,瓶,,,,,0,已启用,,,10.00,否,否
30,食材,8000021071,酥豆,0.001,干货调料类,KG,,,,,2,已启用,,,0.01,否,否
31,食材,8000021070,食用碱,0.001,干货调料类,包,,,,,0,已启用,,,0.01,否,否
32,食材,8000021069,芥末酱油,0.001,干货调料类,瓶,,,,,0,已启用,,,0.01,否,否
33,食材,8000021068,芥末,43g,干货调料类,支,优先美,,,,0,已启用,,,0.01,否,否
34,食材,8000021067,海螺,0.001,水产类,KG,,,,,2,已启用,,,0.01,否,否
35,食材,8000021066,饺子皮,0.001,蔬菜类,KG,,,,,2,已启用,,,0.01,否,否
36,食材,8000021065,干羊肚菌,0.001,干货调料类,KG,,,,,2,已启用,,,0.01,否,否
37,食材,8000021064,阳光玫瑰,0.001,水果类,KG,,,,,2,已启用,,,0.01,否,否
38,食材,8000021063,羊前腿,0.001,鲜肉类,KG,,,,,2,已启用,,,0.01,否,否
39,食材,8000021056,梭子蟹,0.001,水产类,KG,,,,,2,已启用,,,,否,否
40,食材,8000021055,小芋头,0.001,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
41,食材,8000020985,二块粑,0.001,干货调料类,KG,,,,,2,已启用,,,,否,否
42,食材,8000020984,豆沙,0.001,豆制品,KG,,,,,2,已启用,,,,否,否
43,食材,8000020983,五得利面粉中筋,0.001,干货调料类,KG,,,,,2,已启用,,,,否,否
44,食材,8000020966,冰糖橙,0.001,水果类,KG,,,,,2,已启用,,,,否,否
45,食材,8000020965,雪梨,0.001,水果类,KG,,,,,2,已启用,,,,否,否
46,食材,8000020964,苹果,0.001,水果类,KG,,,,,2,已启用,,,,否,否
47,食材,8000020930,罗非鱼,0.001,水产类,KG,,,,,2,已启用,,,,否,否
48,食材,8000020929,蜂蜜,0.001,干货调料类,瓶,,,,,0,已启用,,,,否,否
49,食材,8000020928,萝卜干,0.001,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
50,食材,8000020927,豆腐圆子,0.001,食堂用品,KG,,,,,0,已启用,,,,否,否
51,食材,8000020815,鲤鱼,0.001,水产类,KG,,,,,2,已启用,,,,否,否
52,食材,8000020789,干緑豆,0.000,豆制品,KG,,,,,3,已启用,,,0.00,否,否
53,食材,8000020788,小苏打,,干货调料类,包,,,,,0,已启用,,,5.00,否,否
54,食材,8000020758,玉米粒,0.001,蔬菜类,KG,,,,,0,已启用,,,2.00,否,否
55,食材,8000020757,浓缩橙汁,840毫升,调料,瓶,劲霸,,360,,0,已启用,,,28.00,否,否
56,食材,8000020756,红薯粉丝,0.001,干货调料类,KG,,,,,3,已启用,0.000,,2.00,否,否
57,食材,8000020754,撒尿牛肉风味丸,2.5kg,冻货类,包,海王子,,360,,0,已启用,,,38.00,否,否
58,食材,8000020753,竹荪,,菌菇类,包,,,,,2,已启用,,,0.00,否,否
59,食材,8000020752,虫草菇,,菌菇类,KG,,,,,2,已启用,,,0.00,否,否
60,食材,8000020728,小米冬瓜,0.001,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
61,食材,8000020727,毛豆米,0.0001,豆制品,KG,,,,,2,已启用,,,0.00,否,否
62,食材,8000020596,核桃包,350克*10个,冻货类,包,阿諾,,360,,0,已启用,,,18.00,否,否
63,食材,8000020595,冻叉烧包,960克,冻货类,包,快厨,,360,,0,已启用,,,25.00,否,否
64,食材,8000020594,卤豆腐干,0.001,豆制品,KG,,,,,2,已启用,,,0.01,否,否
65,食材,8000020529,泡竹笋,0.0001,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
66,食材,8000020528,鸽子,0.0001,鲜肉类,只,,,,,2,已启用,,,0.00,否,否
67,食材,8000020461,茶叶,0.001,干货调料类,KG,,,,,2,已启用,,,0.01,否,否
68,食材,8000020458,米豆腐,0.001,豆制品,KG,,,,,2,已启用,,,0.00,否,否
69,食材,8000020451,本地无籽红提,0.001,水果类,KG,,,,,2,已启用,,,0.01,否,否
70,食材,8000020450,水晶葡萄,0.001,水果类,KG,,,,,2,已启用,,,0.00,否,否
71,食材,8000020449,红曲米,0.001,干货调料类,KG,,,,,2,已启用,,,0.01,否,否
72,食材,8000020448,紫薯,0.001,蔬菜类,KG,,,,,2,已启用,,,0.01,否,否
73,食材,8000020446,辣鲜露,438克,调料,瓶,百家鲜,,540,,0,已启用,,,20.00,否,否
74,食材,8000020445,菠萝,0.001,水果类,KG,,,,,2,已启用,2.000,,2.00,否,否
75,食材,00000000,胡椒粉,0.001,干货调料类,KG,,,,,2,已启用,,,0.00,否,否
76,食材,8000020406,西瓜,0.001,水果类,KG,,,,,2,已启用,,,0.01,否,否
77,食材,8000020338,红糖粉,0.001,干货调料类,KG,,,,,2,已启用,,,0.01,否,否
78,食材,8000020336,热狗火腿肠,60支*50支*2.5kg,冻货类,包,小丸子,,365,,0,已启用,,,35.00,否,否
79,食材,8000020335,韭黄,0.001,蔬菜类,KG,,,,,2,已启用,,,0.01,否,否
80,食材,8000020334,木耳菜,0.001,蔬菜类,KG,,,,,2,已启用,,,0.01,否,否
81,食材,8000020333,酥肉,1千克,冻货类,包,客来滋,,,,0,已启用,,,25.00,否,否
82,食材,8000020332,松花皮蛋,0.001,禽蛋类,个,,,,,0,已启用,,,2.00,否,否
83,食材,8000020331,蒸肉粉,150g,调料,包,孔师傅,,540,,0,已启用,,,3.00,否,否
84,食材,8000020307,肥膘肉,0.001,鲜肉类,KG,,,,,2,已启用,,,0.00,否,否
85,食材,8000020303,扇贝,0.001,水产类,KG,,,,,2,已启用,,,0.00,否,否
86,食材,8000020302,空心菜,0.001,蔬菜类,KG,,,,,2,已启用,,,0.00,否,否
87,食材,8000020285,助骨,0.001,鲜肉类,KG,,,,,2,已启用,,,0.00,否,否
88,食材,8000020284,牛腩,0.001,鲜肉类,KG,,,,,2,已启用,,,0.00,否,否
89,食材,8000020283,鸭血,0.001,蔬菜类,盒,,,,,0,已启用,,,3.00,否,否
90,食材,8000020282,黄喉,0.001,鲜肉类,KG,,,,,2,已启用,,,0.00,否,否
91,食材,8000020281,鲜毛肚,0.001,鲜肉类,KG,,,,,2,已启用,,,0.00,否,否
92,食材,8000020279,火龙果白心,0.001,水果类,KG,,,,,2,已启用,,,0.00,否,否
93,食材,8000020277,鹌鹑蛋,100枚*2千克,禽蛋类,包,洁龍,,240,,0,已启用,,,25.00,否,否
