序号,仓库,仓库代码,卸货点,装运条件,物流商名称,物流商编码,有效期起,有效期止,仓库地址,围栏状态,围栏半径米
1,济南,2017,2017 济南数据在线,87,北京汇宇国际供应链管理有限公司,18000225,2023-12-01,2099-12-31,济南,启用,5000
2,奥瑞金战马,0098,0098 咸宁基地,29,北京畅翔国际供应链管理有限公司,18000218,2024-12-01,2099-12-31,咸宁,启用,5000
3,青岛,2018,2018 青岛数据在线,88,北京汇宇国际供应链管理有限公司,18000225,2023-11-01,2099-12-31,青岛,启用,5000
4,天津,2047,2047 天津数据在线,C4,北京晶达国际供应链管理有限公司,18000224,2024-11-01,2099-12-31,天津,启用,5000
5,合肥,2025,2025 合肥数据在线,A1,北京驰宁国际供应链管理有限公司,18000223,2024-11-01,2099-12-31,合肥,启用,5000
6,兰州,2012,2012 兰州数据在线,81,北京通源达国际供应链管理有限公司,18000220,2020-11-01,2099-12-31,兰州,启用,5000
7,石家庄,2050,2050 石家庄数据在线,C8,北京晶达国际供应链管理有限公司,18000224,2020-11-01,2099-12-31,石家庄,启用,5000
8,乌鲁木齐,2011,2011 乌鲁木齐数据在线,80,北京通源达国际供应链管理有限公司,18000220,2021-11-01,2099-12-31,乌鲁木齐,启用,5000
9,驻马店,2010,2010 驻马店数据在线,76,北京汇宇国际供应链管理有限公司,18000225,2022-11-01,2099-12-31,驻马店,启用,5000
10,西安,2013,2013 西安数据在线,82,北京畅翔国际供应链管理有限公司,18000218,2023-10-01,2099-12-31,西安,启用,5000
11,郑州,2009,2009 郑州数据在线,75,北京畅翔国际供应链管理有限公司,18000218,2025-11-12,2031-11-30,郑州,启用,5000
12,山姆武汉,SM05,SM05 山姆武汉仓,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,山姆武汉,未启用,
13,山姆成都,SM04,SM04 山姆成都仓,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,成都,未启用,
14,山姆惠州,SM03,SM03 山姆惠州仓,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,惠州市,未启用,
15,山姆天津,SM02,SM02 山姆天津仓,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,山姆天津,未启用,
16,山姆嘉兴,SM01,SM01 山姆嘉兴仓,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,山姆嘉兴,未启用,
17,电商沈阳,DS07,DS07 电商沈阳,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,沈阳市,未启用,
18,电商济南,DS06,DS06 电商济南,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,济南市,未启用,
19,电商成都,DS05,DS05 电商成都,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,成都市,未启用,
20,电商武汉,DS04,DS04 电商武汉,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,武汉市,未启用,
21,电商广州,DS03,DS03 电商广州,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,广州市,未启用,
22,电商天津,DS02,DS02 电商天津,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,天津市,未启用,
23,电商南京,DS01,DS01 电商南京,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,南京市,未启用,
24,天猫佛山,9017,9017 天猫佛山,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,天猫佛山,未启用,
25,天猫苏州,9018,9018 天猫苏州,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,苏州市,未启用,
26,天猫东莞,9015,9015 天猫东莞,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,天猫东莞,未启用,
27,天猫长沙,9014,9014 天猫长沙,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,长沙市,未启用,
28,天猫广州,9008,9008 天猫广州,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,广州市,未启用,
29,天猫上海,9007,9007 天猫上海,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,天猫上海,未启用,
30,天猫南京,9016,9007 天猫南京,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,天猫甄选家具集合店,未启用,
31,天猫天津,9011,9011 天猫天津,,北京联悦国际供应链管理有限公司,18000226,2023-01-01,9999-12-31,天猫国际旗舰店,未启用,
32,西宁,2016,2016 西宁数据在线,85,北京通源达国际供应链管理有限公司,18000220,2023-01-01,9999-12-31,西宁市,未启用,
33,库尔勒,2015,2015 库尔勒数据在线,84,北京通源达国际供应链管理有限公司,18000220,2023-01-01,9999-12-31,库尔勒,未启用,
34,包头,2008,2008 包头数据在线,,北京晶达国际供应链管理有限公司,18000224,2023-01-01,9999-12-31,包头,未启用,
35,长春,2007,2007 长春数据在线,,北京晶达国际供应链管理有限公司,18000224,2023-01-01,9999-12-31,长春,未启用,
36,哈尔滨,2006,2006 哈尔滨数据在线,,北京晶达国际供应链管理有限公司,18000224,2023-01-01,9999-12-31,哈尔滨市,未启用,
37,沈阳,2005,2005 沈阳数据在线,,北京晶达国际供应链管理有限公司,18000224,2023-01-01,9999-12-31,沈阳,未启用,
38,北京,2003,2003 北京数据在线,,北京晶达国际供应链管理有限公司,18000224,2023-01-01,9999-12-31,北京市,未启用,
39,太原,2002,2002 太原数据在线,,北京晶达国际供应链管理有限公司,18000224,2023-01-01,9999-12-31,太原市,未启用,
40,金华,2021,2021 金华数据在线,,北京驰宁国际供应链管理有限公司,18000223,2018-11-01,2099-12-31,金华,启用,5000
41,台州,2022,2022 台州数据在线,,数据在线,18000218,2019-09-01,2099-12-31,台州,启用,5000
42,成都,2036,2036 成都数据在线,,毅远（北京）国际供应链管理有限公司,18000203,2020-08-05,2099-12-31,成都,启用,5000
43,大理,2027,2027 大理数据在线,A3,北京天华伟业供应链管理有限公司,18000219,2023-08-05,2049-08-05,大理,启用,5000
