id,dict_id,cate_id,cate_name,big_cate_id,big_cate_name,ownership_id,ownership_name,tech_standard_version,org_id,org_code,org_name,inspection_project_id,inspection_project_name,inspection_item_id,inspection_item_code,is_judge,inspection_time_id,inspection_time,sampling_method_id,sampling_method,sampling_dept_org_id,sampling_dept_org_name,inspection_dept_org_id,inspection_dept_org_name,quant_qual_type,initial_reinspect,inspect_unit_qty,inspection_frequency_id,freq_count_text,status,order_status,ct_uid,up_uid,create_time,check_user_signature,process_arr,remark,inspection_unit_id,inspection_unit,inspection_rate_id,inspection_rate,sampling_qty,sampling_unit_id,sampling_unit,deduct_inventory,deduct_qty,deduct_unit_id,deduct_unit,inspection_tool,standard_requirement,abnormal_standard_id,abnormal_standard,indicator_unit_id,indicator_unit,lower_limit,upper_limit,decimal_places,min_unqualified_abnormal,exceed_plan,inspection_method,valid_begin_date,valid_end_date,main_image,sub_images,abnormal_result_id,abnormal_result,version,mat_info,assoc_type
1,BSYB0001,38,白砂糖,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,41,感官,1,YC00000001,1,2,到货检测,1,,5,品管部,5,品管部,2,1,1,1,等于,3,1,139,,2026-06-25 09:39:15,,,,44,批次,,,100,6,g,0,,,,目测检查,晶粒均匀，晶粒或其水溶液味甜，无异味，糖品外观干燥，糖品外观松散洁白，糖品外观有光泽,1,晶粒不均匀/晶粒或其水溶液味非甜/异味/糖品外观潮湿/糖品外观紧密污浊/糖品外观无光泽,,,,,0,1,若有不合格，从同一批次另抽取10袋糖，从中各取100克复检。,每1新批次为一个检测单元，随机从1袋白糖中抽取100克进行检测。,2025-01-01,9999-12-31,,[],14,复检,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
2,BSYB0002,38,白砂糖,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,41,感官,11,YF00000001,1,2,到货检测,1,,5,品管部,5,品管部,2,2,1,11,大于等于,3,1,139,,2026-06-25 09:39:15,,,,44,批次,,,1000,6,g,0,,,,目测检查,晶粒均匀，晶粒或其水溶液味甜，无异味，糖品外观干燥，糖品外观松散洁白，糖品外观有光泽,1,晶粒不均匀/晶粒或其水溶液味非甜/异味/糖品外观潮湿/糖品外观紧密污浊/糖品外观无光泽,,,,,0,1,若仍有不合格，初检检测单元的所有商品做退货处理。,从同一批次另抽取10袋糖，从中各取100克进行复检。,2025-01-01,9999-12-31,,[],1,退货处理,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
3,BSYB0003,38,白砂糖,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,64,煮沸实验,1,YC00000001,1,2,到货检测,1,,5,品管部,5,品管部,2,1,1,1,等于,3,1,139,,2026-06-25 09:39:15,,,,44,批次,,,100,6,g,0,,,,电子天平，三角瓶，磁性转子、磁力搅拌器、灭菌锅,加热煮沸，观察是否有褐变现象产生,,,,,,,0,1,煮沸过程中若发生褐变，从同一批次另抽取1袋糖，从中取36克复检。,每1新批次为一个检测单元，随机从1袋白糖中抽取100克，其中36克放入已灭好菌的装有44mLRO水的300mL三角瓶中，加热煮沸20分钟，观察是否有褐变现象产生。,2025-01-01,9999-12-31,,[],14,复检,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
4,BSYB0004,38,白砂糖,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,64,煮沸实验,12,YF00000002,1,2,到货检测,1,,5,品管部,5,品管部,2,2,1,11,大于等于,3,1,139,,2026-06-25 09:39:15,,,,44,批次,,,100,6,g,0,,,,电子天平，三角瓶，磁性转子、磁力搅拌器、灭菌锅,加热煮沸，观察是否有褐变现象产生,,,,,,,0,1,若仍有不合格，初检检测单元的所有商品做退货处理。,从同一批次另抽取1袋糖，从中取36克复检。放入已灭好菌的装有44mLRO水的300mL三角瓶中，加热煮沸20分钟，观察是否有褐变现象产生。,2025-01-01,9999-12-31,,[],1,退货处理,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
5,BSYB0005,38,白砂糖,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,65,菌落总数,1,YC00000001,1,2,到货检测,1,,5,品管部,5,品管部,1,1,1,2,等于,3,1,139,139,2026-06-25 09:39:15,,,,44,批次,,,100,6,g,0,,,,滤膜组架、培养箱,≤5CFU/100mL/组,,,29,CFU/100mL,,5,0,1,若有不合格，从同一批次另抽取2袋糖，从中各取36克复检。,每1新批次为一个检测单元，随机从1袋白糖中抽取100克，其中36克做本次检测。每批样品做3组，每组100ml，滤膜法实验。,2025-01-01,9999-12-31,,[],14,复检,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
6,BSYB0006,38,白砂糖,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,65,菌落总数,13,YF00000003,1,4,使用前检测,1,,5,品管部,5,品管部,1,2,1,11,大于等于,3,1,139,139,2026-06-25 09:39:15,,,,44,批次,,,72,6,g,0,,,,滤膜组架、培养箱,≤5CFU/100mL/组,,,29,CFU/100mL,,5,0,1,若仍有不合格，初检检测单元的所有商品做退货处理。,从同一批次另抽取2袋糖，从中各取36克复检。每批样品做3组，每组100ml，滤膜法实验。,2025-01-01,9999-12-31,,[],1,退货处理,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
7,BSYB0007,39,香精,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,41,感官,2,YC00000002,1,4,使用前检测,1,,6,生产部,5,品管部,1,1,1,1,等于,3,1,139,,2026-06-25 09:39:15,,,,44,批次,,,100,19,mL,0,,,,目测检查,无色及淡黄色液体，与标准品及色卡对比一致,2,有色/非淡黄色液体，与标准品及色卡不一致,,,50,100,0,1,若不合格，从同批次及相邻批次各抽取2桶，从中各取50ml复检。,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，其中50ml做本次检测，用目测方法观察，与标准样品色卡比对是否符合标准范围。,2025-01-01,9999-12-31,,[],14,复检,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
8,BSYB0008,39,香精,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,41,感官,14,YF00000004,1,4,使用前检测,1,,6,生产部,5,品管部,1,2,2,11,大于等于,3,1,139,,2026-06-25 09:39:15,,,,44,批次,,,200,19,mL,0,,,,目测检查,无色及淡黄色液体，与标准品及色卡对比一致,2,有色/非淡黄色液体，与标准品及色卡不一致,,,50,100,0,1,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,从同批次及相邻批次各抽取2桶，从中各取50ml复检。用目测方法观察，与标准样品色卡比对是否符合标准范围。,2025-01-01,9999-12-31,,[],1,退货处理,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
9,BSYB0009,39,香精,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,41,感官,2,YC00000002,1,4,使用前检测,1,,6,生产部,5,品管部,2,1,1,1,等于,3,1,139,,2026-06-25 09:39:15,,,,44,批次,,,100,19,mL,0,,,,嗅觉、味觉,香味特征、强度、口感，要求试样与标准品无差异,3,香味特征差异/香味强度差异/口感差异,,,,,0,1,若不合格，从同批次及相邻批次各抽取2桶，从中各取50ml复检。,每1新批次为一个检测单元，随机从1桶香精中抽取100ml，用闻香纸进行蘸取检测。,2025-01-01,9999-12-31,,[],14,复检,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
10,BSYB0010,39,香精,4,内容物,5,红牛,Q/RW-TS-001-2023,,,,41,感官,14,YF00000004,1,4,使用前检测,1,,6,生产部,5,品管部,2,2,2,11,大于等于,3,1,139,,2026-06-25 09:39:15,,,,44,批次,,,200,19,mL,0,,,,嗅觉、味觉,香味特征、强度、口感，要求试样与标准品无差异,3,香味特征差异/香味强度差异/口感差异,,,,,0,1,若仍有不合格，通知生产部暂停使用有问题批次香精，将具体信息报给技术管理部。问题批次的所有商品做退货处理。,从同批次及相邻批次各抽取2桶，从中各取50ml复检。用闻香纸进行蘸取检测。,2025-01-01,9999-12-31,,[],1,退货处理,001,[],"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}"
