序号,操作,上层代码,上层名称,工厂名称,工厂代码,备注
1,编辑 删除,6889,华彬（广东）企业管理有限公司,华彬广东战马宣传品零价值工厂,89A8,
2,编辑 删除,6889,华彬（广东）企业管理有限公司,华彬广东战马宣传品工厂,89A7,
3,编辑 删除,6889,华彬（广东）企业管理有限公司,华彬广东宣传品零价值工厂,89A3,
4,编辑 删除,6889,华彬（广东）企业管理有限公司,华彬广东宣传品工厂,89A2,
5,编辑 删除,6889,华彬（广东）企业管理有限公司,华彬广东第三方物流工厂,89A1,
6,编辑 删除,8889,珠海红牛饮料销售有限公司,珠海红牛销售总公司战马宣传品零价值工厂,8908,
7,编辑 删除,8889,珠海红牛饮料销售有限公司,珠海红牛销售总公司战马宣传品工厂,8907,
8,编辑 删除,8889,珠海红牛饮料销售有限公司,珠海红牛销售总公司百仕欣宣传品工厂,8905,
9,编辑 删除,8889,珠海红牛饮料销售有限公司,珠海红牛销售总公司宣传品零价值工厂,8903,
10,编辑 删除,8889,珠海红牛饮料销售有限公司,珠海红牛销售总公司宣传品工厂,8902,
11,编辑 删除,8889,珠海红牛饮料销售有限公司,珠海红牛销售总公司第三方物流工厂,8901,
12,编辑 删除,6888,华彬饮料销售有限公司,华彬饮料销售总公司零价值工厂,88A4,
13,编辑 删除,6888,华彬饮料销售有限公司,华彬饮料销售总公司宣传品零价值工厂,88A3,
14,编辑 删除,6888,华彬饮料销售有限公司,华彬饮料销售总公司宣传品工厂,88A2,
15,编辑 删除,6888,华彬饮料销售有限公司,华彬饮料销售总公司工厂,88A1,
16,编辑 删除,8888,北京红牛饮料销售有限公司,红牛销售总公司战马宣传品零价值工厂,8805,
17,编辑 删除,8888,北京红牛饮料销售有限公司,红牛销售总公司战马宣传品工厂,8804,
18,编辑 删除,8888,北京红牛饮料销售有限公司,红牛销售总公司宣传品零价值工厂,8803,
19,编辑 删除,8888,北京红牛饮料销售有限公司,红牛销售总公司宣传品工厂,8802,
