序号,操作,组织名称,组织代码,组织类型,备注
1,编辑 删除,广州市番禺长江货运服务有限公司,18000003,供应商,
2,编辑 删除,广东欣涛新材料科技股份有限公司,12000100,供应商,
3,编辑 删除,江苏奥瑞金包装有限公司,11000145,供应商,
4,编辑 删除,佛山市三水华彩包装材料有限公司,15000324,供应商,
5,编辑 删除,广州市诺赛供应链管理有限公司,11000404,供应商,
6,编辑 删除,浙江华康药业股份有限公司,11000398,供应商,
7,编辑 删除,安徽金禾实业股份有限公司,11000397,供应商,
8,编辑 删除,广西扶南东亚糖业有限公司,11000396,供应商,
9,编辑 删除,北京恒旺达供应链管理有限公司,11000395,供应商,
10,编辑 删除,郑州瑞斯福食品科技有限公司,11000394,供应商,
11,编辑 删除,大连华宇贸易发展有限公司,11000387,供应商,
12,编辑 删除,北京瑞华通达供应链管理有限公司,11000379,供应商,
13,编辑 删除,北京陆远国际供应链管理有限公司,11000378,供应商,
14,编辑 删除,艾地盟香精（平湖）有限公司,11000369,供应商,
15,编辑 删除,河南华洋纸塑包装有限公司,11000367,供应商,
16,编辑 删除,华彬力美科技（湖北）有限公司,11000362,供应商,
17,编辑 删除,上海颜专新材料科技有限公司,11000353,供应商,
18,编辑 删除,北京香山香精香料有限公司,11000344,供应商,
19,编辑 删除,北京和玖包装科技有限公司,11000339,供应商,
20,编辑 删除,宁波市诚屹包装材料有限公司,11000338,供应商,
21,编辑 删除,奥瑞金销售（福建）有限公司,11000337,供应商,
22,编辑 删除,福建白宝莲工贸有限公司,11000333,供应商,
23,编辑 删除,上海泽禾食品科技有限公司,11000317,供应商,
24,编辑 删除,贵州奥瑞金包装有限公司,11000311,供应商,
25,编辑 删除,上海宝开生物科技有限公司,11000302,供应商,
26,编辑 删除,广西崇左东亚糖业有限公司,11000291,供应商,
27,编辑 删除,辽宁奥瑞金食品工业有限公司,11000290,供应商,
28,编辑 删除,湖北惠航鼎泰包装科技有限公司,11000280,供应商,
29,编辑 删除,奥瑞金（湖北）销售有限公司,11000275,供应商,
30,编辑 删除,广西东亚扶南精糖有限公司,11000270,供应商,
31,编辑 删除,咸宁市振源塑料有限公司,11000245,供应商,
32,编辑 删除,深圳市铭天印刷有限公司,11000241,供应商,
33,编辑 删除,远纺工业（上海）有限公司,11000226,供应商,
34,编辑 删除,韩华道达尔能源石油化工有限公司,11000206,供应商,
35,编辑 删除,石药创新制药股份有限公司,11000193,供应商,
36,编辑 删除,漳州市白玉兰精糖有限公司,11000163,供应商,
37,编辑 删除,廊坊市成基包装装潢有限公司,11000156,供应商,
