序号,操作,物料编码,商品名称,审批状态,启/禁状态,"单位重量
吨/箱(组、包)",物料单位,"单位货值
元/箱(组、包)","纸箱价格
元/张",外包装箱价格,是否为促销物料,是否为箱内码促销,是否为消费者促销,是否五码合一,促销方式,封箱方式,是否有内膜,是否有外膜,箱内包装形式,箱内数量,箱内单位,投放区域,箱内是否有礼品,商品保质期,材质,备注,标箱折扣系数,品牌,物料大类,物料品类,商品图例,分配量,促销方案,保质期预警(天),有效期起,有效期止
1,编辑 删除,676,81000320,国产/芙丝水330ML/24瓶装/宝姿联标,,1.000,芙丝,4,国产芙丝,国产芙丝330MLPET,0,1,3,,,,0,0,CAR,,,,2.35,0,0,0,0,345,230,185,0,热熔胶+缩膜,1,1,6×4,,24,0,24个月,0,塑料瓶,2026年5月新增物料,,,60,2025-08-01,9999-12-31,,,,0,89,89,2026-06-18 09:17:39,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
2,编辑 删除,675,81000324,国产/芙丝水500ML*6*4/六连包彩膜装,,1.000,芙丝,4,国产芙丝,国产芙丝500MLPET,0,1,3,,,,0,0,CAR,,,,3.20,0,0,0,0,380,252,220,0,热熔胶,1,0,6×4,,24,0,24个月,0,塑料瓶,2026年5月新增物料,,,60,2023-01-01,9999-12-31,,,,1,89,89,2026-06-04 09:46:32,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
3,编辑 删除,674,81000235,国产/芙丝水500ML/24瓶装/万物有时节,,1.000,芙丝,4,国产芙丝,国产芙丝500MLPET,0,1,3,,,,0,0,CAR,,,,3.75,0,0,0,0,375,248,221,0,热熔胶+缩膜,1,1,6×4,,24,0,24个月,0,塑料瓶,2024年7月新增物料,,,60,2023-01-01,9999-12-31,,,,1,89,89,2026-06-04 09:42:45,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
4,编辑 删除,673,11000405,战马/330ML/24/罐装/含气/春日白桃味/普通型,,1.000,战马,3,罐装战马,罐装330ML战马,0,1,3,,,,0,0,CAR,0,,,2.17,0,0,0,0,355,240,150,0,胶带,1,0,12×2,全国,24,0,18个月,0,铝罐,2026年4月新增物料,,,60,2026-01-01,9999-12-31,,,,1,89,89,2026-05-14 17:36:02,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
5,编辑 删除,672,11000412,战马/330ML/24/罐装/含气/夏日柠檬味/扫码1元乐享/2026,,1.000,战马,3,罐装战马,罐装330ML战马,0,1,3,,,,0,1,CAR,0,,,2.17,1,1,1,0,355,240,150,0,胶带,1,0,12×2,除新疆、青海、内蒙古、西藏以外的中国大陆地区,24,0,18个月,0,铝罐,2026年4月新增物料,,,60,2026-01-01,9999-12-31,,,,1,89,89,2026-05-13 17:13:25,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
6,编辑 删除,671,11000411,战马/330ML/24/罐装/含气/春日白桃味/扫码1元乐享/2026,,1.000,战马,3,罐装战马,罐装330ML战马,0,1,3,,,,0,1,CAR,0,,,2.17,1,1,1,0,355,240,150,0,胶带,1,0,12×2,除新疆、青海、内蒙古、西藏以外的中国大陆地区,24,0,18个月,0,铝罐,2026年4月新增物料,,,60,2026-01-01,9999-12-31,,,,1,89,89,2026-05-13 17:11:34,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
7,编辑 删除,670,11000409,战马/330ML/24/罐装/含气/夏日柠檬味/收拉环1元乐享/2026,,1.000,战马,3,罐装战马,罐装330ML战马,0,1,3,,,,0,1,CAR,0,,,2.17,1,1,0,1,355,240,150,0,胶带,1,0,12×2,除广东、福建、海南、西藏之外的中国大陆地区,24,0,18个月,0,铝罐,2026年4月新增物料,,,60,2026-01-01,9999-12-31,,,,1,89,89,2026-05-13 17:09:26,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
8,编辑 删除,669,11000408,战马/330ML/24/罐装/含气/春日白桃味/收拉环1元乐享/2026,,1.000,战马,3,罐装战马,罐装330ML战马,0,1,3,,,,0,1,CAR,0,,,2.17,1,1,0,1,355,240,150,0,胶带,1,0,12×2,除广东、福建、海南、西藏之外的中国大陆地区,24,0,18个月,0,铝罐,2026年4月新增物料,,,60,2026-01-01,9999-12-31,,,,1,89,89,2026-05-13 17:07:12,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,[],[],[]
9,编辑 删除,668,81000323,国产/芙丝水500ML/24瓶装/艺术家夏季限定装,0.01380,1.000,芙丝,4,国产芙丝,国产芙丝500MLPET,0,1,3,,,,0,0,CAR,0,91.20,3.91,3.91,0,0,0,0,380,250,220,0,热熔胶+缩膜,1,1,6×4,,24,0,24个月,0,塑料瓶,2026年5月新增物料,,,60,2026-01-01,2099-12-31,,,,1,89,89,2026-05-11 18:20:14,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 375, 'goods_id': 668, 'weight': '0.01380', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]","[{'id': 22, 'goods_id': 668, 'price': '91.20', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]","[{'id': 19, 'goods_id': 668, 'box_price': '3.91', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]"
10,编辑 删除,667,11000410,战马/330ML/24/罐装/含气/菠萝西柚味/扫码1元乐享/2026,0.00866,1.000,战马,3,罐装战马,罐装330ML战马,0,1,3,,,,0,1,CAR,0,100.80,2.17,2.17,1,1,1,0,355,240,150,0,胶带,1,0,12×2,除新疆、青海、内蒙古、西藏以外的中国大陆地区,24,0,18个月,0,,2026年4月新增物料,,,60,2026-01-01,2099-12-31,,,,1,89,89,2026-05-11 18:11:36,"{'assoc_type': 0, 'formPerms': [], 'needSign': ''}",,"[{'id': 374, 'goods_id': 667, 'weight': '0.00866', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]","[{'id': 21, 'goods_id': 667, 'price': '100.80', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]","[{'id': 18, 'goods_id': 667, 'box_price': '2.17', 'from_date': '2026-01-01', 'expiry_date': '2099-12-31', 'status': 2}]"
