条码,物料名称,供应商,厂商,批次规则,备注
"20002277,20002278,20002279,20002282,20002281,20002326,20002330","纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/强化型/250ml/蓝色/31周年版,纸皮/普通型/250ML/24/广东1元乐享促销/2026,纸皮/普通型/250ML/24/广东红包促销/2026,纸皮/普通型/250ML/24/31周年普通箱内码/2026,纸皮/普通型/250ML/24/扫码1元乐享-广西/2026",新乡市博太彩印实业有限公司,新乡博太四厂,日期格式-YYYYMMDD,
"20002277,20002278,20002279,20002282,20002281,20002326,20002330","纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/强化型/250ml/蓝色/31周年版,纸皮/普通型/250ML/24/广东1元乐享促销/2026,纸皮/普通型/250ML/24/广东红包促销/2026,纸皮/普通型/250ML/24/31周年普通箱内码/2026,纸皮/普通型/250ML/24/扫码1元乐享-广西/2026",新乡市博太彩印实业有限公司,新乡博太三厂,日期格式-YYYYMMDD,
20001805,RBMT1117,郑州瑞斯福食品科技有限公司,郑州瑞斯福食品科技有限公司,数字长度-5,
"20002277,20002278,20002279,20002282,20002281,20002326,20002330","纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/强化型/250ml/蓝色/31周年版,纸皮/普通型/250ML/24/广东1元乐享促销/2026,纸皮/普通型/250ML/24/广东红包促销/2026,纸皮/普通型/250ML/24/31周年普通箱内码/2026,纸皮/普通型/250ML/24/扫码1元乐享-广西/2026",新乡市博太彩印实业有限公司,博太二厂,日期格式-YYYYMMDD,
"20002277,20002278,20002279,20002282,20002281,20002326,20002330","纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/强化型/250ml/蓝色/31周年版,纸皮/普通型/250ML/24/广东1元乐享促销/2026,纸皮/普通型/250ML/24/广东红包促销/2026,纸皮/普通型/250ML/24/31周年普通箱内码/2026,纸皮/普通型/250ML/24/扫码1元乐享-广西/2026",新乡市博太彩印实业有限公司,博太一厂,日期格式-YYYYMMDD,
"20002277,20002278,20002279,20002282,20002281,20002326,20002330","纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/强化型/250ml/蓝色/31周年版,纸皮/普通型/250ML/24/广东1元乐享促销/2026,纸皮/普通型/250ML/24/广东红包促销/2026,纸皮/普通型/250ML/24/31周年普通箱内码/2026,纸皮/普通型/250ML/24/扫码1元乐享-广西/2026",北京和玖包装科技有限公司,北京和玖包装科技有限公司,日期格式-YYYYMMDD,
"20002266,20002277,20002278,20002279,20002282,20002281,20002267,20002182,20000961,20002196,20002183,20002172,20002134,20002133,20002131,20002130,20002330,20002326,20002372","纸箱/战马/罐装/扫码红包2026-新包装-含箱内码,纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/强化型/250ml/蓝色/31周年版,纸皮/普通型/250ML/24/广东1元乐享促销/2026,纸皮/普通型/250ML/24/广东红包促销/2026,纸箱/战马/罐装/线上1元乐享2026-新包装-含箱内码,纸箱/战马/罐装/新包装,纸箱/战马/罐装,纸箱/战马/罐装/广东扫码红包2025/新包装-含箱内码,纸箱/战马/罐装/广东扫码1元乐享2025/新包装-含箱内码,纸箱/战马/罐装/线上1元乐享2025/新包装-含箱内码,纸箱/战马/罐装/线上1元乐享2025/二段-不含箱内码,纸箱/战马/罐装/线上1元乐享2025/二段-含箱内码,纸箱/战马/罐装/1元乐享2025/二段-不含箱内码,纸箱/战马/罐装/1元乐享2025/二段-含箱内码,纸皮/普通型/250ML/24/扫码1元乐享-广西/2026,纸皮/普通型/250ML/24/31周年普通箱内码/2026,纸箱/战马/罐装/新包装线下1元乐享2026（二段）-含箱内码",河南华洋纸塑包装有限公司,河南华洋纸塑包装有限公司,日期格式-YYYYMMDD,
"20000195,20000022,20002275,20002276,20002316","顶盖/206,底盖/200,顶盖/206/2026广东红包促销,顶盖/206/2026广东1元乐享促销,顶盖/206/2026扫码1元乐享-广西",奥瑞金科技股份有限公司佛山分公司,珠海博瑞特,字符串-ZF+数字长度-10+字符串--S+数字长度-1+字符串--+数字长度-3,
"20002271,20002272,20002273,20002274,20002316","空罐/普通型/250ML/31周年版/无顶盖,空罐/强化型/250ml/蓝色/31周年版/无底盖,空罐/普通型/250ML/2026广东红包促销/无顶盖,空罐/普通型/250ML/2026广东1元乐享促销/无顶盖,顶盖/206/2026扫码1元乐享-广西",奥瑞金科技股份有限公司佛山分公司,番禺美特,"字符串-123+数字长度-1+特殊月份日期-YYMDD+数字长度-1+字符串--+数字长度-3,字符串-123+数字长度-3+字母段长度-1+数字长度-3+字符串--+数字长度-3",
"20002271,20002272,20002273,20002274,20002315","空罐/普通型/250ML/31周年版/无顶盖,空罐/强化型/250ml/蓝色/31周年版/无底盖,空罐/普通型/250ML/2026广东红包促销/无顶盖,空罐/普通型/250ML/2026广东1元乐享促销/无顶盖,空罐/普通型/250ML/2026扫码1元乐享-广西/无顶盖",奥瑞金科技股份有限公司佛山分公司,清远华源,"字符串-123+数字长度-1+特殊月份日期-YYMDD+数字长度-1+字符串--+数字长度-3,字符串-123+数字长度-3+字母段长度-1+数字长度-3+字符串--+数字长度-3",
