序号,库存名称,库位编码,所属库存工厂编码,备注信息
1,B26,B26,8501,
2,A7,A7,6795,
3,A15,A15,6795,
4,A2,A2,6795,
5,A14,A14,6795,
6,成品空托盘,成品空托盘,6795,
7,34大棚-2（靠墙第二排）,34大棚-2,8501,
8,34大棚-3,34大棚-3,8501,
9,34大棚-4,34大棚-4,8501,
10,34大棚-5,34大棚-5,8501,
11,34大棚-6,34大棚-6,8501,
12,34大棚-7,34大棚-7,8501,
13,12大棚-1（靠墙第一排）,12大棚-1,8501,
14,12大棚-2（离墙第二排）,12大棚-2,8501,
15,12大棚-3,12大棚-3,8501,
16,12大棚-4,12大棚-4,8501,
17,12大棚-5,12大棚-5,8501,
18,12大棚-6,12大棚-6,8501,
19,12大棚-7,12大棚-7,8501,
20,34大棚-1（靠墙第一排）,34大棚-1,8501,
21,A27,A27,0095,
22,10A,10A,8501,
23,10A,10A,6795,
24,D9,D9,8511,
25,A31,A31,8511,
26,D8,D8,8511,
27,B31,B31,8511,
28,18B,18B,6795,
29,原79,原79,8511,
30,原78,原78,8511,
31,原77,原77,8511,
32,原料51,原料51,0095,
33,D17,D17,0095,
34,原料85,原料85,0095,
35,原料84,原料84,0095,
36,原料83,原料83,0095,
37,原料82,原料82,0095,
38,原料81,原料81,0095,
39,原料80,原料80,0095,
40,原料79,原料79,0095,
41,原料78,原料78,0095,
42,原料77,原料77,0095,
43,原料76,原料76,0095,
44,原料75,原料75,0095,
45,原料59,原料59,0095,
46,原料58,原料58,0095,
47,原料57,原料57,0095,
48,原料56,原料56,0095,
49,原料55,原料55,0095,
50,原料60,原料60,0095,
51,原料61,原料61,0095,
52,原料62,原料62,0095,
53,原料63,原料63,0095,
54,原料64,原料64,0095,
55,原料65,原料65,0095,
56,原料66,原料66,0095,
57,原料67,原料67,0095,
58,原料68,原料68,0095,
59,原料69,原料69,0095,
60,原料70,原料70,0095,
61,原料71,原料71,0095,
62,原料72,原料72,0095,
63,原料73,原料73,0095,
64,原料74,原料74,0095,
65,原材料32,原材料32,6795,
66,24A,24A,6795,
67,10B,10B,6795,
68,11A,11A,6795,
69,24B后,24B后,6795,
70,26A,26A,6795,
71,6A,6A,6795,
72,3A,3A,6795,
73,2A,2A,6795,
74,1A,1A,6795,
75,原材料34,原材料34,6795,
76,23A,23A,6795,
77,9B,9B,6795,
78,8B,8B,6795,
79,D6,D6,8511,
80,32库,32库,8511,
81,D7,D7,8511,
82,D4,D4,8511,
83,D3,D3,8511,
84,A5,A5,8521,
85,A6,A6,8521,
86,A7,A7,8521,
87,A8,A8,8521,
88,A9,A9,8521,
89,A10,A10,8521,
90,A11,A11,8521,
91,A12,A12,8521,
92,A13,A13,8521,
93,A14,A14,8521,
94,A15,A15,8521,
95,A16,A16,8521,
96,A17,A17,8521,
97,A18,A18,8521,
98,A19,A19,8521,
99,A20,A20,8521,
100,A21,A21,8521,
101,A22,A22,8521,
102,A23,A23,8521,
103,A24,A24,8521,
