物料大类,条码/物料编码,图片,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
原材料,20002372,,纸箱/战马/罐装/新包装线下1元乐享2026（二段）-含箱内码,1200张/托,包材,张,,ROH原材料,730,30,0,已启用,,,,否,否
原材料,20002371,,顶盖/战马/新包装线下1元乐享2026（二段）,177480个/托,包材,片,,ROH原材料,730,30,0,已启用,,,,否,否
原材料,20002370,,空罐/战马/310ML/新包装线下1元乐享2026（二段）/无顶盖,7590个/托,包材,个,,ROH原材料,730,30,0,已启用,,,,否,否
成品,11000404,,战马/310ML/24/罐装/2026/新包装线下1元乐享（二段）,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000401,,战马/330ML/24/罐装/含气/夏日柠檬味/扫码红包2026,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000400,,战马/330ML/24/罐装/含气/春日白桃味/扫码红包2026,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000398,,战马/330ML/24/罐装/含气/菠萝西柚味/扫码红包2026,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,81000104,,国产/芙丝气泡水330ML/12瓶装/青提葡萄,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,81000103,,国产/芙丝气泡水330ML/12瓶装/樱花白桃,,成品,箱,,FERTE成品,730,90,0,已启用,,,,否,否
成品,11000376,,战马/400ML/15/不含气/2026/1元乐享,,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
成品,11000384,,战马/310ML/24/罐装/2026/新包装线下1元乐享,100箱/托,成品,箱,,FERTE成品,540,90,0,已启用,,,,否,否
原材料,20002343,,纸箱/战马/罐装/新包装线下1元乐享2026-含箱内码,1200张/托,包材,张,,ROH原材料,730,30,0,已启用,,,,否,否
原材料,20002351,,顶盖/战马/新包装线下1元乐享2026,177480个/托,包材,片,,ROH原材料,730,30,0,已启用,,,,否,否
原材料,20002350,,空罐/战马/310ML/新包装线下1元乐享2026/无顶盖,7590个/托,包材,个,,ROH原材料,730,30,0,已启用,,,,否,否
综合物资,5100000393,,净化服,长袖,劳保用品,套,,,,,0,已启用,,,,否,否
综合物资,5100000392,,净化服,短袖,劳保用品,套,,,,,0,已启用,,,,否,否
综合物资,5100000391,,蛇皮水管（透明塑料软管）,6分,劳保用品,米,,,,,0,已启用,,,,否,否
综合物资,5100000390,,蛇皮水管（透明塑料软管）,4分,劳保用品,米,,,,,0,已启用,,,,否,否
综合物资,5600000084,,电动喷漆枪,4.0Ah 无刷款  一电+喷嘴,资产,个,德力西,,,,0,已启用,,,,否,否
综合物资,5600000083,,精密天平,单量程，52g/0.01mg/MA55,资产,个,梅特勒,,,,0,已启用,,,,否,否
综合物资,5600000082,,壁扇,FP7518W,资产,台,艾美特,,,,0,已启用,,,,否,否
综合物资,5500000017,,吸污软管,智科伟顿,修理,条,W22-01500002,,,,0,已启用,,,,否,否
