序号,条码,物料名称,供应商,厂商,批次规则,备注,创建人,创建时间,更新人,更新时间
1,20001805,RBMT1117（香精/瑞斯福）,北京陆远国际供应链管理有限公司,郑州瑞斯福食品科技有限公司,字符串-HY+数字长度-5,香精,陈敏,2026-01-08 09:47:04,--,2026-01-08 09:47:04
2,20000022,底盖/200,湖北奥瑞金制罐有限公司,山东博瑞特包装科技有限公司,字符串-博瑞特+数字长度-8+字符串--+可变数字段长度-3,底盖,陈敏,2025-12-08 15:37:10,--,2025-12-08 15:37:10
3,"20000195,20002304,20002306","顶盖/206,顶盖/206/2026/1元乐享-新疆青海,顶盖/206/2026扫码1元乐享-云贵",湖北奥瑞金制罐有限公司,龙口奥瑞金包装有限公司,字符串-龙口+特殊月份日期-YYMDD+字符串-0A+可变数字段长度-2+字符串--+可变数字段长度-3,顶盖,陈敏,2025-12-08 15:16:40,--,2025-12-08 15:16:40
4,"20000195,20002306,20002304","顶盖/206,顶盖/206/2026扫码1元乐享-云贵,顶盖/206/2026/1元乐享-新疆青海",湖北奥瑞金制罐有限公司,湖北奥瑞金制罐有限公司,字符串-龙一+特殊月份日期-YYMDD+字符串-510-+可变数字段长度-2,顶盖,陈敏,2025-12-08 15:13:46,--,2025-12-08 15:13:46
5,20000032,热熔胶,广东欣涛新材料科技股份有限公司,广东欣涛新材料科技股份有限公司,数字长度-8,热熔胶,陈敏,2025-12-08 11:22:38,--,2025-12-08 11:22:38
6,20000032,热熔胶,广东凯林科技股份有限公司,广东凯林科技股份有限公司,数字长度-8+字母段长度-2,热熔胶,陈敏,2025-12-08 11:21:46,--,2025-12-08 11:21:46
7,20000031,机用胶带,佛山市三水华彩包装材料有限公司,佛山市三水华彩包装材料有限公司,数字长度-8,胶带,陈敏,2025-12-08 11:18:10,--,2025-12-08 11:18:10
8,20000031,机用胶带,咸宁市振源塑料有限公司,咸宁市振源塑料有限公司,数字长度-8,胶带,陈敏,2025-12-08 11:15:47,--,2025-12-08 11:15:47
9,"20000028,20000029,20002283","热缩膜/450mm,热缩膜/375mm,热缩膜/六罐装/31周年版",佛山市三水华彩包装材料有限公司,佛山市三水华彩包装材料有限公司,数字长度-8,热缩膜,陈敏,2025-12-08 11:09:18,--,2025-12-08 11:09:18
10,"20000028,20000029","热缩膜/450mm,热缩膜/375mm",河南华洋纸塑包装有限公司,河南华洋纸塑包装有限公司,数字长度-8,热缩膜,陈敏,2025-12-08 11:07:31,--,2025-12-08 11:07:31
11,"20000028,20000029","热缩膜/450mm,热缩膜/375mm",宁波市诚屹包装材料有限公司,宁波市诚屹包装材料有限公司,数字长度-8,热缩膜,陈敏,2025-12-08 11:06:34,--,2025-12-08 11:06:34
12,"20002030,20000023,20002076,20002277,20002329,20002328,20002327,20002326","纸皮/普通型/250ML/24/30周年版,纸皮/普通型/250ml,纸皮/普通型/250ML/24/2025新疆专供,纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/24/扫码1元乐享-云贵/2026,纸皮/普通型/250ML/24/1元乐享-新疆青海/2026,纸皮/普通型/250ML/24/2026新疆箱内码专供,纸皮/普通型/250ML/24/31周年普通箱内码/2026",新乡市博太彩印实业有限公司,武汉市菲利纸业有限责任公司（博太三厂）,数字长度-8,纸皮,陈敏,2025-12-08 11:05:27,--,2025-12-08 11:05:27
13,"20002030,20000023,20002076,20002277,20002329,20002328,20002327,20002326","纸皮/普通型/250ML/24/30周年版,纸皮/普通型/250ml,纸皮/普通型/250ML/24/2025新疆专供,纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/24/扫码1元乐享-云贵/2026,纸皮/普通型/250ML/24/1元乐享-新疆青海/2026,纸皮/普通型/250ML/24/2026新疆箱内码专供,纸皮/普通型/250ML/24/31周年普通箱内码/2026",新乡市博太彩印实业有限公司,湖北丰环包装有限公司（博太二厂）,数字长度-8,纸皮,陈敏,2025-12-08 11:04:06,--,2025-12-08 11:04:06
14,"20000023,20002030,20002278,20002277,20002329,20002328,20002327,20002326","纸皮/普通型/250ml,纸皮/普通型/250ML/24/30周年版,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/24/扫码1元乐享-云贵/2026,纸皮/普通型/250ML/24/1元乐享-新疆青海/2026,纸皮/普通型/250ML/24/2026新疆箱内码专供,纸皮/普通型/250ML/24/31周年普通箱内码/2026",北京和玖包装科技有限公司,北京和玖包装科技有限公司,数字长度-8,纸皮,陈敏,2025-12-08 11:02:26,--,2025-12-08 11:02:26
15,"20002030,20002033,20002076,20000023,20002279,20002278,20002277,20002284,20002326,20002327,20002328,20002329","纸皮/普通型/250ML/24/30周年版,纸皮/强化型/250ml/蓝色/30周年版,纸皮/普通型/250ML/24/2025新疆专供,纸皮/普通型/250ml,纸皮/强化型/250ml/蓝色/31周年版,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/24/31周年版/新疆专供2026,纸皮/普通型/250ML/24/31周年普通箱内码/2026,纸皮/普通型/250ML/24/2026新疆箱内码专供,纸皮/普通型/250ML/24/1元乐享-新疆青海/2026,纸皮/普通型/250ML/24/扫码1元乐享-云贵/2026",河南华洋纸塑包装有限公司,河南华洋纸塑包装有限公司,数字长度-8,纸皮,陈敏,2025-12-08 11:01:29,--,2025-12-08 11:01:29
16,"20000023,20002076,20002030,20002075,20002278,20002277,20002329,20002328,20002327,20002326","纸皮/普通型/250ml,纸皮/普通型/250ML/24/2025新疆专供,纸皮/普通型/250ML/24/30周年版,纸皮/普通型/250ML/24/2025新疆箱内码专供,纸皮/普通型/250ML/31周年版/六罐装/包装,纸皮/普通型/250ML/24/31周年版,纸皮/普通型/250ML/24/扫码1元乐享-云贵/2026,纸皮/普通型/250ML/24/1元乐享-新疆青海/2026,纸皮/普通型/250ML/24/2026新疆箱内码专供,纸皮/普通型/250ML/24/31周年普通箱内码/2026",新乡市博太彩印实业有限公司,武汉三叶印务包装有限公司（博太一厂）,数字长度-8,纸皮,陈敏,2025-12-08 10:59:31,--,2025-12-08 10:59:31
17,20000009,RBMT0906（维生素B12）,南京诺朗科技有限公司,河北华荣制药有限公司,数字长度-9+字母段长度-2,维生素B12,陈敏,2025-12-05 16:51:58,--,2025-12-05 16:51:58
