序号,物料大类,条码/物料编码,物料名称/描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,供应链可用状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产,税率(%),物料来源,ABC分类,创建时间
1,原材料,20002329,纸皮/普通型/250ML/24/扫码1元乐享-云贵/2026,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2026-02-10 13:55:47
2,原材料,20002328,纸皮/普通型/250ML/24/1元乐享-新疆青海/2026,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2026-02-10 13:55:47
3,原材料,20002327,纸皮/普通型/250ML/24/2026新疆箱内码专供,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2026-02-10 13:55:47
4,原材料,20002326,纸皮/普通型/250ML/24/31周年普通箱内码/2026,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2026-02-10 13:55:47
5,原材料,20002306,顶盖/206/2026扫码1元乐享-云贵,,包装物容器,个,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2026-02-10 13:55:47
6,原材料,20002305,空罐/普通型/250ML/2026扫码1元乐享-云贵/无顶盖,,包装物容器,个,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2026-02-10 13:55:47
7,原材料,20002304,顶盖/206/2026/1元乐享-新疆青海,,包装物容器,个,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2026-02-10 13:55:47
8,原材料,20002303,空罐/普通型/250ML/2026年1元乐享-新疆青海/无顶盖,,包装物容器,个,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2026-02-10 13:55:47
9,原材料,20002284,纸皮/普通型/250ML/24/31周年版/新疆专供2026,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2025-12-31 09:03:20
10,原材料,20002283,热缩膜/六罐装/31周年版,,包装物,KG,,ROH原材料,730,60,3,已启用,启用,0.000,,,否,否,13,自制,,2025-12-26 11:44:56
11,原材料,20002279,纸皮/强化型/250ml/蓝色/31周年版,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2025-12-26 11:42:54
12,原材料,20002278,纸皮/普通型/250ML/31周年版/六罐装/包装,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2025-12-26 11:42:54
13,原材料,20002277,纸皮/普通型/250ML/24/31周年版,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2025-12-26 11:42:54
14,原材料,20002272,空罐/强化型/250ml/蓝色/31周年版/无底盖,,包装物容器,罐,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2025-12-26 11:42:54
15,原材料,20002271,空罐/普通型/250ML/31周年版/无顶盖,,包装物容器,罐,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2025-12-26 11:42:54
16,原材料,20000032,热熔胶,,封装物,KG,,ROH原材料,,60,0,已启用,启用,0.000,,,否,否,13,自制,,2025-08-08 08:27:23
17,原材料,20002167,纸皮/普通型/250ML/24/30周年普通箱内码二期/2025,,包装物,张,,ROH原材料,730,60,0,已启用,启用,0.000,,,否,否,13,自制,,2025-08-01 16:57:31
