序号,物料大类,条码/物料编码,物料名称/描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,供应链可用状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产,税率(%),物料来源,ABC分类,创建时间
1,综合物资,30001345,磷酸二氢钾/含量≥99% 25KG/包,,辅料,KG,,,,,4,已启用,启用,,,,否,否,13,自制,B,2026-01-28 10:00:53
2,综合物资,30001344,尿素/含氮≥46.4% 50KG/包,,辅料,KG,,,,,4,已启用,启用,,,,否,否,13,自制,B,2026-01-28 10:00:53
3,综合物资,8000012469,辅助耗材/储运部,,劳保用品,PC,,,,,0,已启用,启用,,,,否,否,13,自制,,2025-10-13 15:50:32
4,综合物资,55000461,BG-得力 T1680 胶套本(墨色轻染) 16K 80张,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
5,综合物资,55000386,BG-得力 7689 螺旋本螺旋本笔记本 80页 A4,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
6,综合物资,55000385,BG-渡边 SA7803/SA7806 竖翻螺旋本 A7 80页 混色,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
7,综合物资,55000339,BG-得力 3472 费用报销审批单 210*105mm 75张/本 白色,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
8,综合物资,55000337,BG-西玛 SS030107 差旅费用报销单 240*140,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
9,综合物资,55000336,BG-西玛 SS030308 费用报销单（210-114） 210*114,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
10,综合物资,55000335,BG-立信 费用报销单121-30 30K,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
11,综合物资,55000334,BG-立信 121-48 费用报销单 48K,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
12,综合物资,55000332,BG-浩立信 支付证明单01020044（35-623),,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
13,综合物资,55000330,BG-得力 6424 学生横线百事贴大 102*152mm 原木色 40页/本,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
14,综合物资,55000329,BG-得力 6416 自粘性标贴 14*25mm 白色,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
15,综合物资,55000324,BG-N次贴 34046 N次贴 28X45MM 30张/本,,办公用品,本,,LVC低值易耗品,,,0,已启用,启用,,,,否,否,13,自制,,2025-09-28 16:08:04
