产品类型,启用状态,启用时间,截止时间,生产日期,时间,批次,批号,可溶性固形物,pH,ABS,nm,创建时间,创建人,备注
红牛-普通型,启用,2026-05-03 15:44:09,,2026-04-02,05:13,HB26E009,908ZE,12.4,3.50,0.354,271.5,2026-05-03 15:44:09,赵晶晶,
红牛-普通型,停用,2026-04-01 15:02:26,2026-05-03 15:44:09,2026-03-03,10:28,HB26D006,706ZD,12.4,3.50,0.348,271.5,2026-04-01 15:02:26,赵晶晶,
红牛-普通型,停用,2026-03-05 08:31:24,2026-04-01 15:02:26,2026-02-03,21:27,HB26E004,808YE,12.3,3.50,0.000,271.5,2026-03-05 08:31:24,张娜（品管）,
红牛-普通型,停用,2026-02-01 13:27:40,2026-03-05 08:31:24,2026-01-02,15:17,HB26B001,602RB,12.3,3.48,0.350,271.5,2026-02-01 13:27:40,赵晶晶,
红牛-普通型,停用,2026-01-03 14:14:36,2026-02-01 13:27:40,2025-12-03,08:46,HB25E030,708XE,12.3,3.50,0.348,271.5,2026-01-03 14:14:36,赵晶晶,
红牛-普通型,停用,2025-12-02 08:32:03,2026-01-03 14:14:36,2025-11-03,16:15,HB25D027,606XD,12.3,3.51,0.350,271.5,2025-12-02 08:32:03,赵晶晶,
红牛-普通型,停用,2025-11-01 09:35:40,2025-12-02 08:32:03,2025-10-10,05:16,HB25F026,008WF,12.3,3.50,0.350,271.5,2025-11-01 09:35:40,张娜（品管）,
红牛-普通型,停用,2025-10-10 12:46:11,2025-11-01 09:35:40,2025-09-02,09:01,HB25B023,402PB,12.3,3.49,0.348,271.5,2025-10-10 12:46:11,赵晶晶,
红牛-普通型,停用,2025-10-07 11:42:46,2025-10-10 12:46:11,2025-05-29,04:27,HB25E013,908UE,12.3,3.50,0.350,271.5,2025-10-07 11:42:46,赵晶晶,
红牛-普通型,停用,2025-10-07 11:38:45,2025-10-07 11:42:46,2025-05-29,04:27,HB25E013,908UE,12.3,3.50,0.350,271.5,2025-10-07 11:38:45,赵晶晶,
红牛-普通型,停用,2025-09-11 14:51:47,2025-10-07 11:38:45,2025-08-02,05:55,HB25D020,006WD,12.3,3.50,0.346,271.5,2025-09-11 14:51:47,赵晶晶,
红牛-普通型,停用,2025-09-10 14:31:08,2025-09-11 14:51:47,2025-07-01,07:11,HB25A022,802UE,12.3,3.50,0.346,271.5,2025-09-10 14:31:08,赵晶晶,
红牛-普通型,停用,2025-09-05 15:41:01,2025-09-10 14:31:08,2025-08-02,05:55,HB25D020,006WD,12.4,3.49,0.346,271.5,2025-09-05 15:41:01,赵晶晶,
红牛-强化型,启用,2026-05-03 15:45:40,,2026-04-09,20:50,HB26A010,502PQ,15.3,3.35,0.342,271.5,2026-05-03 15:45:40,赵晶晶,
红牛-强化型,停用,2026-04-01 15:03:43,2026-05-03 15:45:40,2026-03-12,00:12,HB26A007,302PQ,15.3,3.34,0.345,271.5,2026-04-01 15:03:43,赵晶晶,
红牛-强化型,停用,2026-03-08 14:47:57,2026-04-01 15:03:43,2026-02-02,17:28,HB26A004,150PQ,15.4,3.38,0.343,271.5,2026-03-08 14:47:57,赵晶晶,
红牛-强化型,停用,2026-02-01 13:28:47,2026-03-08 14:47:57,2026-01-02,16:51,HB26A001,902OQ,15.3,3.34,0.345,271.5,2026-02-01 13:28:47,赵晶晶,
红牛-强化型,停用,2026-01-03 14:15:40,2026-02-01 13:28:47,2025-12-29,03:41,HB25A032,802NQ,15.2,3.35,0.345,271.5,2026-01-03 14:15:40,赵晶晶,
红牛-强化型,停用,2025-12-26 08:14:48,2026-01-03 14:15:40,2025-10-12,19:07,HB25A026,302OQ,15.2,3.36,0.345,271.5,2025-12-26 08:14:48,赵晶晶,
红牛-强化型,停用,2025-10-10 12:49:38,2025-12-26 08:14:48,2025-09-04,21:58,HB25A023,102OQ,15.3,3.37,0.342,271.5,2025-10-10 12:49:38,赵晶晶,
红牛-强化型,停用,2025-09-05 15:43:25,2025-10-10 12:49:38,2025-08-06,22:47,HB25A021,902NQ,15.3,3.36,0.340,271.5,2025-09-05 15:43:25,赵晶晶,
