序号,仪器编码,仪器名称,出厂编号,仪器型号,所属品牌,仪器类型,可用状态,创建人,创建时间,更新人,更新时间
1,SHY-HWX-05,恒温箱,23080806,MIR-254,SANYO,恒温箱,可用,陈玉玲,2026-03-07 16:53:55,陈玉玲,2026-03-07 16:53:55
2,SHY-HWX-11,恒温箱,12-00629,BD 240,BINDER,恒温箱,可用,陈玉玲,2026-03-07 16:46:50,陈玉玲,2026-03-07 16:52:02
3,SHY-PH-06,pH计(多参数测定仪),C028665451,梅特勒,梅特勒,,可用,赵晶晶,2026-01-17 14:54:50,赵晶晶,2026-01-17 14:54:50
4,QA005,酶标仪,1506004028,SUNRISE,帝肯,,可用,高艳芬,2025-10-31 13:33:26,高艳芬,2025-10-31 13:33:26
5,QA004,原子荧光光度计,97001213415,AFS-9700,北京海光,,可用,高艳芬,2025-10-31 13:32:50,高艳芬,2025-10-31 13:32:50
6,QA003,高速氨基酸分析仪,2601-003,L-8900,日立,,可用,高艳芬,2025-10-31 11:10:02,高艳芬,2025-10-31 13:32:03
7,QA002,气相色谱仪,CN13171053,7890A,安捷伦,,可用,高艳芬,2025-10-31 11:08:20,高艳芬,2025-10-31 11:08:20
8,QA001,高效液相色谱仪,DEAAC19411,1260,安捷伦,,可用,高艳芬,2025-10-31 11:04:53,高艳芬,2025-10-31 11:04:53
9,SHY-TP-08,分析天平,1232111062,PL4002,梅特勒,,可用,徐华维,2025-09-15 14:08:23,徐华维,2025-09-15 14:08:23
10,SHY-TP-07,分析天平,1227161055,AL204,梅特勒,,可用,徐华维,2025-09-15 14:07:54,徐华维,2025-09-15 14:07:54
11,EHY-TP-06,分析天平,1229070196,PL2002,梅特勒,,可用,徐华维,2025-09-15 14:07:25,徐华维,2025-09-15 14:07:25
12,EHY-TP-05,分析天平,1232340792,AL204,梅特勒,,可用,徐华维,2025-09-15 14:06:58,徐华维,2025-09-15 14:06:58
13,YHY-TP-04,分析天平,1227130663,PL2002,梅特勒,,可用,徐华维,2025-09-15 14:06:28,徐华维,2025-09-15 14:06:28
14,YHY-TP-03,分析天平,1229530202,AL204,梅特勒,,可用,徐华维,2025-09-15 14:05:27,徐华维,2025-09-15 14:05:27
15,YHY-TP-02,分析天平,1227161004,AL204,梅特勒,,可用,徐华维,2025-09-15 14:04:47,徐华维,2025-09-15 14:04:47
16,YHY-TP-01,分析天平,C145916707,AL204,梅特勒,,可用,徐华维,2025-09-15 14:04:18,徐华维,2025-09-15 14:04:18
17,SHY-HWX-11,恒温箱,23080806,MIR-250S,SANYO,,可用,徐华维,2025-09-15 14:02:05,徐华维,2025-09-15 14:02:05
18,SHY-HWX-10,恒温箱,0904114,MIR-254,SANYO,,可用,徐华维,2025-09-15 14:01:34,徐华维,2025-09-15 14:01:34
19,SHY-HWX-09,恒温箱,51116014,MIR-253,SANYO,,可用,徐华维,2025-09-15 14:01:08,徐华维,2025-09-15 14:01:08
20,SHY-HWX-08,恒温箱,11110395,MIR-254,SANYO,,可用,徐华维,2025-09-15 14:00:36,徐华维,2025-09-15 14:00:36
21,SHY-HWX-07,恒温箱,05-89566,BD 240,BINDER,,可用,徐华维,2025-09-15 14:00:02,徐华维,2025-09-15 14:00:02
22,SHY-HWX-06,恒温箱,09-06075,BD 240,BINDER,,可用,徐华维,2025-09-15 13:59:38,徐华维,2025-09-15 13:59:38
23,SHY-HWX-05,恒温箱,12-00629,BD 240,BINDER,,可用,徐华维,2025-09-15 13:58:55,徐华维,2025-09-15 13:58:55
24,SHY-HWX-04,恒温箱,12-00593,BD 240,BINDER,,可用,徐华维,2025-09-15 13:57:30,徐华维,2025-09-15 13:57:30
25,SHY-HWX-03,恒温箱,20170000016058,BF 400,BINDER,,可用,徐华维,2025-09-15 13:56:59,徐华维,2025-09-15 13:56:59
26,SHY-HWX-02,恒温箱,20170000016059,BF 400,BINDER,,可用,徐华维,2025-09-15 13:55:11,徐华维,2025-09-15 13:55:11
27,YHY-HWX-01,恒温箱,05-89579,B0240,BINDER,,可用,徐华维,2025-09-15 13:53:55,徐华维,2025-09-15 13:53:55
28,SHY-PH-06,pH计（三车间在线化验室）,1232225784,Seven Easy,梅特勒,,可用,徐华维,2025-09-15 13:53:18,赵晶晶,2026-01-17 15:16:11
29,SHY-PH-05,pH计（三车间半成品）,1232185808,Seven Easy,梅特勒,,可用,徐华维,2025-09-15 13:52:46,赵晶晶,2026-01-17 14:57:27
30,EHY-PH-04,pH计（二车间在线化验室）,B504520463,Seven Compact (S210),梅特勒,,可用,徐华维,2025-09-15 13:52:17,周仲,2026-03-02 11:00:57
31,EHY-PH-03,pH计（二车间半成品）,1230025172,Seven Easy,梅特勒,,可用,徐华维,2025-09-15 13:51:50,周仲,2026-03-02 11:01:09
32,YHY-PH-02,pH计（一车间在线化验室）,B512732832,Seven Compact (S210),梅特勒,pH计,可用,徐华维,2025-09-15 13:51:19,王凯（品管）,2026-05-18 14:55:24
