u{FEFF}供应商编码,供应商名称,简称,分类,联系人,手机,邮箱,地址,状态,创建时间,供应商等级,公司规模
"13000618","厦门和易工业皮带有限公司","和易工","备件","","","","","已启用","2026-05-14 18:22:47","",""
"","东莞市宏丰环保设备有限公司","宏丰环保","备件","","","","","已启用","2026-05-13 12:17:15","",""
"18000117","深圳睿通供应链管理有限公司","","服务商","","","","","已启用","2026-04-02 16:18:19","",""
"18000226","北京联悦国际供应链管理有限公司","联悦","服务商","","","","","已启用","2026-04-02 15:19:16","","1"
"","郑州瑞斯福食品科技有限公司","瑞斯福","原材料","","","","","已启用","2026-01-17 19:18:07","",""
"","河北华荣制药有限公司","华荣制药","原材料","","","","","已启用","2025-10-31 12:30:37","",""
"","华源包装（咸宁）有限公司","","","","","","","已启用","2025-09-04 11:15:11","",""
"","华源包装（清远）有限公司","","原材料","","","","","已启用","2025-09-04 11:14:10","",""
"","临沂奥瑞金印铁制罐有限公司","","原材料","","","","","已启用","2025-09-04 11:13:22","",""
"","龙口奥瑞金包装有限公司","","原材料","","","","","已启用","2025-09-04 11:12:42","",""
"","山东博瑞特包装科技有限公司","","","","","","","已启用","2025-09-04 11:12:23","",""
"","珠海博瑞特包装科技有限公司","","原材料","","","","","已启用","2025-09-04 11:08:25","",""
"","广州龙沙制药有限公司","","原材料","","","","","已启用","2025-09-04 11:03:03","",""
"","江苏江山制药有限公司			","","","","","","","已启用","2025-09-04 11:02:51","",""
"","上海宝开生物科技有限公司","","原材料","","","","","已启用","2025-09-04 11:02:36","",""
"","北京香山香精香料有限公司			","","","","","","","已启用","2025-09-04 11:02:21","",""
"","杭州安赛生物科技有限公司","","原材料","","","","","已启用","2025-09-04 11:02:00","",""
"","艾地盟香精(平湖)有限公司","","原材料","","","","","已启用","2025-09-04 11:01:44","",""
"","天津多福源实业有限公司","","原材料","","","","","已启用","2025-09-04 11:01:13","",""
"","武汉有机实业有限公司","","原材料","","","","","已启用","2025-09-04 11:00:58","",""
"","江西天新药业股份有限公司","","原材料","","","","","已启用","2025-09-04 11:00:42","",""
"","诸城市浩天药业有限公司","","原材料","","","","","已启用","2025-09-04 11:00:16","",""
"","日照金禾博源生化有限公司","","原材料","","","","","已启用","2025-09-04 11:00:02","",""
"","津药药业股份有限公司","","原材料","","","","","已启用","2025-09-04 10:59:19","",""
"","潜江永安药业股份有限公司","","原材料","","","","","已启用","2025-09-04 10:58:47","",""
"19012171","厦门同安金光湖森林人家生态发展有限公司","金光湖森林人家","","","","","","已启用","2025-08-18 09:37:37","",""
"19012170","厦门益淘优选互联网销售有限公司","益淘优选","","","","","","已启用","2025-08-18 09:37:37","",""
"19012158","厦门新睿财建筑装饰有限公司","新睿财","","","","","","已启用","2025-08-18 09:37:37","",""
"19012118","厦门荷语企业服务有限公司","","","","","","","已启用","2025-08-18 09:37:37","",""
"19012108","厦门市同安区竞标体育用品经营部","竞标体育","","","","","","已启用","2025-08-18 09:37:37","",""
"19012107","厦门钰钧建筑工程有限公司","钰钧建筑","","","","","","已启用","2025-08-18 09:37:37","",""
"19012031","福建宏邦检测技术有限公司","福建宏邦","","","","","","已启用","2025-08-18 09:37:37","",""
"19012030","中检集团康泰安全科技有限公司","中检康泰","","","","","","已启用","2025-08-18 09:37:37","",""
"19011968","兴牛科技（广州）有限公司","兴牛科技（广州）有限","","","","","","已启用","2025-08-18 09:37:37","",""
"19011967","苏州承礼科技有限公司","苏州承礼科技有限公司","","","","","","已启用","2025-08-18 09:37:37","",""
"19011840","厦门盛力达制冷设备有限公司","盛力达","","","","","","已启用","2025-08-18 09:37:37","",""
"19011736","厦门翔佳宇金属材料有限公司","翔佳宇","","","","","","已启用","2025-08-18 09:37:37","",""
"19011678","厦门华钽精密制造有限公司","厦门华钽","","","","","","已启用","2025-08-18 09:37:37","",""
"19011519","厦门市成一贸易有限公司","","","","","","","已启用","2025-08-18 09:37:37","",""
"19011494","昆山市周市镇昱优航贸易商行","昱优航贸易","","","","","","已启用","2025-08-18 09:37:37","",""
"19011476","福建祥安泰消防环境工程有限公司","福建祥安泰","","","","","","已启用","2025-08-18 09:37:37","",""
"19011266","厦门通宝达贸易有限公司","通宝达","","","","","","已启用","2025-08-18 09:37:37","",""
"19011057","厦门明洁建设工程有限公司","明洁建设","","","","","","已启用","2025-08-18 09:37:37","",""
"19011004","厦门龙顺通科技有限公司","龙顺通科技","","","","","","已启用","2025-08-18 09:37:37","",""
"19010898","福建善璟环保工程有限公司","善璟环保","","","","","","已启用","2025-08-18 09:37:37","",""
"19010897","厦门铧隆物流有限公司","铧隆物流","","","","","","已启用","2025-08-18 09:37:37","",""
"19010894","福建省环安检测评价有限公司","环安","","","","","","已启用","2025-08-18 09:37:37","",""
"19010830","厦门斌盛丰建设工程有限公司","斌盛丰","","","","","","已启用","2025-08-18 09:37:37","",""
"19010767","厦门实广科技有限公司","实广科技","","","","","","已启用","2025-08-18 09:37:37","",""
"19010722","上海博通化学科技有限公司","博通化学","","","","","","已启用","2025-08-18 09:37:37","",""
"19010697","厦门中利信消防科技有限公司","中利信","","","","","","已启用","2025-08-18 09:37:37","",""
"19010613","福建天洲环宇建筑工程有限公司","天洲环宇","","","","","","已启用","2025-08-18 09:37:37","",""
"19010549","厦门市天兴诚科技有限公司","天兴诚","","","","","","已启用","2025-08-18 09:37:37","",""
"19010533","厦门市同安区五显镇商会","五显镇商会","","","","","","已启用","2025-08-18 09:37:37","",""
"19010473","厦门聚美冠家具有限公司","聚美冠家具","","","","","","已启用","2025-08-18 09:37:37","",""
"19010385","厦门通威泰成汽车有限公司","通威泰成","","","","","","已启用","2025-08-18 09:37:37","",""
"19010369","厦门国贸通润汽车服务有限公司","","","","","","","已启用","2025-08-18 09:37:37","",""
"19010350","厦门安程电梯工程有限公司","安程电梯","","","","","","已启用","2025-08-18 09:37:37","",""
"19010329","厦门权游文化传播有限公司","厦门权游","","","","","","已启用","2025-08-18 09:37:37","",""
"19010315","浙江大炜包装科技有限公司","浙江大炜包装科技有限","","","","","","已启用","2025-08-18 09:37:37","",""
"19010299","上海问力科技有限公司","上海问力科技有限公司","","","","","","已启用","2025-08-18 09:37:37","",""
"19010275","厦门税盾税务师事务所有限公司","厦门税盾","","","","","","已启用","2025-08-18 09:37:37","",""
"19010245","厦门诺捷自动化有限公司","厦门诺捷","","","","","","已启用","2025-08-18 09:37:37","",""
"19010143","福建八闽福网络科技有限公司","福建八闽","","","","","","已启用","2025-08-18 09:37:37","",""
"19010123","厦门首仓健康管理有限公司","首仓健康","","","","","","已启用","2025-08-18 09:37:37","",""
"19010012","厦门锦仔山生态旅游有限公司","","","","","","","已启用","2025-08-18 09:37:37","",""
"19009989","厦门天天渔港品牌管理有限公司","","","","","","","已启用","2025-08-18 09:37:37","",""
"19009967","厦门市舒元堂生物科技有限公司","厦门舒元","","","","","","已启用","2025-08-18 09:37:37","",""
"19009765","广州能源检测研究院","广州能源检测研究院","","","","","","已启用","2025-08-18 09:37:37","",""
"19009756","厦门市企维信环保科技有限公司","企维信","","","","","","已启用","2025-08-18 09:37:37","",""
"19009745","厦门欣紫翔遮阳技术有限公司","厦门欣紫翔","","","","","","已启用","2025-08-18 09:37:37","",""
"19009662","北京华彬文化基金会","","","","","","","已启用","2025-08-18 09:37:37","",""
"19009642","泉州市东善文化传播有限公司","东善文化","","","","","","已启用","2025-08-18 09:37:37","",""
"19009597","厦门天雄生态环境建设有限公司","厦门天雄","","","","","","已启用","2025-08-18 09:37:37","",""
"19009577","厦门市特种设备检验检测院","特检院","","","","","","已启用","2025-08-18 09:37:37","",""
"19009558","厦门市梦尔康工贸有限公司","梦尔康","","","","","","已启用","2025-08-18 09:37:37","",""
"19009543","厦门锦园中医院有限公司","锦园中医院","","","","","","已启用","2025-08-18 09:37:37","",""
"19009542","厦门厦励贸易有限公司","厦励贸易","","","","","","已启用","2025-08-18 09:37:37","",""
"19009529","厦门大学","厦大","","","","","","已启用","2025-08-18 09:37:37","",""
"19009526","厦门弘享智能科技有限公司","厦门弘享","","","","","","已启用","2025-08-18 09:37:37","",""
"19009496","国家税务总局厦门市同安区税务局","厦门市同安区税务局","","","","","","已启用","2025-08-18 09:37:37","",""
