u{FEFF}条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
"11000014","末端在线仪表","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000013","电控及仪表模块","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000012","臭气处理系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000011","污水加药和污泥处理集装箱模块","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000010","污水生化处理集装箱模块","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000009","污水预处理集装箱模块","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000008","收集处理模块","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000007","罐装集水井","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000006","配料集水井","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000005","二线冷却塔","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111124","二线链道系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111122","二线墨码机4","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111121","二线墨码机3","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111120","二线墨码机2","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111119","二线墨码机1","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111125","二线灌装机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111112","二线拆包机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111123","一线链道系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111118","一线墨码机4","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111117","一线墨码机3","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111116","一线墨码机2","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111115","一线墨码机1","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111114","一线灌装机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111113","一线封口机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11111111","一线拆包机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000015","废气处理设施","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000073","通风系统-风冷模块式冷水热泵机组","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000072","通风系统-风冷模块式冷水热泵机组","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000071","通风系统-风冷模块式冷水热泵机组","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000070","通风系统-风冷模块式冷水热泵机组","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000091","液氮系统-气液分离器","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000090","液氮系统-气液分离器","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000092","液氮系统-液氮输送管道系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000093","液氮系统-液氮罐","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000106","配电系统-配电线路系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000105","配电系统-配电房电柜","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000067","水回收系统-洗罐水回收设备","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"18000010","蒸汽管道施工费","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000104","蒸汽系统-管道系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000003","室外冷却塔-储气罐","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000148","空压系统-冷冻干燥机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000147","空压系统-双螺杆空气压缩机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000146","空压系统-双螺杆空气压缩机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000024","制水系统-紫外杀菌器","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000036","制水系统-纯水增压系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000025","制水系统-一级产品水箱","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000113","配料系统-纯水罐","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000112","配料系统-纯水罐","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000021","制水系统-活性炭过滤器","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000020","制水系统-多介质过滤器","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000016","制水系统-原水箱","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000026","制水系统-一级反渗透装置","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000192","自动称香精系统-复核平台","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"10000146","自动上糖系统——自动控制系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000125","配料系统-电气控制系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000127","配料系统-离心泵","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000102","配料系统-化糖罐","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000184","二线外箱检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000066","码垛系统-输送机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000064","码垛系统-输送机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000062","码垛系统-码垛机器人","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000068","码垛系统-封箱机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000070","码垛系统-称重机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000175","生产设备-纸箱包装机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000188","二线膜包检测仪","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000173","生产设备-热缩膜机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000097","激光机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000079","检验设备-异盖检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000073","检验设备-墨码检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000077","检验设备-液位检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000081","检验设备-内压真空检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000171","生产设备-冷罐机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000190","二线上盖拆垛机械手","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000178","二线自动上盖机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000186","二线卷封检测仪","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000088","巴氏杀菌机系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000076","检验设备-液位检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000086","检验设备-注氮机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000169","生产设备-封口灌装机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000168","灌装系统-洗罐机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000095","罐内异物检测仪+检测系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000083","检验设备-空罐检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000183","一线外箱检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000065","码垛系统-输送机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000063","码垛系统-输送机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000061","码垛系统-码垛机器人","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000067","码垛系统-封箱机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000069","码垛系统-称重机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000174","生产设备-纸箱包装机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000187","一线膜包检测仪","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000172","生产设备-热缩膜机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000096","激光机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000084","检验设备-挤压式内压检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000078","检验设备-异盖检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000072","检验设备-墨码检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000075","检验设备-液位检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000080","检验设备-内压真空检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000170","生产设备-冷罐机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000189","一线上盖拆垛机械手","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000177","一线自动上盖机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000185","一线卷封检测仪","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000087","巴氏杀菌机系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000074","检验设备-液位检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000085","检验设备-注氮机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000167","灌装系统-洗罐机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000094","罐内异物检测仪+检测系统","","生产设备","个","","",,,0,"已启用",,,,"否","否"
"11000082","检验设备-空罐检测机","","生产设备","个","","",,,0,"已启用",,,,"否","否"
