u{FEFF}条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
"40047323","蒸汽法兰波纹管补偿器","DN100 PN16/温度：350℃/补偿量：22mm","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047322","梅花垫","28mm","灌装机","个","ROTEX","",1095,90,0,"已启用",,7,,"否","否"
"40047321","UPVC气动蝶阀","DN65","污水系统","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047320","链板","1600AGUPK83.8mm/3.048/条","链道系统","条","REGINA","",1095,90,0,"已启用",,14,,"否","否"
"40047319","双排气大阀片","长50MM,头宽14MM，中间孔直径4MM","污水系统","片","","",1095,90,0,"已启用",,14,,"否","否"
"40047318","联轴器","32mm","灌装机","套","ROTEX","",1095,90,0,"已启用",,7,,"否","否"
"40047317","变频器","GD200A5R5G /7R5P-4","链道系统","台","英威腾","",1095,90,0,"已启用",,7,,"否","否"
"40047316","316Y型焊接式过滤器","φ38","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047315","不锈钢快速接头","PU-8","通用电器件","个","费斯托","",1095,90,0,"已启用",,10,,"否","否"
"40047314","不锈钢快速接头","PU-6","通用电器件","个","费斯托","",1095,90,0,"已启用",,10,,"否","否"
"40047313","气管","PA12-12X1/100米/盘/黑色/白色","灌装机","盘","","",1095,90,0,"已启用",,14,,"否","否"
"40047312","气管","PA12-10X1/100米/盘/黑色","灌装机","盘","费斯托","",1095,90,0,"已启用",,14,,"否","否"
"40047311","气管","PA12-8X1/100米/盘/黑色/白色","灌装机","盘","费斯托","",1095,90,0,"已启用",,14,,"否","否"
"40047310","气管","PA12-6X1/100米/盘/黑色/白色","灌装机","盘","费斯托","",1095,90,0,"已启用",,14,,"否","否"
"40047279","气管","PA12-4X1/100米/盘/黑色/白色","灌装机","盘","","",1095,90,0,"已启用",,14,,"否","否"
"40047278","轴承","6010-ZZ","冷却机","个","SKF","",1095,90,0,"已启用",,7,,"否","否"
"40047277","不锈钢门栓搭扣","3寸平面小号门扣","封口机","个","泰姆士","",1095,90,0,"已启用",,10,,"否","否"
"40047276","钨针","2.4*150/10支/盒/灰色头","通用机械备件","盒","YOBEL","",1095,90,0,"已启用",,10,,"否","否"
"40047275","地线夹","A型260A全铜","通用机械备件","个","耀达威","",1095,90,0,"已启用",,7,,"否","否"
"40047274","不锈钢法兰球阀","DN65/Q41F-16P/配焊接法兰、螺栓、石墨垫","空压机","套","俏博莱","",1095,90,0,"已启用",,7,,"否","否"
"40047273","氟胶骨架油封","50*80*10","封口机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047272","OR意大利模温机安全阀","耐160度 内外丝4分","冷却机","个","耀达","",1095,90,0,"已启用",,7,,"否","否"
"40047271","304不锈钢双活接球阀","DN32热熔焊接/PPR","冷却机","个","晋有","",1095,90,0,"已启用",,7,,"否","否"
"40047304","空压机真空换向阀","3V1-06_AC380","污水系统","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047303","气压调压阀","BFR2000","通用电器件","个","亚德客","",1095,90,0,"已启用",,5,,"否","否"
"40047302","连杆挡轮","CF413A","封箱机","个","友联","",1095,90,0,"已启用",,14,,"否","否"
"40047301","导板","CF408A","封箱机","个","友联","",1095,90,0,"已启用",,14,,"否","否"
"40047300","高效袋式过滤器（H14)","外边1025*640*90/内边1000*615*90","称料系统","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047299","高效袋式过滤器（H14）","630*630*220","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047298","高效袋式过滤器（H14）","484*484*220","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047297","高效袋式过滤器（H14）","320*320*220","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047296","中效袋式过滤器","592*492*280*3D","自动上盖机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047295","中效袋式过滤器","592*492*280*5P","自动上盖机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047294","中效袋式过滤器","287*592*381-3P","自动上盖机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047293","初效过滤器","492*287*20","自动上盖机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047292","初效过滤器","492*592*21","自动上盖机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047291","动力介质出入口阀和阀座组件","1360881/spare泵50/80mm MFP14/S/SS","灌装机","个","斯派莎克","",1095,90,0,"已启用",,30,,"否","否"
"40047290","泵盖垫片","1360880/spare泵","灌装机","个","斯派莎克","",1095,90,0,"已启用",,30,,"否","否"
"40047289","泵进排汽阀芯/阀座组件","16120282/APT14泵","灌装机","个","斯派莎克","",1095,90,0,"已启用",,30,,"否","否"
"40047288","泵盖垫片","16120284/APT14泵","灌装机","个","斯派莎克","",1095,90,0,"已启用",,30,,"否","否"
"40047287","浮球组件","16120285/APT14泵","灌装机","个","斯派莎克","",1095,90,0,"已启用",,30,,"否","否"
"40047284","食品级软管总成","DN50*L1400mm/AB两端配316不锈钢SMS直接头，套筒扣压，套筒SS304材质","灌装机","根","TRELLEBORG","",1095,90,0,"已启用",,14,,"否","否"
"40047283","三相异步电动机","CM1041G200TJF+M104C-90","自动上盖机","台","","",1095,90,0,"已启用",,14,,"否","否"
"40047282","吸盘","G.BGI48-2S50.B3.SI.G38M.00","自动上盖机","个","","",1095,90,0,"已启用",,21,,"否","否"
"40047280","中间滚轮","F622502-0202.07","拆包机","个","","",1095,90,0,"已启用",,56,,"否","否"
"40047069","气动杆","MN010246","热缩机","个","SMI","",1095,90,0,"已启用",,84,,"否","否"
"40047068","底板","5-5354642","封口机","片","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047067","底托齿轮轴","5S5396427","封口机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047066","灌装机减速机","2-0200368","封口机","台","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047270","齿轮","5-5450209","灌装机","个","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047039","出口星轮","5-8054301","封口机","个","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047038","油管","5-8954297","封口机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047037","油管","5-8954300","封口机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047036","油管","5-8954298","封口机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047035","油管","5-8956049","封口机","根","CFT","",1095,90,0,"已启用",,112,,"否","否"
"40047285","气液分离器加热器","TBHP-09215(220v/150W)","通用电器件","个","","",1095,90,0,"已启用",,7,,"否","否"
"40047286","消音器","HF-2T","链道系统","个","宏丰","",1095,90,0,"已启用",,14,,"否","否"
"40046799","AV13自动排气阀","AV13黄铜1/2“BSP螺纹","灌装机","个","斯派莎克","",1095,90,0,"已启用",0.000,15,,"否","否"
"40046681","关节轴承","9263","包装机","个","","",1095,90,0,"已启用",,56,,"否","否"
"40046802","联轴器","ROBA-DSSize 25/953.001/7057726/替代2-0450137","封口机","个","mayr","",1095,90,0,"已启用",,42,,"否","否"
"40046800","杀菌灯专用电子镇流器","T8/30W","通用电器件","个","四通","",1095,90,0,"已启用",,7,,"否","否"
"40046729","隔膜泵密封圈","666270-EEB-C气动部分","污水系统","个","英格索兰","",1095,90,0,"已启用",,10,,"否","否"
"40046728","信号发生器","OHR-A00","工具","个","虹润","",1095,90,0,"已启用",,15,,"否","否"
"40046727","UPVC手动蝶阀","DN50","污水系统","个","","",1095,90,0,"已启用",,1,,"否","否"
"40046726","UPVC法兰盘","DN50","污水系统","个","","",1095,90,0,"已启用",,1,,"否","否"
"40046725","UPVC外牙直接","DN50","污水系统","个","","",1095,90,0,"已启用",,1,,"否","否"
"40046724","UPVC弯头","DN50","污水系统","个","","",1095,90,0,"已启用",,1,,"否","否"
"40046792","UPVC三通","DN50","污水系统","个","","",1095,90,0,"已启用",,1,,"否","否"
"40046791","活接密封","SMSφ102氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046790","活接密封","SMSφ89氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046763","活接密封","SMSφ76氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046762","活接密封","SMSφ63氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046761","活接密封","SMSφ57氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046760","活接密封","SMSφ51氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046759","活接密封","SMSφ45氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046758","活接密封","SMSφ38氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046757","活接密封","SMSφ32氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
"40046755","活接密封","SMSφ25氟胶（食品级）","灌装机","个","","",1095,90,0,"已启用",,7,,"否","否"
