操作日志 - 标准值配置数据采集任务
========================================

[2026-05-21] 操作类型：导航 | 目标：系统登录 | 结果：成功
[2026-05-21] 操作类型：导航 | 目标：质量管理-基础信息管理-标准值配置 | 结果：成功
[2026-05-21] 操作类型：导航 | 目标：原材料标准值配置 | 结果：成功，URL: #/quality-manage/index2/qc-standard-value-configuration/material
[2026-05-21] 操作类型：数据提取 | 目标：原材料标准值配置-所有树节点和标签页 | 结果：成功，提取8个树节点（空罐卷封检验、内涂膜检验、顶盖/底盖检验、热缩膜检验、纸皮进货检验、战马空罐检验、香精入厂检测记录、一级糖检验原始记录）
[2026-05-21] 操作类型：截图 | 目标：原材料标准值配置-空罐卷封检验-红牛-普通型 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：原材料标准值配置-空罐卷封检验-红牛-强化型 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：原材料标准值配置-空罐卷封检验-战马-罐装 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：原材料标准值配置-内涂膜检验 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：原材料标准值配置-一级糖检验原始记录 | 结果：成功
[2026-05-21] 操作类型：导航 | 目标：成品标准值配置 | 结果：成功，URL: #/quality-manage/index2/qc-standard-value-configuration/finished
[2026-05-21] 操作类型：数据提取 | 目标：成品标准值配置-所有树节点和标签页 | 结果：成功，提取11个树节点（液体糖检验报告、成品糖酸检测报告、理化及微生物检验报告、pH和Brix成分分析报告、成品卷封检验报告、红牛成品检验结果、战马成品检验结果、定量测定原始记录、产品定量项目检测、成品检测、近红外检验报告）
[2026-05-21] 操作类型：截图 | 目标：成品标准值配置-液体糖检验报告 | 结果：成功
[2026-05-21] 操作类型：导航 | 目标：工序标准值配置 | 结果：成功，URL: #/quality-manage/index2/qc-standard-value-configuration/process-config
[2026-05-21] 操作类型：数据提取 | 目标：工序标准值配置-所有树节点和标签页 | 结果：成功，提取17个树节点（半成品检测、样品检测、定期CIP检测、停机及CIP检测、开机确认单、CIP微生物检验、工序卷封检验、新国标微生物检验报告、RO水检测记录、接触面涂抹实验、化验员指膜微生物检测、灌装杀菌效果验证、压缩空气验证实验、工序控制检验、重量检测记录、罐后端尺寸自动检测仪、盖尺寸检测仪校准）
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-半成品检测 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-样品检测 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-定期CIP检测 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-停机及CIP检测 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-开机确认单 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-CIP微生物检验 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-工序卷封检验 | 结果：成功
[2026-05-21] 操作类型：截图 | 目标：工序标准值配置-新国标微生物检验报告 | 结果：成功
