序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
1,备件,40041478,金属零件清洗剂,20L/桶,备件,桶,,,,,0,已启用,,,,否,否
2,备件,40047340,亚克力板,1000MM*450MM*6MM,备件,块,,,,,0,已启用,,,,否,否
3,备件,40047339,8件护套型冲击螺丝批组套,9603,备件,套,,,,,0,已启用,,,,否,否
4,备件,40047338,球阀,A25/卡盘50.5/不锈钢/卫生级/快装,备件,个,,,,,0,已启用,,,,否,否
5,备件,40047337,金属缠绕垫,280mm*380mm/锅炉人孔/椭圆,备件,个,,,,,0,已启用,,,,否,否
6,备件,40047336,压力表,G36-10-01,备件,个,,,,,0,已启用,,,,否,否
7,备件,40047335,304不锈钢板,厚度：1mm，宽×长1219×2438mm,备件,张,,,,,0,已启用,0.000,,,否,否
8,备件,40047334,限位挡板,1300mm*200mm*65mm/不锈钢,备件,块,,,,,0,已启用,,,,否,否
9,备件,40047333,三片式快装球阀,A25卡盘50.5,备件,个,,,,,0,已启用,0.000,,,否,否
10,备件,40047332,自攻螺丝,50mm/高强度燕尾,备件,盒,,,,,0,已启用,,,,否,否
11,备件,40047331,不锈钢链连接头,10A-1,备件,个,,,,,0,已启用,0.000,,,否,否
12,备件,40047330,真空发生器,ZL6H04-K15LZ-G,备件,个,,,,,0,已启用,,,,否,否
13,备件,40047259,安全门锁,NS  D4CESQK-F41,备件,个,,,,,0,已启用,,,,否,否
14,备件,40047258,链轮,NSH  1005   T18,备件,个,,,,,0,已启用,,,,否,否
15,备件,40047257,汇流排阀芯,V504M-TW.SALES,备件,套,,,,,0,已启用,,,,否,否
16,备件,40047065,拆包机推罐小车主轴维修,,备件,件,,,,,0,已启用,,,,否,否
17,备件,40047064,热缩机上膜斜坡出口滚筒,,备件,件,,,,,0,已启用,,,,否,否
18,备件,40047217,底托带健长轴,5S5102187,备件,根,,,,,0,已启用,,,,否,否
19,备件,40047216,304不锈钢单排金属滚子链条,10A-1,备件,米,,,,,0,已启用,,,,否,否
20,备件,40047215,国产T型链条,56节/根/6-1650202,备件,根,,,,,0,已启用,,,,否,否
21,备件,40047123,灌装机入口倒罐排出器,,备件,套,,,,,0,已启用,,,,否,否
22,备件,40047062,灌装机螺旋杆主动同步带轮,,备件,件,,,,,0,已启用,,,,否,否
23,备件,40047063,螺旋杆304不锈钢隔套,,备件,件,,,,,0,已启用,,,,否,否
24,备件,40047060,灌装机螺旋杆从动轴,,备件,件,,,,,0,已启用,,,,否,否
25,备件,40047059,灌装机螺旋杆主动同步带轮,,备件,件,,,,,0,已启用,,,,否,否
26,备件,40047058,热缩机挑膜杆长皮带支撑块,,备件,件,,,,,0,已启用,,,,否,否
27,备件,40038317,T型链,6-1650202,备件,件,,,,,0,已启用,,,,否,否
28,备件,40047056,截止阀,BSA2T DN40 PN16,备件,个,,,,,0,已启用,0.000,,,否,否
