序号,物料大类,条码/物料编码,名称/物料描述,规格型号,分类/物料组,计量单位,品牌,自定义类别,保质期(天),保质期预警(天),保留小数,状态,标箱折扣系数,货期(天),默认价格,是否标识管理,是否费用化资产
1,,11000405,战马/330ML/24/罐装/含气/春日白桃味/普通型,,成品,,,,,,0,已启用,1.000,,,否,否
2,,11000412,战马/330ML/24/罐装/含气/夏日柠檬味/扫码1元乐享/2026,,成品,,,,,,0,已启用,1.000,,,否,否
3,,11000411,战马/330ML/24/罐装/含气/春日白桃味/扫码1元乐享/2026,,成品,,,,,,0,已启用,1.000,,,否,否
4,,11000409,战马/330ML/24/罐装/含气/夏日柠檬味/收拉环1元乐享/2026,,成品,,,,,,0,已启用,1.000,,,否,否
5,,11000408,战马/330ML/24/罐装/含气/春日白桃味/收拉环1元乐享/2026,,成品,,,,,,0,已启用,1.000,,,否,否
6,,81000323,国产/芙丝水500ML/24瓶装/艺术家夏季限定装,,成品,,,,,,0,已启用,1.000,,,否,否
7,,11000410,战马/330ML/24/罐装/含气/菠萝西柚味/扫码1元乐享/2026,,成品,,,,,,0,已启用,1.000,,,否,否
8,,11000407,战马/330ML/24/罐装/含气/菠萝西柚味/收拉环1元乐享/2026,,成品,,,,,,0,已启用,1.000,,,否,否
9,,81000287,国产/芙丝气泡水330ML/12瓶装/蜜柚甜橘,,成品,,,,,,0,已启用,1.000,,,否,否
10,,11000404,战马/310ML/24/罐装/2026/新包装线下1元乐享（二段）,,成品,,,,,,0,已启用,1.000,,,否,否
11,,11000401,战马/330ML/24/罐装/含气/夏日柠檬味/扫码红包2026,,成品,,,,,,0,已启用,1.000,,,否,否
12,,11000400,战马/330ML/24/罐装/含气/春日白桃味/扫码红包2026,,成品,,,,,,0,已启用,1.000,,,否,否
13,,11000399,战马/330ML/24/罐装/含气/夏日浆果味/扫码红包2026,,成品,,,,,,0,已启用,1.000,,,否,否
14,,11000398,战马/330ML/24/罐装/含气/菠萝西柚味/扫码红包2026,,成品,,,,,,0,已启用,1.000,,,否,否
15,,11000396,战马/330ML/24/罐装/含气/蓝莓黑加仑味/扫码红包2026,,成品,,,,,,0,已启用,1.000,,,否,否
16,,11000391,战马/330ML/24/罐装/含气/青苹果葡萄味/扫码红包2026,,成品,,,,,,0,已启用,1.000,,,否,否
17,,81000285,国产/芙丝水330ML/24瓶装/京东专供,,成品,,,,,,0,已启用,1.000,,,否,否
18,,81000197,国产/芙丝水375ML/20瓶/玻璃瓶/芙丝苏打水饮料（含气型）,,成品,,,,,,0,已启用,1.000,,,否,否
19,,11000384,战马/310ML/24/罐装/2026/新包装线下1元乐享,,成品,,,,,,0,已启用,1.000,,,否,否
20,,11000376,战马/400ML/15/不含气/2026/1元乐享,,成品,,,,,,0,已启用,1.000,,,否,否
21,,10001198,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-闽苏沪/2026,,成品,,,,,,0,已启用,1.000,,,否,否
22,,10001204,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-云贵/2026,,成品,,,,,,0,已启用,1.000,,,否,否
23,,10001203,红牛维生素功能饮料/普通型/250ML/24/扫码1元乐享-广西/2026,,成品,,,,,,0,已启用,1.000,,,否,否
24,,10001201,红牛维生素功能饮料/普通型/250ML/24/普通箱内码-新疆专供/2026,,成品,,,,,,0,已启用,1.000,,,否,否
25,,10001200,红牛维生素功能饮料/普通型/250ML/24/1元乐享-新疆青海/2026,,成品,,,,,,0,已启用,1.000,,,否,否
26,,11000379,战马/310ML/24/罐装/UTMBx联名装,,成品,,,,,,0,已启用,1.000,,,否,否
27,,81000270,国产/芙丝水330ML/24瓶/牛皮纸环保装,,成品,,,,,,0,已启用,1.000,,,否,否
28,,11000356,战马/330ML/24/罐装/含气/菠萝西柚味/广东促销,,成品,,,,,,0,已启用,1.000,,,否,否
29,,11000372,战马/310ML/24/罐装/2026/线下1元乐享,,成品,,,,,,0,已启用,1.000,,,否,否
30,,11000371,战马/310ML/24/罐装/2026/线上1元乐享-新包装,,成品,,,,,,0,已启用,1.000,,,否,否
31,,11000370,战马/310ML/24/罐装/2026/扫码红包-新包装,,成品,,,,,,0,已启用,1.000,,,否,否
32,,81000290,国产/神农明珠天然泉水/350ML/24瓶/无外箱/红动中原牛气冲天联标,,成品,,,,,,0,已启用,1.000,,,否,否
33,,81000258,国产/神农明珠天然泉水/350ML/24瓶/无外箱/北站苗乡,,成品,,,,,,0,已启用,1.000,,,否,否
34,,81000225,国产/神农明珠天然泉水/350ML/24瓶/无外箱,,成品,,,,,,0,已启用,1.000,,,否,否
35,,81000237,国产/神农明珠天然泉水/5L/4桶装,,成品,,,,,,0,已启用,1.000,,,否,否
36,,81000227,国产/神农明珠天然泉水/5L/4桶装/无外箱,,成品,,,,,,0,已启用,1.000,,,否,否
37,,81000316,国产/神农明珠天然泉水/500ML/24瓶/无外箱/大角鹿联标,,成品,,,,,,0,已启用,1.000,,,否,否
38,,81000313,国产/神农明珠天然泉水/500ML/24瓶/无外箱/交通银行联标,,成品,,,,,,0,已启用,1.000,,,否,否
39,,81000314,国产/神农明珠天然泉水/500ML/24瓶/无外箱/初雄联标,,成品,,,,,,0,已启用,1.000,,,否,否
