分类,序号,不良类型,可用状态,创建人,创建时间,更新人
原材料问题-空罐,1,数量少了一层,,林仁梅,2026-04-27 16:12:03,
原材料问题-空罐,2,罐身压痕,,陈泽繁,2026-03-26 16:10:38,
原材料问题-空罐,3,罐身脏污,,陈泽繁,2026-03-24 07:46:06,
原材料问题-空罐,4,缠绕膜破损,,林仁梅,2026-03-17 16:53:17,
原材料问题-空罐,5,高低罐,,陈泽繁,2026-03-04 13:22:58,
原材料问题-空罐,6,底盖卷封磨损,,陈泽繁,2026-03-02 10:31:22,
原材料问题-空罐,7,包装异常牛皮纸袋未粘连,,林仁梅,2026-01-29 19:54:45,
原材料问题-空罐,8,印刷不良,,陈泽繁,2025-12-20 16:04:16,
原材料问题-空罐,9,底盖牙齿,,林仁梅,2025-12-19 07:51:01,
原材料问题-空罐,10,30周年混促销型,,陈泽繁,2025-12-08 08:29:09,
原材料问题-空罐,11,普通版混促销型,,陈泽繁,2025-12-08 08:28:51,
原材料问题-空罐,12,普通版混30周年型,,陈泽繁,2025-12-08 08:28:32,
原材料问题-空罐,13,膜内有水,,陈泽繁,2025-11-05 08:39:53,
原材料问题-空罐,14,羽化不合格,,陈泽繁,2025-10-22 09:48:49,陈泽繁
原材料问题-空罐,15,无拉环,,陈泽繁,2025-10-22 09:48:21,陈泽繁
原材料问题-空罐,16,焊缝粘粉,,陈泽繁,2025-10-22 09:48:02,陈泽繁
原材料问题-空罐,17,焊缝爆口,,陈泽繁,2025-10-22 09:47:52,
原材料问题-空罐,18,焊缝焊渣,,陈泽繁,2025-10-22 09:47:35,
原材料问题-空罐,19,蚊虫罐,,陈泽繁,2025-10-22 09:47:10,
原材料问题-空罐,20,剪板错位,,陈泽繁,2025-10-22 09:41:36,
原材料问题-空罐,21,支架烫伤,,陈泽繁,2025-10-10 16:15:43,
原材料问题-空罐,22,漏铁,,陈泽繁,2025-10-10 16:15:07,
原材料问题-空罐,23,焦油,,陈泽繁,2025-10-10 16:14:58,
原材料问题-空罐,24,划伤,,陈泽繁,2025-10-10 16:14:49,
原材料问题-空罐,25,脏污,,陈泽繁,2025-10-10 16:14:44,
原材料问题-顶盖,1,顶盖黑线,,陈泽繁,2026-04-20 16:42:10,
原材料问题-顶盖,2,顶盖卷封破损,,陈泽繁,2026-04-16 18:26:38,
原材料问题-顶盖,3,牙齿,,林仁梅,2026-04-15 05:28:02,
原材料问题-顶盖,4,顶盖异物,,黄娅,2026-02-05 14:37:47,
原材料问题-顶盖,5,包装异常牛皮纸袋未粘连,,林仁梅,2026-01-29 19:55:08,
原材料问题-顶盖,6,顶盖假封,,陈泽繁,2026-01-05 16:07:35,
原材料问题-顶盖,7,裂痕,,陈泽繁,2025-12-21 08:21:45,
原材料问题-顶盖,8,附着力不合格,,陈泽繁,2025-11-04 12:55:29,
原材料问题-顶盖,9,羽化不合格,,陈泽繁,2025-11-04 12:55:09,
原材料问题-顶盖,10,无拉环,,陈泽繁,2025-11-04 12:54:48,
原材料问题-顶盖,11,磨损,,陈泽繁,2025-11-04 12:54:33,
原材料问题-顶盖,12,印刷墨染,,陈泽繁,2025-10-22 09:54:45,
原材料问题-顶盖,13,印刷粘连,,陈泽繁,2025-10-22 09:42:01,
原材料问题-顶盖,14,漏印,,陈泽繁,2025-10-22 09:35:50,
原材料问题-顶盖,15,顶盖印刷偏移,,陈泽繁,2025-10-22 09:35:27,
原材料问题-顶盖,16,印刷重影,,陈泽繁,2025-10-22 09:35:08,
原材料问题-纸皮,1,不清晰,,林仁梅,2026-04-10 15:09:45,林仁梅
原材料问题-纸皮,2,纸皮没有合格证,,林仁梅,2026-01-30 22:07:12,
原材料问题-纸皮,3,纸皮混版,,陈泽繁,2025-11-04 12:56:18,陈泽繁
原材料问题-纸皮,4,纸皮粘连,,陈泽繁,2025-11-04 12:56:10,
原材料问题-纸皮,5,印刷重影,,陈泽繁,2025-11-04 12:56:01,
原材料问题-纸皮,6,剪板错位,,陈泽繁,2025-11-04 12:55:48,
原材料问题-热缩膜,1,破损,,林仁梅,2026-03-08 04:08:50,
原材料问题-热缩膜,2,筒内径小,,陈泽繁,2025-11-04 12:56:48,
原材料问题-咖啡因,1,数量异常,,黄娅,2025-11-11 17:09:08,
原材料问题-肌醇,1,外包装不全,,陈泽繁,2025-12-27 10:27:45,陈泽繁
原材料问题-白砂糖,1,外包装破损,,陈泽繁,2026-01-31 11:15:30,
设备问题-外观,1,链道脏污导致罐底脏污,,陈泽繁,2025-12-06 08:36:32,
设备问题-外观,2,仪器划伤,,陈泽繁,2025-10-10 16:34:23,陈泽繁
设备问题-卷封,1,卷封假封,,陈泽繁,2026-01-05 16:07:53,
设备问题-卷封,2,坏罐,,陈泽繁,2025-10-22 09:40:39,
设备问题-卷封,3,卷封牙齿,,陈泽繁,2025-10-10 16:35:23,
设备问题-链道脏污,1,罐底脏污,,陈泽繁,2025-12-06 08:35:46,
设备问题-二维码不良,1,罐底二维码变形,,陈泽繁,2026-04-13 16:08:24,
设备问题-二维码不良,2,外箱二维码偏移,,陈泽繁,2026-04-13 16:07:21,
成品,1,无防伪注胶,,陈泽繁,2026-04-30 07:27:02,
成品,2,外箱码不清晰,,林仁梅,2026-04-10 14:49:17,
成品,3,液位不足,,陈泽繁,2025-11-21 10:26:33,
成品,4,内压不足,,陈泽繁,2025-10-22 09:46:50,陈泽繁
成品,5,涨罐,,陈泽繁,2025-10-22 09:45:09,陈泽繁
