检验类别,品牌/类型,检验项目,英文名称,标准值,单位,类型说明,下限值,上限值,误差限,排序
空罐卷封检验,红牛-普通型,罐体高度,Body High,区间:91.50~91.90,mm,区间,91.50,91.90,0.0000,0
空罐卷封检验,红牛-普通型,翻边尺寸,Lange width,区间:2.20~2.60,mm,区间,2.20,2.60,0.0000,0
空罐卷封检验,红牛-普通型,宽度,W Standard,区间:2.50~2.90,mm,区间,2.50,2.90,0.0000,0
空罐卷封检验,红牛-普通型,身钩长度,Body hook Length,区间:1.50~2.00,mm,区间,1.50,2.00,0.0000,0
空罐卷封检验,红牛-普通型,盖钩长度,End hook Length,区间:1.50~2.00,mm,区间,1.50,2.00,0.0000,0
空罐卷封检验,红牛-普通型,迭接长度,Overlap,≥0.90,mm,最小值,0.90,0,0.0000,0
空罐卷封检验,红牛-普通型,迭接率,Overlap,≥55,%,最小值,55,0,0.0000,0
空罐卷封检验,红牛-普通型,厚度,T Standard,区间:1.20~1.50,mm,区间,1.20,1.50,0.0000,0
空罐卷封检验,红牛-普通型,盖钩顶隙,End hook clearance,≥0.10,mm,最小值,0.10,0,0.0000,0
空罐卷封检验,红牛-普通型,罐钩顶隙,Body hook clearance,≥0.10,mm,最小值,0.10,0,0.0000,0
空罐卷封检验,红牛-普通型,皱纹度,Wrinkle,≤30,%,最大值,30,0.0000,0.0000,0
空罐卷封检验,红牛-普通型,蓝点尺寸,（仅普通型）,18.0±0.5,mm,带误差限,18.0,18.5,0.5,0
空罐卷封检验,红牛-强化型,罐体高度,Body High,区间:91.5~91.9,mm,区间,91.5,91.9,,0
空罐卷封检验,红牛-强化型,翻边尺寸,Lange width,区间:2.3~2.55,mm,区间,2.3,2.55,,0
空罐卷封检验,红牛-强化型,宽度,W Standard,区间:2.5~3.0,mm,区间,2.5,3.0,,0
空罐卷封检验,红牛-强化型,身钩长度,Body hook Length,区间:1.6~2.0,mm,区间,1.6,2.0,,0
空罐卷封检验,红牛-强化型,盖钩长度,End hook Length,区间:1.6~2.0,mm,区间,1.6,2.0,,0
空罐卷封检验,红牛-强化型,迭接长度,Overlap,≥0.9,mm,最小值,0.9,,,0
空罐卷封检验,红牛-强化型,迭接率,Overlap,≥55,%,最小值,55,,,0
空罐卷封检验,红牛-强化型,盖钩顶隙,End hook clearance,≥0.1,mm,最小值,0.1,,,0
空罐卷封检验,红牛-强化型,罐钩顶隙,Body hook clearance,区间:0.1~50,mm,区间,0.1,50,,0
空罐卷封检验,红牛-强化型,厚度,T Standard,区间:1.2~1.5,mm,区间,1.2,1.5,,0
空罐卷封检验,红牛-强化型,皱纹度,Wrinkle,≤30,%,最大值,30,,,0
空罐卷封检验,战马-罐装,罐体高度,Body High,-,mm,区间,,,,,
空罐卷封检验,战马-罐装,翻边尺寸,Lange width,-,mm,区间,,,,,
空罐卷封检验,战马-罐装,宽度,W Standard,-,mm,区间,,,,,
空罐卷封检验,战马-罐装,身钩长度,Body hook Length,-,mm,区间,,,,,
空罐卷封检验,战马-罐装,盖钩长度,End hook Length,-,mm,区间,,,,,
空罐卷封检验,战马-罐装,迭接长度,Overlap,-,mm,最小值,,,,
空罐卷封检验,战马-罐装,迭接率,Overlap,-,%,最小值,,,,
空罐卷封检验,战马-罐装,厚度,T Standard,-,mm,区间,,,,,
空罐卷封检验,战马-罐装,盖钩顶隙,End hook clearance,-,mm,最小值,,,,
