检验类别,检验项目,标准值,单位,排序
半成品检测,pH,区间:3.40~3.55,-,-
半成品检测,Brix(%),区间:12.1~12.6,-,-
半成品检测,差值,区间:-0.015~0.015,-,-
样品检测,身钩长度,区间:1.60~2.00,mm,-
样品检测,盖钩长度,区间:1.50~1.90,mm,-
样品检测,宽度,区间:2.40~2.80,mm,-
样品检测,厚度,区间:1.20~1.50,mm,-
样品检测,Brix(%)糖度,区间:12.1~12.6,%,-
样品检测,pH酸度,区间:3.40~3.55,-,-
样品检测,液位,-,ml,-
样品检测,内压(Mpa),区间:-0.020~0.010,MPa,-
样品检测,迭接长度,≥0.90,mm,-
样品检测,迭接率,≥55,%,-
样品检测,盖钩顶隙,≥0.10,mm,-
样品检测,罐钩顶隙,≥0.10,mm,-
样品检测,皱纹度%,≤30,%,-
定期CIP检测,PH值,区间:4.0~6.8,-,-
定期CIP检测,糖度,区间:12.1~12.6,%,-
定期CIP检测,酸度,区间:3.40~3.55,-,-
停机及CIP检测,PH值,区间:4.0~6.8,-,-
开机确认单,PH值,区间:4.0~6.8,-,-
开机确认单,糖度,区间:12.1~12.6,%,-
开机确认单,酸度,区间:3.40~3.55,-,-
CIP微生物检验,可溶性固性物,≤0,%,-
CIP微生物检验,过滤器-可溶性固性物,=0.0,%,-
CIP微生物检验,pH,区间:4~7,-,-
CIP微生物检验,过滤器-pH,区间:4~7,-,-
CIP微生物检验,大肠菌群,=0,-,-
CIP微生物检验,细菌总数,≤10,-,-
CIP微生物检验,酵母菌,=0,-,-
CIP微生物检验,霉菌,=0,-,-
CIP微生物检验,配料缸,-,-,-
CIP微生物检验,灌装CIP循环结束后,-,-,-
CIP微生物检验,6吨热RO水pH值,-,-,-
CIP微生物检验,9吨热RO水pH值,-,-,-
工序卷封检验,宽度,区间:2.40~2.80,mm,1
工序卷封检验,身钩长度,区间:1.60~2.00,mm,2
工序卷封检验,盖钩长度,区间:1.50~1.90,mm,3
工序卷封检验,迭接长度,≥0.9,mm,4
工序卷封检验,迭接率,≥55,%,5
工序卷封检验,厚度,区间:1.20~1.50,mm,6
工序卷封检验,盖钩顶隙,≥0.1,mm,7
工序卷封检验,罐钩顶隙,≥0.1,mm,8
工序卷封检验,皱纹度,≤30,%,9
新国标微生物检验报告,细菌总数-原液,≤100,CFU/ML,1
新国标微生物检验报告,细菌总数-10倍稀释,≤100,CFU/ML,2
新国标微生物检验报告,细菌总数-100倍稀释,≤100,CFU/ML,3
新国标微生物检验报告,细菌总数-空白,=0,CFU/ML,4
新国标微生物检验报告,霉菌-原液,≤10,CFU/ML,5
新国标微生物检验报告,霉菌-10倍稀释,≤10,CFU/ML,6
新国标微生物检验报告,霉菌-100倍稀释,≤10,CFU/ML,7
新国标微生物检验报告,霉菌-空白,=0,CFU/ML,8
新国标微生物检验报告,酵母菌-原液,≤10,CFU/ML,9
新国标微生物检验报告,酵母菌-10倍稀释,≤10,CFU/ML,10
新国标微生物检验报告,酵母菌-100倍稀释,≤10,CFU/ML,11
新国标微生物检验报告,酵母菌-空白,=0,CFU/ML,12
新国标微生物检验报告,大肠杆菌（24h）-10mL原液,≤0.43,MPN/ML,13
新国标微生物检验报告,大肠杆菌（24h）-1mL原液,≤0.43,MPN/ML,14
新国标微生物检验报告,大肠杆菌（24h）-10倍稀释,≤0.43,MPN/ML,15
新国标微生物检验报告,大肠杆菌（24h）-双料空白,=0,MPN/ML,16
新国标微生物检验报告,大肠杆菌（24h）-正常空白,=0,MPN/ML,17
新国标微生物检验报告,大肠杆菌（48h）-10mL原液,≤0.43,MPN/ML,18
新国标微生物检验报告,大肠杆菌（48h）-1mL原液,≤0.43,MPN/ML,19
新国标微生物检验报告,大肠杆菌（48h）-10倍稀释,≤0.43,MPN/ML,20
新国标微生物检验报告,大肠杆菌（48h）-双料空白,=0,MPN/ML,21
新国标微生物检验报告,大肠杆菌（48h）-正常空白,=0,MPN/ML,22
RO水检测记录,电导率,≤3,us/cm,1
RO水检测记录,pH,区间:5.2~6.8,-,2
接触面涂抹实验,大肠菌群,=0,MPN/ML,1
接触面涂抹实验,细菌总数,≤10,CFU/ML,2
接触面涂抹实验,酵母菌,=0,MPN/ML,3
接触面涂抹实验,霉菌,=0,MPN/ML,4
化验员指膜微生物检测,细菌总数,≤10,CFU/100ML,1
化验员指膜微生物检测,酵母菌,=0,-,2
化验员指膜微生物检测,霉菌,=0,-,3
化验员指膜微生物检测,大肠菌群,,-,4
灌装杀菌效果验证,大肠菌群,,-,1
灌装杀菌效果验证,细菌总数,,-,2
灌装杀菌效果验证,酵母菌,,-,3
灌装杀菌效果验证,霉菌,,-,4
压缩空气验证实验,菌落总数-平皿1,≤10,CFU/ML,1
压缩空气验证实验,菌落总数-平皿2,≤10,CFU/ML,2
压缩空气验证实验,菌落总数-平均数,≤10,CFU/ML,3
压缩空气验证实验,霉菌、酵母菌-平皿1,≤0,MPN/ML,4
压缩空气验证实验,霉菌、酵母菌-平皿2,≤0,MPN/ML,5
压缩空气验证实验,霉菌、酵母菌-平均数,≤0,MPN/ML,6
工序控制检验,可溶性固形物,区间:12.1~12.6,%,1
工序控制检验,pH,区间:3.40~3.55,-,2
工序控制检验,罐内压,区间:-0.020~0.010,Mpa,3
工序控制检验,液位,≥245,ml,4
重量检测记录,重量,-,-,1
罐后端尺寸自动检测仪,罐身高度,-,-,1
罐后端尺寸自动检测仪,罐口内径,-,-,1
盖尺寸检测仪校准,光栅尺+钩边探头,-,-,1
盖尺寸检测仪校准,钩边高度,-,-,1
盖尺寸检测仪校准,埋头度,-,-,1
