品牌,类型,检验类别,检验项目,标准值,单位,排序
"红牛","红牛-普通型","液体糖检验报告","混浊度","≤30","MAU","-"
"红牛","红牛-普通型","液体糖检验报告","感官指标-色泽实测值","无色或浅黄色","-","-"
"红牛","红牛-普通型","液体糖检验报告","感官指标-滋味和气味实测值","无臭，甜味温和，无异味","-","-"
"红牛","红牛-普通型","液体糖检验报告","干物质（固形物）含量","50±2","%","-"
"红牛","红牛-普通型","液体糖检验报告","感官指标-杂质实测值","无肉眼可见杂质","-","-"
"红牛","红牛-普通型","液体糖检验报告","干物质中蔗糖分","≥94.55","%","-"
"红牛","红牛-普通型","液体糖检验报告","干物质中还原糖分","<5","%","-"
"红牛","红牛-普通型","液体糖检验报告","pH","区间:6~7.5","-","-"
"红牛","红牛-普通型","液体糖检验报告","色值","≤25","IU","-"
"红牛","红牛-普通型","液体糖检验报告","电导率","≤25","μs/cm","-"
"红牛","红牛-普通型","液体糖检验报告","微生物指标-大肠菌群","≤30","MPN/100g","-"
"红牛","红牛-普通型","液体糖检验报告","微生物指标-细菌总数","≤30","cfu/g","-"
"红牛","红牛-普通型","液体糖检验报告","微生物指标-酵母菌","≤10","cfu/g","-"
"红牛","红牛-普通型","液体糖检验报告","微生物指标-霉菌","≤25","cfu/g","-"
"红牛","红牛-普通型","液体糖检验报告","感官指标-组织形态实测值","-","-","3"
"红牛","红牛-普通型","成品糖酸检测报告","可溶性固形物","区间:12.1~12.6","%","1"
"红牛","红牛-普通型","成品糖酸检测报告","pH","区间:3.40~3.55","","2"
"红牛","红牛-普通型","理化及微生物检验报告","净含量","≥245","mL","1"
"红牛","红牛-普通型","理化及微生物检验报告","重量","≥292.5","g","2"
"红牛","红牛-普通型","理化及微生物检验报告","内压","区间:-0.020~0.010","Mpa","3"
"红牛","红牛-普通型","理化及微生物检验报告","大肠菌群","=0","MPN/100mL","4"
"红牛","红牛-普通型","理化及微生物检验报告","菌落总数","≤5","CFU/mL","5"
"红牛","红牛-普通型","理化及微生物检验报告","酵母菌","=0","CFU/mL","6"
"红牛","红牛-普通型","理化及微生物检验报告","霉菌","=0","CFU/mL","7"
"红牛","红牛-普通型","pH和Brix成分分析报告","可溶性固形物","区间:12.1~12.6","%","1"
"红牛","红牛-普通型","pH和Brix成分分析报告","pH","区间:3.40~3.55","","2"
"红牛","红牛-普通型","pH和Brix成分分析报告","ABS","-0.015±0.015","-","3"
"红牛","红牛-普通型","pH和Brix成分分析报告","nm","=271.5","-","4"
"红牛","红牛-普通型","成品卷封检验报告","宽度","区间:2.40~2.80","mm","-"
"红牛","红牛-普通型","成品卷封检验报告","身钩长度","区间:1.60~2.00","mm","-"
"红牛","红牛-普通型","成品卷封检验报告","盖钩长度","区间:1.50~1.90","mm","-"
"红牛","红牛-普通型","成品卷封检验报告","迭接长度","≥0.90","mm","-"
"红牛","红牛-普通型","成品卷封检验报告","迭接率","≥55","%","-"
"红牛","红牛-普通型","成品卷封检验报告","厚度","区间:1.20~1.50","mm","-"
"红牛","红牛-普通型","成品卷封检验报告","盖钩顶隙","≥0.10","mm","-"
"红牛","红牛-普通型","成品卷封检验报告","罐钩顶隙","≥0.10","mm","-"
"红牛","红牛-普通型","成品卷封检验报告","皱纹度","≤30","%","-"
"红牛","红牛-普通型","红牛成品检验结果","ph","区间:3.0~4.0","","-"
"红牛","红牛-普通型","红牛成品检验结果","可溶性固形物-红牛维生素功能饮料","区间:10.0~13.0","%","-"
"红牛","红牛-普通型","红牛成品检验结果","可溶性固形物-牛磺酸强化型","区间:14~17","%","-"
"红牛","红牛-普通型","红牛成品检验结果","净含量","符合企业标准","mL/罐","-"
"红牛","红牛-普通型","红牛成品检验结果","感官指标-色泽","呈柠檬黄色","-","-"
"红牛","红牛-普通型","红牛成品检验结果","感官指标-滋味和气味","酸甜适口，具有本品应有的滋味，无不相关气味","-","-"
"红牛","红牛-普通型","红牛成品检验结果","感官指标-杂质","无正常视力可见外来杂质","-","-"
"红牛","红牛-普通型","红牛成品检验结果","感官指标-外观","液汁均匀，澄清","-","-"
"红牛","红牛-普通型","红牛成品检验结果","微生物-菌落总数","≤100","CFU/mL","-"
"红牛","红牛-普通型","红牛成品检验结果","微生物-大肠菌群","≤0.43","MPN/mL","-"
"红牛","红牛-普通型","红牛成品检验结果","微生物-酵母菌","≤10","CFU/mL","-"
"红牛","红牛-普通型","红牛成品检验结果","微生物-霉菌","≤10","CFU/mL","-"
"红牛","红牛-普通型","红牛成品检验结果","功效成分-咖啡因-普通型","区间:140~200","mg/L","-"
"红牛","红牛-普通型","红牛成品检验结果","功效成分-咖啡因-强化型","区间:130~200","mg/L","-"
"红牛","红牛-普通型","红牛成品检验结果","功效成分-牛磺酸-普通型","区间:350~500","mg/L","-"
"红牛","红牛-普通型","红牛成品检验结果","功效成分-牛磺酸-强化型","区间:3700~4800","mg/L","-"
"红牛","红牛-普通型","红牛成品检验结果","卷封检测","迭接长度≥0.9mm；罐钩、盖钩顶隙≥0.1mm；迭接率≥55%；皱纹度≤30%","-","5"
"红牛","红牛-普通型","红牛成品检验结果","成分分析","-","mg/L","20"
"红牛","红牛-普通型","战马成品检验结果","pH","3.00~4.00","-","1"
"红牛","红牛-普通型","战马成品检验结果","可溶性固形物","5.0~15.0","%","2"
"红牛","红牛-普通型","战马成品检验结果","净含量","≥310","mL/罐","3"
"红牛","红牛-普通型","战马成品检验结果","内压","0.19±0.08Mpa(20~25℃)","MPa","4"
"红牛","红牛-普通型","战马成品检验结果","感官指标-色泽","呈本品应有的色泽","-","5"
"红牛","红牛-普通型","战马成品检验结果","感官指标-滋味和气味","具有本品应有的滋味,无异味","-","6"
"红牛","红牛-普通型","战马成品检验结果","感官指标-杂质","无正常视力可见外来杂质","-","7"
"红牛","红牛-普通型","战马成品检验结果","感官指标-组织形态","具有本品特有的外观形态","-","8"
"红牛","红牛-普通型","战马成品检验结果","卷封检测","迭接长度≥0.9mm,罐钩、盖钩顶隙≥0.1mm,迭接率≥55%,紧密度≥90%","mm","9"
"红牛","红牛-普通型","战马成品检验结果","微生物-菌落总数","n=5,c=2,m=102,M=104","CFU/mL","13"
"红牛","红牛-普通型","战马成品检验结果","微生物-大肠菌群","n=5,c=2,m=1,M=10","CFU/mL","18"
"红牛","红牛-普通型","战马成品检验结果","微生物-酵母菌","≤10","CFU/mL","22"
"红牛","红牛-普通型","战马成品检验结果","微生物-霉菌","≤10","CFU/mL","23"
"红牛","红牛-普通型","定量测定原始记录","峰面积","≥0","-","-"
"红牛","红牛-普通型","定量测定原始记录","含量x","区间:350~500","mg/L","-"
